row  column  (images_32.edf P-K*images_32.edf Ar-K**2.3)
15  50  3.35365e+07
16  0  9.23803e+06
16  1  2.99668e+07
16  2  3.32255e+07
16  3  3.43914e+07
16  4  0
16  5  0
16  6  0
16  7  7.44861e+06
16  8  1.55302e+07
16  9  0
16  10  9.1392e+06
16  11  2.14652e+07
16  12  2.36416e+07
16  13  1.73591e+07
16  14  1.49729e+07
16  15  2.3368e+07
16  16  1.06443e+07
16  17  1.97308e+07
16  18  2.35886e+07
16  19  2.5671e+07
16  20  8.27237e+06
16  21  9.52394e+06
16  22  1.83162e+07
16  23  3.20603e+07
16  24  3.80437e+07
16  25  0
16  26  1.4531e+07
16  27  7.19186e+06
16  28  1.04962e+07
16  29  3.06376e+06
16  30  0
16  31  0
16  32  5.2131e+06
16  33  0
16  34  2.51148e+07
16  35  2.03619e+07
16  36  2.1006e+07
16  37  4.07525e+06
16  38  3.43625e+06
16  39  0
16  40  1.85489e+07
16  41  8.45304e+06
16  42  1.20136e+07
16  43  5.30068e+06
16  44  1.38056e+07
16  45  1.1195e+07
16  46  1.2866e+07
16  47  1.66957e+07
16  48  1.68837e+07
16  49  3.00332e+07
16  50  2.12289e+07
17  0  1.41513e+07
17  1  4.24072e+07
17  2  2.69438e+07
17  3  1.63473e+07
17  4  0
17  5  0
17  6  0
17  7  1.64981e+07
17  8  1.16783e+07
17  9  0
17  10  2.17448e+07
17  11  2.74207e+07
17  12  2.8567e+07
17  13  2.02272e+07
17  14  1.12687e+07
17  15  1.15857e+07
17  16  1.44173e+07
17  17  2.90121e+07
17  18  2.7543e+07
17  19  1.21506e+07
17  20  6.17843e+06
17  21  0
17  22  9.1415e+06
17  23  3.04868e+07
17  24  1.2312e+07
17  25  0
17  26  6.0565e+06
17  27  5.20052e+06
17  28  620609
17  29  0
17  30  0
17  31  0
17  32  0
17  33  1.32403e+07
17  34  2.30327e+07
17  35  1.10466e+07
17  36  0
17  37  9.16015e+06
17  38  0
17  39  1.79848e+07
17  40  7.82355e+06
17  41  1.02343e+07
17  42  2.22735e+07
17  43  4.84329e+06
17  44  1.77804e+07
17  45  2.83056e+07
17  46  1.52504e+07
17  47  1.16964e+07
17  48  2.6208e+07
17  49  3.19431e+07
17  50  2.04693e+07
18  0  2.72823e+07
18  1  4.65332e+07
18  2  2.89185e+07
18  3  1.65035e+07
18  4  0
18  5  6.8882e+06
18  6  1.70761e+07
18  7  3.03915e+07
18  8  3.52867e+07
18  9  2.0807e+07
18  10  1.49094e+07
18  11  0
18  12  6.11311e+06
18  13  8.90131e+06
18  14  7.93072e+06
18  15  1.64469e+07
18  16  2.41391e+07
18  17  3.04629e+07
18  18  2.06494e+07
18  19  1.0748e+07
18  20  0
18  21  6.93384e+06
