row  column  (images_25_1_306.edf S-K*images_25_1_306.edf Ar-K**2.3)
25  41  0
25  42  1.74506e+07
25  43  0
25  44  1.68186e+07
25  45  2.27594e+07
25  46  1.31855e+07
25  47  1.47621e+07
25  48  0
25  49  0
25  50  2.29784e+07
26  0  0
26  1  1.28733e+07
26  2  0
26  3  0
26  4  0
26  5  0
26  6  0
26  7  0
26  8  0
26  9  0
26  10  0
26  11  1.8164e+07
26  12  0
26  13  2.55827e+07
26  14  1.85218e+07
26  15  0
26  16  1.51857e+07
26  17  0
26  18  0
26  19  0
26  20  0
26  21  0
26  22  0
26  23  0
26  24  2.59837e+07
26  25  1.75322e+07
26  26  1.62841e+07
26  27  1.66835e+07
26  28  0
26  29  2.29046e+07
26  30  0
26  31  2.18847e+07
26  32  0
26  33  0
26  34  0
26  35  0
26  36  0
26  37  1.51962e+07
26  38  0
26  39  0
26  40  0
26  41  0
26  42  0
26  43  0
26  44  0
26  45  2.25811e+07
26  46  1.41482e+07
26  47  0
26  48  2.9552e+07
26  49  0
26  50  0
27  0  0
27  1  0
27  2  0
27  3  0
27  4  0
27  5  0
27  6  1.17984e+07
27  7  0
27  8  0
27  9  0
27  10  0
27  11  2.36559e+07
27  12  1.90438e+07
27  13  1.84335e+07
27  14  2.33248e+07
27  15  0
27  16  0
27  17  0
27  18  0
27  19  0
27  20  0
27  21  0
27  22  0
27  23  0
27  24  0
27  25  1.37468e+07
27  26  2.58637e+07
27  27  0
27  28  0
27  29  2.12967e+07
27  30  2.12261e+07
27  31  0
27  32  1.96818e+07
27  33  0
27  34  0
27  35  0
27  36  0
27  37  0
27  38  0
27  39  1.96521e+07
27  40  0
27  41  0
27  42  0
27  43  0
27  44  1.50216e+07
27  45  2.39614e+07
27  46  1.64351e+07
27  47  2.87102e+07
27  48  1.92975e+07
27  49  1.73252e+07
27  50  1.81072e+07
28  0  0
28  1  0
28  2  0
28  3  0
28  4  0
28  5  1.6099e+07
28  6  0
28  7  0
28  8  0
28  9  1.27877e+07
28  10  0
28  11  0
28  12  2.6756e+07
28  13  0
28  14  1.81539e+07
28  15  2.15654e+07
28  16  1.96576e+07
28  17  0
28  18  0
28  19  0
28  20  0
28  21  0
28  22  0
28  23  0
28  24  0
28  25  2.1641e+07
28  26  0
28  27  2.44733e+07
28  28  2.03104e+07
28  29  0
28  30  0
28  31  2.33344e+07
28  32  0
28  33  1.87526e+07
28  34  0
28  35  0
28  36  0
28  37  0
28  38  0
28  39  0
28  40  0
28  41  0
28  42  0
28  43  0
28  44  1.52179e+07
28  45  0
28  46  0
28  47  3.09224e+07
28  48  1.78176e+07
28  49  1.88306e+07
28  50  3.72143e+07
29  0  0
29  1  0
29  2  0
29  3  0
29  4  0
29  5  0
29  6  0
29  7  0
29  8  0
29  9  0
29  10  0
29  11  2.28629e+07
29  12  2.08469e+07
29  13  2.79178e+07
29  14  2.2369e+07
29  15  0
29  16  0
29  17  0
29  18  0
29  19  0
29  20  0
29  21  0
29  22  0
29  23  0
29  24  2.06674e+07
29  25  0
29  26  0
29  27  2.91913e+07
29  28  0
29  29  2.13951e+07
29  30  0
29  31  2.32278e+07
29  32  0
29  33  0
29  34  0
29  35  0
29  36  0
29  37  0
29  38  1.82761e+07
29  39  0
29  40  0
29  41  0
29  42  0
29  43  0
29  44  0
29  45  2.08454e+07
29  46  2.06626e+07
29  47  1.96948e+07
29  48  3.12597e+07
29  49  2.8924e+07
29  50  3.19496e+07
30  0  0
30  1  0
30  2  0
30  3  0
30  4  0
30  5  0
30  6  0
30  7  0
30  8  1.613e+07
30  9  0
30  10  0
30  11  0
30  12  0
30  13  0
30  14  0
30  15  0
30  16  0
30  17  0
30  18  0
30  19  0
30  20  0
