row  column  (images_14_017.edf Fe-K*images_14_017.edf Ar-K**(2.3))
6  65  9.20787e+07
6  66  8.41685e+07
6  67  8.96372e+07
6  68  1.0089e+08
6  69  7.99418e+07
6  70  7.34124e+07
6  71  9.85701e+07
6  72  1.09691e+08
6  73  0
6  74  1.53011e+08
6  75  1.01543e+08
6  76  9.23982e+07
6  77  6.78267e+07
6  78  8.93496e+07
6  79  1.13801e+08
6  80  1.03256e+08
6  81  8.50528e+07
6  82  7.23706e+07
6  83  7.6172e+07
6  84  7.47863e+07
6  85  8.02967e+07
6  86  7.5313e+07
6  87  5.31343e+07
6  88  6.05565e+07
6  89  5.0392e+07
6  90  4.33723e+07
6  91  7.23528e+07
6  92  6.4379e+07
6  93  1.83499e+06
6  94  6.86578e+07
6  95  5.24696e+07
6  96  7.4501e+07
6  97  5.38988e+07
6  98  7.7475e+07
6  99  3.972e+07
6  100  6.39026e+07
7  0  2.05972e+07
7  1  2.41348e+07
7  2  3.02736e+07
7  3  2.32829e+07
7  4  2.50583e+07
7  5  4.70608e+07
7  6  4.09069e+07
7  7  6.22246e+07
7  8  5.98553e+07
7  9  6.14836e+07
7  10  6.74484e+07
7  11  1.10765e+08
7  12  8.1402e+07
7  13  1.27254e+08
7  14  1.60465e+08
7  15  1.56186e+08
7  16  1.67912e+08
7  17  1.57108e+08
7  18  2.09821e+08
7  19  2.16239e+08
7  20  1.44297e+08
7  21  1.33086e+08
7  22  1.33548e+08
7  23  1.32928e+08
7  24  1.21027e+08
7  25  1.29367e+08
7  26  9.97088e+07
7  27  9.95118e+07
7  28  1.06046e+08
7  29  1.07531e+08
7  30  1.1871e+08
7  31  9.476e+07
7  32  9.02421e+07
7  33  8.52275e+07
7  34  9.49297e+07
7  35  7.85995e+07
7  36  8.21548e+07
7  37  1.07355e+08
7  38  1.14225e+08
7  39  9.20537e+07
7  40  1.38672e+08
7  41  3.32962e+08
7  42  2.0424e+08
7  43  9.24087e+07
7  44  1.43137e+08
7  45  1.14799e+08
7  46  1.59209e+08
7  47  1.45749e+08
7  48  1.45703e+08
7  49  3.00242e+08
7  50  2.48369e+08
7  51  1.75333e+08
7  52  1.51767e+08
7  53  1.36996e+08
7  54  1.19344e+08
7  55  1.69415e+08
7  56  2.93229e+08
7  57  2.70844e+08
7  58  2.37564e+08
7  59  2.02855e+08
7  60  1.2981e+08
7  61  1.14174e+08
7  62  1.01164e+08
7  63  9.50288e+07
7  64  8.02877e+07
7  65  1.05167e+08
7  66  1.00736e+08
7  67  8.70916e+07
7  68  1.12957e+08
7  69  1.22273e+08
7  70  1.25652e+08
7  71  1.1546e+08
7  72  1.28122e+08
7  73  1.316e+08
7  74  1.17196e+08
7  75  1.02988e+08
7  76  1.02144e+08
7  77  9.11784e+07
7  78  9.62915e+07
7  79  9.92208e+07
7  80  1.05041e+08
7  81  7.52514e+07
7  82  9.0072e+07
7  83  6.29251e+07
7  84  9.3159e+07
7  85  8.14824e+07
7  86  6.65924e+07
7  87  1.58277e+07
7  88  4.62963e+07
7  89  5.56208e+07
7  90  4.69674e+07
7  91  5.56061e+07
7  92  8.34445e+07
7  93  4.6475e+07
7  94  6.29294e+07
7  95  9.52881e+07
7  96  1.06382e+08
7  97  8.58703e+07
7  98  6.84497e+07
7  99  5.95123e+07
7  100  4.43267e+07
8  0  2.37631e+07
8  1  2.78257e+07
8  2  3.43994e+07
8  3  2.29837e+07
8  4  3.42461e+07
8  5  2.30715e+07
8  6  4.15042e+07
8  7  6.0274e+07
8  8  4.63136e+07
8  9  5.72676e+07
8  10  8.82988e+07
8  11  1.04901e+08
8  12  1.31965e+08
8  13  1.36502e+08
8  14  1.65531e+08
