row  column  (images_14_017.edf S-K*images_14_017.edf Ar-K**(2.3))
7  23  7.24102e+06
7  24  5.1937e+06
7  25  7.69098e+06
7  26  1.26575e+07
7  27  2.80094e+07
7  28  2.84473e+07
7  29  1.8087e+07
7  30  1.99914e+07
7  31  1.32185e+07
7  32  1.47845e+07
7  33  2.01668e+07
7  34  7.01599e+06
7  35  2.66543e+07
7  36  1.99248e+07
7  37  1.05116e+07
7  38  3.21136e+07
7  39  2.44326e+07
7  40  3.04718e+07
7  41  1.20511e+07
7  42  2.73134e+07
7  43  1.73255e+07
7  44  2.25553e+07
7  45  1.85469e+07
7  46  1.62424e+07
7  47  3.53869e+07
7  48  4.65704e+07
7  49  5.00979e+07
7  50  4.30915e+07
7  51  3.56647e+07
7  52  6.98522e+07
7  53  4.73551e+07
7  54  4.37772e+07
7  55  5.50352e+07
7  56  7.03919e+07
7  57  5.66444e+07
7  58  5.5225e+07
7  59  3.93235e+07
7  60  6.30581e+07
7  61  4.58256e+07
7  62  3.56107e+07
7  63  2.71437e+07
7  64  2.01281e+07
7  65  4.78617e+07
7  66  3.56429e+07
7  67  2.08277e+07
7  68  3.14179e+07
7  69  3.72442e+07
7  70  4.32672e+07
7  71  3.52343e+07
7  72  3.11415e+07
7  73  3.66871e+07
7  74  2.20102e+07
7  75  1.8567e+07
7  76  3.00037e+07
7  77  2.40784e+07
7  78  1.518e+07
7  79  2.16252e+07
7  80  3.11654e+07
7  81  4.52874e+07
7  82  8.61415e+06
7  83  7.69938e+06
7  84  1.603e+07
7  85  4.05251e+06
7  86  9.61491e+06
7  87  9.17876e+06
7  88  1.52801e+07
7  89  3.74045e+06
7  90  2.57597e+06
7  91  1.02971e+07
7  92  1.94065e+06
7  93  1.25245e+07
7  94  8.61734e+06
7  95  1.64365e+07
7  96  2.07476e+07
7  97  1.57523e+07
7  98  2.72645e+07
7  99  2.12567e+07
7  100  2.61673e+07
8  0  5.66441e+06
8  1  2.10486e+06
8  2  760547
8  3  1.94093e+06
8  4  1.58279e+06
8  5  2.24041e+06
8  6  5.35951e+06
8  7  3.44032e+06
8  8  3.62741e+06
