row  column  (images_14_017.edf P-K*images_14_017.edf Ar-K**(2.3))
7  57  1.09645e+07
7  58  1.10282e+07
7  59  1.12398e+07
7  60  1.50844e+07
7  61  8.5884e+06
7  62  0
7  63  1.18478e+06
7  64  1.33937e+06
7  65  2.06875e+06
7  66  0
7  67  4.13994e+06
7  68  0
7  69  1.58229e+06
7  70  7.8547e+06
7  71  0
7  72  4.15523e+06
7  73  5.99148e+06
7  74  5.25088e+06
7  75  1.11235e+07
7  76  6.31103e+06
7  77  3.42916e+06
7  78  1.31962e+06
7  79  0
7  80  3.2169e+06
7  81  1.01662e+07
7  82  0
7  83  1.64824e+06
7  84  0
7  85  0
7  86  364469
7  87  0
7  88  0
7  89  0
7  90  292694
7  91  0
7  92  0
7  93  1.69855e+06
7  94  2.64967e+06
7  95  401756
7  96  269734
7  97  1.69384e+06
7  98  0
7  99  0
7  100  6.75844e+06
8  0  69253.9
8  1  0
8  2  0
8  3  253768
8  4  0
8  5  626047
8  6  0
8  7  1.074e+06
8  8  0
8  9  0
8  10  6.46431e+06
8  11  6.50704e+06
8  12  1.44728e+06
8  13  920615
8  14  5.82702e+06
8  15  0
8  16  4.75043e+06
8  17  1.35343e+07
8  18  1.28951e+07
8  19  3.16392e+06
8  20  6.0625e+06
8  21  5.51825e+06
8  22  1.23061e+06
8  23  2.21953e+06
8  24  0
8  25  5.64667e+06
8  26  2.30652e+06
8  27  2.00742e+06
8  28  1.54249e+06
8  29  1.02851e+07
8  30  5.25538e+06
8  31  7.62615e+06
8  32  4.86238e+06
8  33  4.70656e+06
8  34  0
8  35  1.17805e+06
8  36  0
8  37  554465
8  38  3.53964e+06
8  39  0
8  40  0
8  41  0
8  42  1.88725e+06
8  43  6.85134e+06
8  44  0
8  45  489724
8  46  6.09865e+06
8  47  0
8  48  8.43258e+06
8  49  2.26348e+06
8  50  1.84158e+06
8  51  4.08709e+06
8  52  4.66697e+06
8  53  1.18709e+07
8  54  1.17173e+07
8  55  8.24693e+06
8  56  2.27932e+07
8  57  1.48428e+07
8  58  1.53162e+07
8  59  1.37633e+07
8  60  1.78311e+07
8  61  7.27534e+06
8  62  7.03453e+06
