row  column  (images_39.edf Mn-K*images_39.edf Ar-K**2.3)
3  5  1.95557e+06
3  6  2.15857e+06
3  7  0
3  8  521253
3  9  4.95799e+06
3  10  2.20328e+06
3  11  1.67683e+06
3  12  4.24454e+06
3  13  2.09348e+06
3  14  5.59813e+06
3  15  6.55358e+06
3  16  4.72357e+06
3  17  4.27776e+06
3  18  1.99637e+06
3  19  3.81459e+06
3  20  1.15558e+06
3  21  1.94933e+06
3  22  4.45469e+06
3  23  3.2418e+06
3  24  3.91188e+06
3  25  0
3  26  2.60224e+06
3  27  2.50496e+06
3  28  6.95016e+06
3  29  3.50714e+06
3  30  4.12027e+06
3  31  1.06384e+06
3  32  3.73113e+06
3  33  4.65088e+06
3  34  6.04727e+06
3  35  3.59478e+06
3  36  4.19922e+06
3  37  5.59256e+06
3  38  817715
3  39  3.91008e+06
3  40  3.13559e+06
3  41  3.34016e+06
3  42  3.52583e+06
3  43  2.11417e+06
3  44  7.00937e+06
3  45  3.23357e+06
3  46  6.32287e+06
3  47  4.42108e+06
3  48  4.16342e+06
