row  column  (images_11.edf Ca_K*images_11.edf Ar_K**2.3)
21  9  1.71793e+09
21  10  1.74437e+09
21  11  2.08833e+09
21  12  2.44839e+09
21  13  3.6146e+09
21  14  4.94875e+09
21  15  4.21509e+09
21  16  4.08374e+09
21  17  3.56544e+09
21  18  3.03499e+09
21  19  2.67822e+09
21  20  2.88173e+09
21  21  2.69446e+09
21  22  3.71771e+09
21  23  4.16929e+09
21  24  4.9207e+09
21  25  5.24446e+09
21  26  5.34909e+09
21  27  5.49937e+09
21  28  6.05763e+09
21  29  6.41068e+09
21  30  6.26741e+09
21  31  5.86787e+09
21  32  5.71522e+09
21  33  4.49348e+09
21  34  3.9188e+09
21  35  4.48634e+09
21  36  3.86109e+09
21  37  3.60548e+09
21  38  3.27895e+09
21  39  3.33764e+09
21  40  2.87664e+09
21  41  2.84983e+09
21  42  2.68553e+09
21  43  3.40828e+09
21  44  2.85612e+09
21  45  2.55535e+09
21  46  2.62416e+09
21  47  2.42917e+09
21  48  2.48835e+09
21  49  2.82072e+09
21  50  2.56119e+09
22  0  2.87315e+08
22  1  4.51656e+08
22  2  3.48126e+08
22  3  4.8526e+08
22  4  5.49231e+08
22  5  6.00552e+08
22  6  7.12156e+08
22  7  9.68011e+08
22  8  1.42929e+09
22  9  1.96148e+09
22  10  2.12404e+09
22  11  2.46403e+09
22  12  3.62019e+09
22  13  5.21103e+09
22  14  4.88845e+09
22  15  4.22963e+09
22  16  3.94234e+09
22  17  3.51104e+09
22  18  2.83169e+09
22  19  3.13712e+09
22  20  2.72673e+09
22  21  3.00676e+09
22  22  3.7471e+09
22  23  4.66709e+09
22  24  5.02391e+09
22  25  6.01662e+09
22  26  6.04314e+09
22  27  6.14213e+09
22  28  6.67021e+09
22  29  6.63196e+09
22  30  6.59673e+09
22  31  5.77442e+09
22  32  5.12185e+09
22  33  3.96594e+09
