row  column  (images_10_7103.edf Fe_K*images_10_7103.edf Ar_K**2.3)
11  28  4.271e+08
11  29  3.72552e+08
11  30  4.26149e+08
11  31  4.54641e+08
11  32  4.527e+08
11  33  4.96744e+08
11  34  6.68474e+08
11  35  4.40345e+08
11  36  5.02715e+08
11  37  4.00565e+08
11  38  4.38756e+08
11  39  4.92117e+08
11  40  4.04764e+08
11  41  6.14748e+08
11  42  5.23403e+08
11  43  5.42313e+08
11  44  5.48271e+08
11  45  4.82905e+08
11  46  4.59484e+08
11  47  5.68142e+08
11  48  5.32434e+08
11  49  5.53848e+08
11  50  5.31734e+08
12  0  3.84968e+08
12  1  3.64562e+08
12  2  2.82459e+08
12  3  2.59966e+08
12  4  2.95586e+08
12  5  2.42683e+08
12  6  3.37106e+08
12  7  2.79312e+08
12  8  2.47555e+08
12  9  2.4571e+08
12  10  3.39788e+08
12  11  2.94307e+08
12  12  2.43449e+08
12  13  3.08605e+08
12  14  3.34077e+08
12  15  3.42091e+08
12  16  4.14588e+08
12  17  4.14776e+08
12  18  2.76791e+08
12  19  4.17163e+08
12  20  6.46183e+08
12  21  4.26374e+08
12  22  3.68643e+08
12  23  3.07054e+08
12  24  4.03788e+08
12  25  3.54475e+08
12  26  4.52069e+08
12  27  3.54668e+08
12  28  4.60874e+08
12  29  4.85022e+08
12  30  4.31488e+08
12  31  4.96098e+08
12  32  4.85596e+08
12  33  3.76699e+08
12  34  5.70475e+08
12  35  4.44496e+08
12  36  5.29458e+08
12  37  4.981e+08
12  38  5.05539e+08
12  39  4.50057e+08
12  40  4.55474e+08
12  41  5.4541e+08
12  42  6.06621e+08
12  43  5.78212e+08
12  44  6.08311e+08
12  45  4.48386e+08
12  46  5.32981e+08
12  47  4.11328e+08
12  48  4.77405e+08
12  49  5.50829e+08
12  50  4.71804e+08
13  0  4.13495e+08
13  1  2.72301e+08
13  2  2.7534e+08
13  3  3.20769e+08
13  4  2.79765e+08
13  5  2.38353e+08
13  6  2.80105e+08
13  7  2.54342e+08
13  8  2.69978e+08
13  9  2.80714e+08
13  10  2.84985e+08
13  11  2.45161e+08
13  12  2.41729e+08
13  13  2.93385e+08
13  14  3.36178e+08
13  15  3.58064e+08
13  16  3.67632e+08
13  17  3.65605e+08
13  18  2.98472e+08
13  19  4.41878e+08
13  20  9.44068e+08
13  21  4.29926e+08
13  22  3.74677e+08
13  23  3.53276e+08
13  24  3.35857e+08
13  25  4.1693e+08
13  26  4.99861e+08
13  27  5.48891e+08
13  28  5.32374e+08
13  29  4.09353e+08
13  30  3.52545e+08
13  31  5.25992e+08
13  32  5.24341e+08
13  33  4.61067e+08
13  34  5.74029e+08
13  35  4.08092e+08
13  36  4.60149e+08
13  37  4.37168e+08
13  38  5.83336e+08
13  39  5.1267e+08
13  40  4.71107e+08
13  41  5.61319e+08
13  42  5.72314e+08
13  43  5.36506e+08
13  44  4.84293e+08
13  45  4.09372e+08
13  46  4.92564e+08
13  47  5.05538e+08
13  48  5.35506e+08
13  49  4.82693e+08
13  50  4.50159e+08
14  0  3.76062e+08
14  1  3.25691e+08
14  2  4.01417e+08
14  3  3.11739e+08
14  4  2.88696e+08
14  5  2.67103e+08
14  6  2.07138e+08
14  7  3.19738e+08
14  8  2.91357e+08
14  9  2.65995e+08
14  10  3.1035e+08
14  11  2.40788e+08
14  12  3.58948e+08
14  13  2.45485e+08
14  14  3.09065e+08
14  15  3.4312e+08
14  16  3.99838e+08
14  17  2.42094e+08
14  18  3.13402e+08
14  19  4.21454e+08
14  20  1.10471e+09
14  21  4.77024e+08
14  22  3.26688e+08
14  23  4.28563e+08
14  24  3.26184e+08
14  25  4.11952e+08
14  26  3.50941e+08
14  27  4.40366e+08
14  28  4.58126e+08
14  29  4.54254e+08
14  30  4.41436e+08
14  31  5.65051e+08
14  32  4.24447e+08
14  33  4.22614e+08
14  34  5.24273e+08
14  35  4.47156e+08
14  36  4.38492e+08
14  37  4.97661e+08
14  38  5.38187e+08
14  39  4.42321e+08
14  40  4.57079e+08
14  41  5.17052e+08
14  42  6.14944e+08
14  43  5.70194e+08
14  44  4.88192e+08
14  45  4.74405e+08
14  46  4.34333e+08
14  47  5.38495e+08
14  48  5.6788e+08
14  49  5.15678e+08
14  50  5.90365e+08
15  0  4.33062e+08
15  1  3.99833e+08
15  2  3.62492e+08
15  3  2.73142e+08
15  4  2.70808e+08
15  5  3.09968e+08
15  6  3.01676e+08
15  7  2.25328e+08
15  8  2.88114e+08
15  9  2.27897e+08
15  10  2.81564e+08
15  11  3.30513e+08
15  12  3.51721e+08
15  13  3.01385e+08
15  14  2.72548e+08
15  15  4.51579e+08
15  16  4.47043e+08
15  17  3.45897e+08
15  18  3.79802e+08
15  19  4.37632e+08
15  20  1.28464e+09
15  21  5.92317e+08
15  22  4.06195e+08
15  23  4.265e+08
15  24  3.5798e+08
15  25  3.6514e+08
15  26  3.93627e+08
15  27  4.57767e+08
15  28  4.67492e+08
15  29  4.28885e+08
15  30  4.75642e+08
15  31  5.68807e+08
15  32  4.7311e+08
15  33  4.30495e+08
15  34  4.71143e+08
15  35  4.60547e+08
15  36  4.8839e+08
15  37  3.97041e+08
15  38  5.05879e+08
15  39  4.29995e+08
15  40  5.17254e+08
15  41  5.39419e+08
15  42  6.50232e+08
15  43  5.00902e+08
15  44  5.16863e+08
15  45  4.31029e+08
15  46  5.34092e+08
15  47  5.50627e+08
15  48  5.35216e+08
15  49  5.95291e+08
15  50  6.07258e+08
16  0  4.11819e+08
16  1  2.97797e+08
16  2  3.2415e+08
16  3  3.19977e+08
16  4  2.99983e+08
16  5  2.28628e+08
16  6  2.87193e+08
16  7  2.55024e+08
16  8  3.02735e+08
16  9  3.28002e+08
16  10  3.17489e+08
16  11  3.37916e+08
16  12  2.67951e+08
16  13  3.24884e+08
16  14  3.5647e+08
16  15  3.39856e+08
16  16  4.90302e+08
16  17  4.00929e+08
16  18  3.71428e+08
16  19  4.32298e+08
16  20  1.68788e+09
16  21  7.74026e+08
16  22  4.41623e+08
16  23  4.72557e+08
16  24  4.44695e+08
16  25  3.90928e+08
16  26  4.38866e+08
16  27  5.7233e+08
16  28  4.46106e+08
16  29  4.63749e+08
16  30  4.33979e+08
16  31  6.06099e+08
16  32  4.07963e+08
16  33  4.59733e+08
16  34  5.0568e+08
16  35  4.38949e+08
16  36  3.92933e+08
16  37  4.06206e+08
16  38  4.8373e+08
16  39  4.19521e+08
16  40  4.50218e+08
16  41  5.09988e+08
16  42  4.96545e+08
16  43  4.8017e+08
16  44  4.55805e+08
16  45  3.98185e+08
16  46  4.55958e+08
16  47  5.47698e+08
16  48  6.18216e+08
16  49  6.31004e+08
16  50  6.25887e+08
17  0  4.32706e+08
17  1  3.66291e+08
17  2  3.29246e+08
17  3  3.41523e+08
17  4  2.72831e+08
17  5  2.84231e+08
17  6  3.02624e+08
17  7  2.27155e+08
17  8  3.0979e+08
17  9  2.28269e+08
17  10  3.25892e+08
17  11  3.1703e+08
17  12  3.32948e+08
17  13  2.9347e+08
17  14  3.34291e+08
17  15  3.71241e+08
17  16  6.53202e+08
17  17  4.08055e+08
17  18  4.55775e+08
17  19  5.96995e+08
17  20  2.76652e+09
17  21  5.74114e+08
17  22  5.23814e+08
17  23  4.91509e+08
17  24  3.76814e+08
17  25  4.34799e+08
17  26  4.87655e+08
17  27  5.72463e+08
17  28  3.94081e+08
17  29  4.2941e+08
17  30  4.32315e+08
17  31  5.14991e+08
17  32  4.02144e+08
17  33  4.43253e+08
17  34  4.72265e+08
17  35  5.09948e+08
17  36  4.39346e+08
17  37  4.62008e+08
17  38  4.93803e+08
17  39  4.48216e+08
17  40  4.61986e+08
17  41  4.58556e+08
17  42  5.90525e+08
17  43  4.8651e+08
17  44  5.43573e+08
17  45  3.99468e+08
17  46  4.55073e+08
17  47  4.48482e+08
17  48  5.2049e+08
17  49  5.24194e+08
17  50  5.73575e+08
18  0  4.17216e+08
18  1  3.79615e+08
18  2  3.51151e+08
18  3  3.22756e+08
18  4  3.01267e+08
18  5  3.10787e+08
18  6  2.33245e+08
18  7  2.74619e+08
18  8  2.84288e+08
18  9  2.67937e+08
18  10  3.04931e+08
18  11  2.8631e+08
18  12  3.06301e+08
18  13  3.93658e+08
18  14  4.1129e+08
18  15  3.83603e+08
18  16  7.12928e+08
18  17  3.87292e+08
18  18  4.08117e+08
18  19  6.13169e+08
18  20  1.38096e+09
18  21  5.02048e+08
18  22  6.03127e+08
18  23  4.87609e+08
18  24  3.30304e+08
18  25  4.50461e+08
18  26  6.18803e+08
18  27  5.41284e+08
18  28  4.17392e+08
18  29  4.57115e+08
18  30  4.39584e+08
18  31  4.54919e+08
18  32  3.5976e+08
18  33  4.3532e+08
18  34  4.64974e+08
18  35  3.81182e+08
18  36  5.15255e+08
18  37  4.05022e+08
18  38  5.02491e+08
18  39  4.47782e+08
18  40  4.7398e+08
18  41  4.03181e+08
18  42  5.93554e+08
18  43  4.81803e+08
18  44  5.24583e+08
18  45  4.26337e+08
18  46  5.21484e+08
18  47  5.28348e+08
18  48  5.66418e+08
18  49  4.79247e+08
18  50  5.18752e+08
19  0  4.82483e+08
19  1  4.2609e+08
19  2  3.16548e+08
19  3  4.07403e+08
19  4  3.4222e+08
19  5  3.15256e+08
19  6  2.59629e+08
19  7  3.08248e+08
19  8  3.14595e+08
19  9  2.84641e+08
19  10  2.68506e+08
19  11  3.03752e+08
19  12  3.21755e+08
19  13  3.02303e+08
19  14  3.60372e+08
19  15  4.07824e+08
19  16  6.58001e+08
19  17  4.54134e+08
19  18  4.12981e+08
19  19  5.17704e+08
19  20  1.20618e+09
19  21  5.36611e+08
19  22  5.29421e+08
19  23  4.37118e+08
19  24  4.25521e+08
19  25  3.91108e+08
19  26  5.99781e+08
19  27  5.60513e+08
19  28  4.99691e+08
19  29  5.35272e+08
19  30  5.04184e+08
19  31  4.83686e+08
19  32  4.72003e+08
19  33  3.86302e+08
19  34  4.66306e+08
19  35  4.22302e+08
19  36  4.81877e+08
19  37  4.90726e+08
19  38  4.9162e+08
19  39  4.7285e+08
19  40  5.34123e+08
19  41  4.85719e+08
19  42  5.54758e+08
19  43  4.99433e+08
19  44  5.01177e+08
19  45  4.87447e+08
19  46  4.11273e+08
19  47  4.84515e+08
19  48  4.67334e+08
19  49  4.47612e+08
19  50  6.06754e+08
20  0  5.0446e+08
20  1  3.55863e+08
20  2  3.77378e+08
20  3  3.72106e+08
20  4  2.95228e+08
20  5  3.07582e+08
20  6  2.66371e+08
20  7  3.18414e+08
20  8  2.74451e+08
20  9  3.13689e+08
20  10  3.03729e+08
20  11  3.65585e+08
20  12  3.31095e+08
20  13  3.68135e+08
20  14  3.11393e+08
20  15  3.68381e+08
20  16  5.64661e+08
20  17  3.66261e+08
20  18  3.98162e+08
20  19  4.64002e+08
20  20  9.374e+08
20  21  5.56981e+08
20  22  5.15108e+08
20  23  3.66672e+08
20  24  3.99922e+08
20  25  5.17522e+08
20  26  5.86579e+08
20  27  5.65266e+08
20  28  3.9737e+08
20  29  4.13502e+08
20  30  3.77811e+08
20  31  4.81421e+08
20  32  4.42901e+08
20  33  4.09603e+08
20  34  3.92019e+08
20  35  4.72784e+08
20  36  4.87011e+08
20  37  4.55614e+08
20  38  4.49676e+08
20  39  5.80066e+08
20  40  4.34186e+08
20  41  5.21354e+08
20  42  5.44912e+08
20  43  4.93224e+08
20  44  4.40769e+08
20  45  4.26631e+08
20  46  4.70958e+08
