row  column  (images_10_7103.edf Ca_K*images_10_7103.edf Ar_K**2.3)
12  2  6.22909e+09
12  3  6.87991e+09
12  4  6.41051e+09
12  5  6.56898e+09
12  6  6.40571e+09
12  7  5.89808e+09
12  8  6.17469e+09
12  9  7.25063e+09
12  10  7.59739e+09
12  11  7.149e+09
12  12  7.74778e+09
12  13  8.04416e+09
12  14  6.85317e+09
12  15  7.40311e+09
12  16  8.51984e+09
12  17  6.44215e+09
12  18  6.46185e+09
12  19  7.66269e+09
12  20  6.86066e+09
12  21  6.85555e+09
12  22  6.22524e+09
12  23  5.61081e+09
12  24  6.02946e+09
12  25  5.48218e+09
12  26  6.37962e+09
12  27  6.10102e+09
12  28  6.47998e+09
12  29  5.61812e+09
12  30  5.62158e+09
12  31  6.24677e+09
12  32  6.1627e+09
12  33  5.64121e+09
12  34  6.63605e+09
12  35  6.53574e+09
12  36  6.18395e+09
12  37  5.31982e+09
12  38  5.09442e+09
12  39  5.79328e+09
12  40  4.85223e+09
12  41  6.79665e+09
12  42  7.92781e+09
12  43  7.00929e+09
12  44  5.9596e+09
12  45  4.65185e+09
12  46  6.00117e+09
12  47  5.65914e+09
12  48  5.69878e+09
12  49  5.92789e+09
12  50  5.6933e+09
13  0  7.57946e+09
13  1  6.41024e+09
13  2  5.43042e+09
13  3  6.98085e+09
13  4  6.48403e+09
13  5  6.4387e+09
13  6  5.67577e+09
13  7  5.55802e+09
13  8  5.64474e+09
13  9  7.02776e+09
13  10  7.90397e+09
13  11  6.74119e+09
13  12  6.89995e+09
13  13  7.32284e+09
13  14  6.33459e+09
13  15  7.97255e+09
13  16  7.61501e+09
13  17  6.52769e+09
13  18  7.28574e+09
13  19  7.66937e+09
13  20  7.30647e+09
13  21  6.84931e+09
13  22  5.98298e+09
13  23  5.82039e+09
13  24  6.2645e+09
13  25  5.53642e+09
13  26  6.4496e+09
13  27  6.49034e+09
13  28  6.77929e+09
13  29  6.53421e+09
13  30  5.73043e+09
13  31  6.77319e+09
13  32  6.09446e+09
13  33  5.74309e+09
13  34  6.56292e+09
13  35  6.54031e+09
13  36  5.74657e+09
13  37  5.5244e+09
13  38  5.43499e+09
13  39  5.41689e+09
13  40  4.9463e+09
13  41  6.32528e+09
13  42  7.7679e+09
13  43  7.10475e+09
13  44  5.12707e+09
13  45  4.56658e+09
13  46  5.6961e+09
13  47  6.1825e+09
13  48  5.48456e+09
13  49  5.89256e+09
13  50  5.75748e+09
14  0  6.78783e+09
14  1  6.19871e+09
14  2  5.69356e+09
14  3  6.9127e+09
14  4  6.39752e+09
14  5  6.10584e+09
14  6  5.69364e+09
14  7  6.25419e+09
14  8  5.15381e+09
14  9  6.35763e+09
14  10  6.92229e+09
14  11  6.683e+09
14  12  7.92003e+09
14  13  7.56749e+09
14  14  6.32739e+09
14  15  7.22484e+09
14  16  7.14394e+09
14  17  6.56668e+09
14  18  7.07512e+09
14  19  7.43773e+09
14  20  7.36944e+09
14  21  6.81301e+09
14  22  5.75431e+09
14  23  5.83309e+09
14  24  5.46247e+09
14  25  6.03519e+09
14  26  6.3373e+09
14  27  6.15394e+09
14  28  5.80797e+09
14  29  5.09595e+09
14  30  6.01608e+09
14  31  6.58043e+09
14  32  5.94285e+09
14  33  5.86151e+09
14  34  6.41919e+09
14  35  5.83201e+09
14  36  5.46363e+09
14  37  5.60499e+09
14  38  4.82009e+09
14  39  4.9297e+09
14  40  5.3227e+09
14  41  6.50187e+09
14  42  8.19649e+09
14  43  5.91251e+09
14  44  4.7042e+09
14  45  4.3544e+09
14  46  5.00644e+09
14  47  6.07688e+09
14  48  5.78452e+09
14  49  5.66682e+09
14  50  6.22853e+09
15  0  7.51355e+09
15  1  6.4835e+09
15  2  6.12144e+09
15  3  7.20434e+09
15  4  6.80093e+09
15  5  6.91558e+09
15  6  5.87634e+09
15  7  6.09863e+09
15  8  5.96408e+09
15  9  5.96622e+09
15  10  6.73696e+09
15  11  6.5535e+09
15  12  6.8712e+09
15  13  6.90313e+09
15  14  5.85531e+09
15  15  7.04353e+09
15  16  6.52012e+09
15  17  6.822e+09
15  18  7.1212e+09
15  19  7.28881e+09
15  20  6.91264e+09
15  21  6.86962e+09
15  22  6.25327e+09
15  23  5.58434e+09
15  24  5.87743e+09
15  25  5.85767e+09
15  26  6.1612e+09
15  27  6.14524e+09
15  28  6.04526e+09
15  29  5.92647e+09
15  30  5.61086e+09
15  31  5.80216e+09
15  32  5.91679e+09
15  33  5.67078e+09
15  34  5.9372e+09
15  35  5.94111e+09
15  36  5.86328e+09
15  37  5.75463e+09
15  38  5.06311e+09
15  39  5.01056e+09
15  40  5.62568e+09
15  41  6.24657e+09
15  42  7.71916e+09
15  43  6.0182e+09
15  44  4.59976e+09
15  45  4.30135e+09
15  46  5.39071e+09
15  47  5.56386e+09
15  48  5.78692e+09
15  49  5.78887e+09
15  50  6.36495e+09
16  0  6.91037e+09
16  1  5.66496e+09
16  2  6.11853e+09
16  3  6.62183e+09
16  4  7.57439e+09
16  5  6.64937e+09
16  6  5.74312e+09
16  7  5.52444e+09
16  8  6.22541e+09
16  9  5.87119e+09
16  10  6.55827e+09
16  11  6.38144e+09
16  12  6.36275e+09
16  13  6.32655e+09
16  14  5.70004e+09
16  15  6.1078e+09
16  16  5.96859e+09
16  17  6.53639e+09
16  18  6.51079e+09
16  19  7.61267e+09
16  20  7.45094e+09
16  21  7.45132e+09
16  22  6.57683e+09
16  23  5.83248e+09
16  24  5.68239e+09
16  25  5.49372e+09
16  26  6.35129e+09
16  27  6.70248e+09
16  28  5.97552e+09
16  29  5.62993e+09
16  30  5.19862e+09
16  31  5.90957e+09
16  32  5.68427e+09
16  33  5.50476e+09
16  34  6.0233e+09
16  35  6.09907e+09
16  36  6.06428e+09
16  37  5.13257e+09
16  38  4.71797e+09
16  39  5.16073e+09
16  40  4.88497e+09
16  41  5.95992e+09
16  42  7.3437e+09
16  43  5.74777e+09
16  44  4.57255e+09
16  45  4.2437e+09
16  46  4.93927e+09
16  47  6.4637e+09
16  48  5.97158e+09
16  49  5.90878e+09
16  50  6.2468e+09
17  0  7.00167e+09
17  1  5.73069e+09
17  2  6.23386e+09
17  3  7.62193e+09
17  4  7.62978e+09
17  5  6.60622e+09
17  6  5.90629e+09
17  7  6.08188e+09
17  8  5.98005e+09
17  9  5.67092e+09
17  10  6.4719e+09
17  11  6.64185e+09
17  12  6.72333e+09
17  13  5.95994e+09
17  14  6.2478e+09
17  15  6.06702e+09
17  16  6.32846e+09
17  17  6.45479e+09
17  18  6.23781e+09
17  19  7.17816e+09
17  20  6.36663e+09
17  21  6.30774e+09
17  22  6.54804e+09
17  23  6.2103e+09
17  24  5.54271e+09
17  25  5.96638e+09
17  26  7.14194e+09
17  27  6.03252e+09
17  28  6.19016e+09
17  29  5.87553e+09
17  30  5.67358e+09
17  31  5.81596e+09
17  32  5.55828e+09
17  33  5.6543e+09
17  34  6.52194e+09
17  35  5.82151e+09
17  36  6.29275e+09
17  37  5.93789e+09
17  38  4.63271e+09
17  39  5.37597e+09
17  40  5.17327e+09
17  41  5.7058e+09
17  42  7.57603e+09
17  43  6.27204e+09
17  44  4.89024e+09
17  45  4.36018e+09
17  46  5.46067e+09
17  47  6.25072e+09
17  48  5.34826e+09
17  49  5.43748e+09
17  50  6.71503e+09
18  0  6.87099e+09
18  1  6.45388e+09
18  2  6.01452e+09
18  3  7.62707e+09
18  4  8.32704e+09
18  5  7.0274e+09
18  6  5.97774e+09
18  7  6.68527e+09
18  8  6.18098e+09
18  9  6.07631e+09
18  10  6.72718e+09
18  11  6.69982e+09
18  12  6.23182e+09
18  13  5.93192e+09
18  14  5.78597e+09
18  15  6.09445e+09
18  16  6.05205e+09
18  17  6.38391e+09
18  18  6.65388e+09
18  19  7.70344e+09
18  20  6.29889e+09
18  21  6.95235e+09
18  22  7.25886e+09
18  23  6.69635e+09
18  24  5.4055e+09
18  25  5.92848e+09
18  26  6.49413e+09
18  27  6.28412e+09
18  28  5.99962e+09
18  29  6.25244e+09
18  30  5.86831e+09
18  31  5.69314e+09
18  32  5.86872e+09
18  33  5.93433e+09
18  34  5.92865e+09
18  35  6.18615e+09
18  36  6.80692e+09
18  37  5.83501e+09
18  38  5.27408e+09
18  39  5.93938e+09
18  40  5.66795e+09
18  41  5.70485e+09
18  42  7.60665e+09
18  43  6.04132e+09
18  44  4.93548e+09
18  45  4.59247e+09
18  46  5.25853e+09
18  47  5.55231e+09
18  48  5.41437e+09
18  49  5.30555e+09
18  50  6.65124e+09
19  0  7.70854e+09
19  1  5.8474e+09
19  2  6.38755e+09
19  3  8.2671e+09
19  4  7.85807e+09
19  5  6.90719e+09
19  6  6.25445e+09
19  7  7.23962e+09
19  8  6.78296e+09
19  9  6.13311e+09
19  10  6.82743e+09
19  11  7.13467e+09
19  12  6.85812e+09
19  13  5.85725e+09
19  14  6.11137e+09
19  15  5.93989e+09
19  16  6.15109e+09
19  17  6.67207e+09
19  18  7.34024e+09
19  19  7.63636e+09
19  20  6.68109e+09
19  21  7.54763e+09
19  22  7.07224e+09
19  23  6.38885e+09
19  24  6.32228e+09
19  25  6.38077e+09
19  26  6.92519e+09
19  27  7.05895e+09
19  28  7.01689e+09
19  29  6.31543e+09
19  30  6.41342e+09
19  31  5.88151e+09
19  32  6.35769e+09
19  33  5.49322e+09
19  34  5.54903e+09
19  35  6.53559e+09
19  36  7.59633e+09
19  37  6.04017e+09
19  38  5.66533e+09
19  39  6.60434e+09
19  40  6.13323e+09
19  41  6.70733e+09
19  42  7.70578e+09
19  43  6.24135e+09
19  44  4.54122e+09
19  45  5.31685e+09
19  46  5.85557e+09
19  47  5.75239e+09
19  48  4.68194e+09
19  49  5.07251e+09
19  50  7.05896e+09
20  0  7.64886e+09
20  1  5.96344e+09
20  2  6.31624e+09
20  3  7.92809e+09
20  4  7.86893e+09
20  5  7.89838e+09
20  6  6.7509e+09
20  7  7.50421e+09
20  8  7.27805e+09
20  9  6.74132e+09
20  10  7.59175e+09
20  11  7.50161e+09
20  12  7.14219e+09
20  13  6.51283e+09
20  14  6.57961e+09
20  15  6.5164e+09
20  16  5.57564e+09
20  17  6.28447e+09
20  18  6.99176e+09
20  19  7.78856e+09
20  20  6.71152e+09
20  21  8.05388e+09
20  22  7.41294e+09
20  23  6.72836e+09
20  24  6.24781e+09
20  25  6.36903e+09
20  26  7.25806e+09
20  27  6.95266e+09
20  28  6.61264e+09
20  29  6.51235e+09
20  30  6.19871e+09
20  31  6.68367e+09
20  32  6.36962e+09
20  33  5.84977e+09
20  34  5.36447e+09
20  35  6.15053e+09
20  36  8.01507e+09
20  37  6.92974e+09
20  38  5.74387e+09
20  39  7.62812e+09
20  40  6.27054e+09
20  41  6.81113e+09
20  42  8.03377e+09
20  43  6.7574e+09
20  44  5.23613e+09
20  45  5.35204e+09
20  46  5.69401e+09
20  47  5.46981e+09
20  48  4.41302e+09
20  49  4.6642e+09
20  50  6.84681e+09
21  0  7.33793e+09
21  1  6.29737e+09
21  2  5.92396e+09
21  3  7.55616e+09
21  4  7.47098e+09
21  5  7.67603e+09
21  6  6.90048e+09
21  7  7.13792e+09
21  8  7.58517e+09
21  9  7.46223e+09
21  10  8.91749e+09
21  11  7.9744e+09
21  12  7.56102e+09
21  13  6.53789e+09
21  14  6.41327e+09
21  15  6.28138e+09
21  16  5.7543e+09
21  17  6.74664e+09
21  18  7.27618e+09
21  19  7.51127e+09
21  20  7.35383e+09
21  21  8.30367e+09
21  22  7.7868e+09
21  23  6.59818e+09
21  24  6.88929e+09
21  25  7.202e+09
21  26  7.46279e+09
21  27  6.97324e+09
21  28  6.54549e+09
21  29  6.59226e+09
21  30  6.71812e+09
21  31  7.18205e+09
21  32  6.26486e+09
21  33  5.5279e+09
21  34  5.34587e+09
21  35  6.86796e+09
21  36  8.39197e+09
21  37  6.92661e+09
21  38  6.19074e+09
21  39  6.97171e+09
21  40  6.12918e+09
21  41  6.94237e+09
21  42  8.32335e+09
21  43  6.04954e+09
21  44  4.90084e+09
21  45  5.52721e+09
21  46  5.6357e+09
21  47  4.77929e+09
21  48  4.26206e+09
21  49  5.11997e+09
21  50  7.52873e+09
22  0  7.30015e+09
22  1  6.02538e+09
22  2  6.10803e+09
22  3  7.63262e+09
22  4  8.19609e+09
22  5  7.1394e+09
22  6  7.50201e+09
22  7  7.72228e+09
22  8  8.30745e+09
22  9  7.70647e+09
22  10  7.94992e+09
22  11  8.05855e+09
22  12  7.91774e+09
22  13  6.73198e+09
22  14  5.99088e+09
22  15  6.16169e+09
22  16  5.92037e+09
22  17  7.05238e+09
22  18  7.3785e+09
22  19  7.52951e+09
22  20  6.75797e+09
22  21  7.95082e+09
22  22  8.09824e+09
22  23  6.9304e+09
22  24  7.60653e+09
22  25  6.95887e+09
22  26  8.09609e+09
22  27  7.15708e+09
22  28  6.6273e+09
22  29  6.34858e+09
22  30  6.47329e+09
