row  column  (images_10_7103.edf Cu_K*images_10_7103.edf Ar_K**2.3)
22  19  5.1696e+07
22  20  0
22  21  2.83756e+07
22  22  4.81215e+07
22  23  6.22325e+07
22  24  7.2377e+07
22  25  4.00123e+07
22  26  1.97436e+07
22  27  0
22  28  0
22  29  0
22  30  6.38849e+07
22  31  0
22  32  0
22  33  0
22  34  2.92727e+07
22  35  0
22  36  2.38234e+07
22  37  0
22  38  1.81615e+07
22  39  0
22  40  0
22  41  3.09726e+07
22  42  0
22  43  1.74923e+07
22  44  9.47312e+06
22  45  4.5872e+07
22  46  0
22  47  0
22  48  0
22  49  0
22  50  1.53006e+07
23  0  0
23  1  0
23  2  1.7867e+07
23  3  6.33135e+07
23  4  9.83484e+06
23  5  1.55338e+07
23  6  0
23  7  0
23  8  1.84805e+07
23  9  4.59132e+07
23  10  1.0285e+07
23  11  1.29868e+08
23  12  2.05545e+07
23  13  0
23  14  2.64468e+07
23  15  5.29899e+07
23  16  0
23  17  8.39537e+07
23  18  0
23  19  0
23  20  1.2897e+07
23  21  3.41834e+07
23  22  0
23  23  0
23  24  5.65634e+07
23  25  0
23  26  0
23  27  0
23  28  3.69619e+07
23  29  9.59871e+06
23  30  0
23  31  0
23  32  0
23  33  1.98644e+07
23  34  3.49894e+07
23  35  0
23  36  8.5575e+06
23  37  3.35494e+07
23  38  4.66174e+06
23  39  0
23  40  3.95843e+07
23  41  0
23  42  0
23  43  4.78483e+07
23  44  0
23  45  3.81387e+07
23  46  0
23  47  1.07688e+07
23  48  5.7693e+07
23  49  0
23  50  1.86835e+07
24  0  6.87426e+07
24  1  2.35298e+07
24  2  7.88349e+07
24  3  4.60596e+06
24  4  7.59342e+06
24  5  1.4531e+07
24  6  981606
24  7  0
24  8  8.98715e+06
24  9  1.60327e+07
24  10  3.39409e+07
24  11  7.82864e+06
24  12  0
24  13  2.72382e+07
24  14  1.83606e+07
24  15  0
24  16  0
24  17  7.37104e+06
24  18  0
24  19  4.99699e+06
24  20  0
24  21  0
24  22  8.85321e+06
24  23  9.37472e+06
24  24  4.33091e+06
24  25  0
24  26  3.29489e+07
24  27  1.11954e+07
24  28  0
24  29  0
24  30  0
24  31  0
24  32  0
24  33  0
24  34  0
24  35  3.95231e+07
24  36  6.47423e+07
24  37  4.26298e+07
24  38  0
24  39  5.87965e+07
24  40  0
24  41  1.44806e+07
24  42  0
24  43  5.25751e+07
24  44  4.07727e+07
24  45  0
24  46  0
24  47  0
24  48  0
24  49  0
24  50  0
25  0  5.3066e+07
25  1  0
25  2  2.5731e+07
25  3  4.73326e+07
25  4  4.75678e+07
25  5  1.78055e+07
25  6  1.2639e+07
25  7  2.35937e+07
25  8  7.21018e+06
25  9  3.44713e+07
25  10  0
25  11  1.11948e+08
25  12  1.71667e+07
25  13  0
25  14  1.06756e+07
25  15  0
25  16  0
25  17  5.23665e+07
25  18  2.6788e+07
25  19  0
25  20  3.03801e+07
25  21  0
25  22  1.84041e+07
25  23  3.32135e+07
25  24  4.10606e+06
25  25  6.33547e+07
25  26  3.96106e+07
25  27  0
25  28  1.73153e+07
25  29  1.4787e+07
25  30  0
25  31  0
25  32  6.52983e+06
25  33  2.08348e+07
25  34  6.24506e+06
25  35  7.63111e+07
25  36  2.21599e+07
25  37  0
25  38  0
25  39  0
25  40  1.05341e+07
25  41  0
25  42  0
25  43  0
25  44  2.85771e+07
25  45  0
25  46  0
25  47  0
25  48  0
25  49  1.9164e+07
25  50  0
26  0  0
26  1  2.63841e+06
26  2  5.54142e+07
26  3  0
26  4  1.25532e+07
26  5  0
26  6  5.23099e+07
26  7  2.63293e+07
26  8  9.48747e+07
26  9  3.35759e+07
26  10  3.79926e+07
26  11  2.89793e+07
26  12  1.09141e+07
26  13  0
26  14  7.97609e+06
26  15  2.74817e+07
26  16  0
26  17  6.48741e+07
26  18  0
26  19  0
26  20  8.23245e+07
26  21  8.10531e+07
26  22  3.26034e+07
26  23  8.11071e+07
26  24  2.1634e+07
26  25  3.0571e+07
26  26  0
26  27  0
26  28  0
26  29  0
26  30  1.97332e+07
26  31  0
26  32  2.60878e+07
26  33  4.58531e+07
26  34  8.7743e+06
26  35  4.72648e+07
26  36  0
26  37  3.03986e+07
26  38  0
26  39  4.09094e+07
26  40  3.5001e+06
26  41  2.71438e+07
26  42  0
26  43  0
26  44  0
26  45  8.78775e+07
26  46  0
26  47  0
26  48  0
26  49  0
26  50  2.10614e+07
27  0  0
27  1  2.72386e+07
27  2  3.09598e+07
27  3  0
27  4  3.5624e+07
27  5  1.27883e+07
27  6  9.47573e+06
27  7  0
27  8  0
27  9  1.06878e+08
27  10  2.24853e+07
27  11  1.5139e+07
27  12  5.46474e+07
27  13  0
27  14  4.95723e+07
27  15  5.58126e+07
27  16  6.41785e+07
27  17  0
27  18  0
27  19  0
27  20  2.27434e+07
27  21  0
27  22  0
27  23  1.03972e+06
27  24  1.87579e+07
27  25  0
27  26  0
27  27  3.99765e+07
27  28  6.16813e+06
27  29  4.11236e+07
27  30  0
27  31  4.43141e+07
27  32  0
27  33  0
27  34  1.69253e+07
27  35  0
27  36  0
27  37  7.79758e+06
27  38  3.87628e+06
27  39  3.23959e+07
27  40  2.15339e+07
27  41  0
27  42  1.63949e+07
27  43  6.85848e+07
27  44  9.04312e+07
27  45  1.3083e+07
27  46  0
27  47  0
27  48  5.95302e+07
27  49  0
27  50  2.67525e+07
28  0  9.28969e+06
28  1  0
28  2  4.78331e+07
28  3  0
28  4  573305
28  5  3.43629e+07
28  6  2.86472e+07
28  7  0
28  8  3.14273e+07
28  9  1.26514e+07
28  10  7.69931e+07
28  11  5.17952e+07
28  12  0
28  13  8.25038e+07
28  14  7.77956e+06
28  15  2.07214e+07
28  16  1.12069e+06
28  17  4.16198e+07
28  18  2.89165e+07
28  19  0
28  20  0
28  21  0
28  22  5.00412e+07
28  23  1.70063e+07
28  24  1.84896e+07
28  25  0
28  26  3.6317e+07
28  27  0
28  28  9.63007e+06
28  29  0
28  30  7.57756e+06
28  31  3.39488e+07
28  32  0
28  33  2.39522e+07
28  34  0
28  35  1.91802e+07
28  36  2.60937e+07
28  37  0
28  38  3.46795e+07
28  39  0
28  40  3.95568e+06
28  41  2.34253e+07
28  42  0
28  43  0
28  44  7.52227e+07
28  45  0
28  46  5.52813e+07
28  47  0
28  48  0
28  49  0
28  50  1.28437e+07
29  0  0
29  1  0
29  2  1.02879e+06
29  3  1.15089e+07
29  4  1.31291e+07
29  5  0
29  6  2.30647e+07
29  7  2.67809e+07
29  8  0
29  9  1.91185e+07
29  10  1.69285e+07
29  11  7.33902e+06
29  12  1.10882e+08
29  13  2.61913e+07
29  14  0
29  15  0
29  16  4.14714e+07
29  17  0
29  18  9.10711e+07
29  19  0
29  20  4.85614e+07
29  21  0
29  22  3.32999e+07
29  23  8.53994e+07
29  24  6.62621e+07
29  25  4.64129e+07
29  26  2.50341e+07
29  27  1.79106e+07
29  28  5.98583e+07
29  29  0
29  30  0
29  31  3.78878e+07
29  32  0
29  33  0
29  34  6.79178e+06
29  35  4.25732e+07
