row  column  (images_7.edf Mn-K*images_7.edf Ar-K**2.3)
1  89  0
1  90  2.51356e+06
1  91  8.17807e+06
1  92  0
1  93  3.29281e+07
1  94  1.30356e+07
1  95  1.87634e+07
1  96  1.88184e+07
1  97  0
1  98  1.23237e+07
1  99  1.32956e+07
1  100  0
2  0  0
2  1  1.6894e+07
2  2  0
2  3  1.03591e+07
2  4  1.46267e+07
2  5  0
2  6  593109
2  7  0
2  8  1.45e+07
2  9  7.04874e+06
2  10  1.09588e+07
2  11  9.60314e+06
2  12  4.5683e+06
2  13  1.25477e+07
2  14  1.15586e+07
2  15  8.97845e+06
2  16  5.35894e+06
2  17  2.34493e+06
2  18  1.03314e+07
2  19  3.32798e+06
2  20  4.66116e+06
2  21  3.44625e+06
2  22  0
2  23  1.64646e+07
2  24  4.70393e+06
2  25  1.69688e+07
2  26  7.52743e+06
2  27  625350
2  28  6.56304e+06
2  29  1.03251e+07
2  30  9.325e+06
2  31  1.10187e+07
2  32  1.46859e+07
2  33  8.33443e+06
2  34  5.02124e+06
2  35  0
2  36  0
2  37  2.62337e+06
2  38  1.04022e+07
2  39  9.43929e+06
2  40  1.87136e+07
2  41  4.55429e+06
2  42  7.49256e+06
2  43  4.82981e+06
2  44  1.57063e+06
2  45  7.21148e+06
2  46  1.3842e+07
2  47  3.75025e+06
2  48  8.28539e+06
2  49  1.03395e+07
2  50  1.20665e+07
2  51  6.05291e+06
2  52  7.29151e+06
2  53  8.42507e+06
2  54  8.96683e+06
2  55  1.03809e+07
2  56  8.87228e+06
2  57  4.77173e+06
2  58  850195
2  59  9.71813e+06
2  60  1.61367e+07
2  61  7.13813e+06
2  62  1.04493e+07
2  63  1.1813e+07
2  64  9.38899e+06
2  65  1.40677e+07
2  66  9.9741e+06
2  67  1.23915e+07
2  68  1.36883e+07
2  69  6.45793e+06
2  70  4.83768e+06
2  71  1.0188e+07
2  72  1.25444e+07
2  73  2.29029e+07
2  74  2.89382e+07
2  75  4.92559e+07
2  76  6.32838e+07
2  77  1.06256e+07
2  78  5.53351e+06
2  79  1.89109e+07
2  80  1.85084e+07
2  81  0
2  82  2.72108e+07
2  83  0
2  84  4.56417e+06
2  85  1.14248e+07
2  86  1.13571e+07
2  87  3.57701e+07
2  88  2.36295e+07
2  89  1.21978e+07
2  90  66539.8
2  91  0
2  92  1.62084e+07
2  93  6.36505e+06
2  94  0
2  95  0
2  96  1.40432e+07
2  97  0
2  98  7.46382e+06
2  99  0
2  100  1.08126e+07
