row  column  (images_7.edf K-K*images_7.edf Ar-K**2.3)
7  63  1.54517e+07
7  64  1.73236e+07
7  65  4.62348e+07
7  66  4.90795e+07
7  67  3.86507e+07
7  68  1.35948e+07
7  69  4.70445e+07
7  70  5.05761e+07
7  71  5.65972e+07
7  72  5.64775e+07
7  73  6.79487e+07
7  74  6.53822e+07
7  75  5.46666e+07
7  76  6.15378e+07
7  77  8.29316e+07
7  78  1.07969e+08
7  79  3.18431e+06
7  80  6.98095e+07
7  81  4.73789e+07
7  82  4.67413e+07
7  83  8.49228e+07
7  84  2.50562e+07
7  85  5.63299e+07
7  86  7.0856e+07
7  87  2.767e+07
7  88  3.88192e+07
7  89  7.20423e+06
7  90  5.33615e+07
7  91  0
7  92  0
7  93  1.37316e+07
7  94  2.58373e+07
7  95  5.20519e+07
7  96  3.19919e+07
7  97  4.25927e+07
7  98  4.37737e+07
7  99  5.64404e+07
7  100  0
8  0  1.55788e+07
8  1  1.90143e+07
8  2  1.14666e+07
8  3  8.83395e+06
8  4  8.47231e+06
8  5  2.15241e+07
8  6  1.79619e+07
8  7  2.17892e+07
8  8  0
8  9  1.17788e+07
8  10  1.7243e+07
8  11  2.96942e+07
8  12  2.26016e+07
8  13  0
8  14  1.44441e+07
8  15  3.92902e+07
8  16  1.5617e+07
8  17  2.27512e+07
8  18  9.01695e+06
8  19  3.65612e+07
8  20  2.41084e+07
8  21  1.39972e+07
8  22  0
8  23  1.10801e+07
8  24  2.05439e+07
8  25  0
8  26  0
8  27  5.03148e+07
8  28  3.52442e+07
8  29  2.91986e+07
8  30  2.53989e+07
8  31  3.78097e+07
8  32  3.13299e+07
8  33  3.1446e+07
8  34  3.0457e+07
8  35  8.75708e+06
8  36  1.76501e+07
8  37  2.19638e+07
8  38  4.39339e+07
8  39  2.35334e+07
8  40  3.26929e+07
8  41  9.95667e+06
8  42  3.62391e+07
8  43  2.98748e+07
8  44  3.11968e+07
8  45  1.67946e+07
8  46  2.89672e+07
8  47  2.34896e+07
8  48  2.55706e+07
8  49  4.23704e+07
8  50  2.76667e+07
8  51  2.4318e+07
8  52  2.33507e+07
8  53  2.52894e+07
8  54  5.4643e+07
8  55  7.98163e+06
8  56  2.47346e+07
8  57  2.15587e+07
8  58  0
8  59  2.59629e+07
8  60  3.693e+07
8  61  0
8  62  0
8  63  3.18508e+07
8  64  3.1717e+07
8  65  2.79091e+07
8  66  4.54573e+07
8  67  4.32439e+07
8  68  2.3059e+07
8  69  6.75772e+07
8  70  6.08409e+07
8  71  2.54552e+06
8  72  9.09044e+07
8  73  8.18329e+07
8  74  5.90915e+07
8  75  5.65382e+07
8  76  6.5397e+07
8  77  1.00381e+08
8  78  9.4799e+07
8  79  0
8  80  7.4927e+07
8  81  6.40809e+07
8  82  1.05622e+08
8  83  8.22492e+07
8  84  4.47583e+07
8  85  6.69924e+07
8  86  5.84329e+07
8  87  2.83527e+07
8  88  5.77857e+07
8  89  4.87893e+07
8  90  2.30344e+07
8  91  2.33791e+07
8  92  3.70641e+07
8  93  5.75077e+07
8  94  4.90099e+07
8  95  3.8429e+07
8  96  5.20046e+07
8  97  3.9286e+07
8  98  1.78207e+07
8  99  0
8  100  4.09997e+07
9  0  1.70733e+07
9  1  1.13894e+07
9  2  1.38004e+07
9  3  5.27329e+06
9  4  1.29108e+07
9  5  1.41453e+07
9  6  1.76992e+07
9  7  1.35792e+07
9  8  1.15249e+07
9  9  2.28438e+07
9  10  6.22208e+06
9  11  2.39208e+07
9  12  2.38893e+07
9  13  1.77098e+07
9  14  4.16592e+07
9  15  2.00399e+07
9  16  2.81265e+06
9  17  2.10084e+07
9  18  3.24566e+07
9  19  3.32501e+07
9  20  2.10927e+07
9  21  2.92051e+07
9  22  2.23972e+07
9  23  2.31662e+07
9  24  3.21893e+07
9  25  9.24972e+06
9  26  1.99452e+07
9  27  3.69715e+07
9  28  2.98355e+07
9  29  4.0401e+07
9  30  0
9  31  3.81291e+06
9  32  4.86344e+07
9  33  2.48745e+07
9  34  2.37386e+07
9  35  2.89315e+07
9  36  2.61664e+07
9  37  2.79729e+07
9  38  2.78132e+07
9  39  2.1159e+07
9  40  4.1299e+07
9  41  4.24296e+07
9  42  1.7772e+07
9  43  3.53478e+07
9  44  3.73792e+07
9  45  2.02074e+07
9  46  1.63374e+07
9  47  2.60588e+07
9  48  2.92204e+07
9  49  2.20844e+07
9  50  8.4596e+06
9  51  0
9  52  2.41068e+07
9  53  3.2412e+07
9  54  2.85305e+06
9  55  0
9  56  0
9  57  3.72647e+07
9  58  2.95374e+07
9  59  2.8698e+07
9  60  1.32204e+07
9  61  1.1373e+07
9  62  7.82589e+06
9  63  1.85656e+07
9  64  3.36546e+07
9  65  3.31394e+07
9  66  3.69467e+07
9  67  0
9  68  4.70412e+07
9  69  5.0148e+07
9  70  0
9  71  6.27999e+07
9  72  5.96691e+07
9  73  7.87185e+07
9  74  5.58299e+07
9  75  7.81654e+07
9  76  7.98933e+07
9  77  6.67043e+07
9  78  5.79908e+07
9  79  9.11732e+07
9  80  9.53239e+07
9  81  2.85841e+07
9  82  9.59633e+07
9  83  7.12884e+07
9  84  3.68256e+07
9  85  5.39056e+07
9  86  8.84461e+07
9  87  5.35625e+07
9  88  5.88136e+07
9  89  5.32018e+07
9  90  5.66141e+07
9  91  4.05701e+07
9  92  2.1857e+07
9  93  3.74357e+07
9  94  0
9  95  4.79112e+07
9  96  4.0755e+07
9  97  3.32936e+07
9  98  1.89118e+07
9  99  4.3487e+07
9  100  7.36578e+06
10  0  1.10518e+07
10  1  2.43641e+07
10  2  2.0964e+07
10  3  0
10  4  3.17539e+06
10  5  1.35521e+07
10  6  1.58372e+07
10  7  1.03203e+07
10  8  1.46031e+07
10  9  3.45177e+07
10  10  1.89768e+07
10  11  2.2737e+07
10  12  1.65097e+07
10  13  2.05932e+07
10  14  1.94798e+07
10  15  2.9639e+07
10  16  2.51756e+07
10  17  1.6769e+07
10  18  3.54011e+06
10  19  2.28794e+07
10  20  0
10  21  4.3197e+07
10  22  3.89285e+07
10  23  2.16155e+07
10  24  1.48452e+07
10  25  3.36891e+07
10  26  3.46141e+07
10  27  5.05194e+07
10  28  1.21118e+07
10  29  3.43364e+07
10  30  4.55864e+07
10  31  1.54881e+07
10  32  2.49298e+07
10  33  3.95408e+07
10  34  3.7633e+07
10  35  3.95537e+07
10  36  5.13735e+07
10  37  2.41557e+07
10  38  1.71348e+07
10  39  5.18909e+07
10  40  2.54386e+07
10  41  1.06996e+07
10  42  2.15993e+07
10  43  2.2927e+07
10  44  3.16779e+07
10  45  3.00259e+07
10  46  7.62852e+06
10  47  2.27091e+07
10  48  1.70605e+07
10  49  2.43974e+07
10  50  3.02805e+07
10  51  1.73705e+07
10  52  3.12816e+07
10  53  2.22855e+07
10  54  4.40555e+07
10  55  1.6761e+07
10  56  2.18644e+07
10  57  4.29082e+07
10  58  3.0525e+07
10  59  3.11766e+07
10  60  2.96988e+07
10  61  2.64187e+07
10  62  1.91695e+07
10  63  3.34031e+07
10  64  1.54294e+07
10  65  3.36621e+07
10  66  2.62252e+07
10  67  5.70515e+07
10  68  0
10  69  2.83956e+07
10  70  5.4224e+07
10  71  2.91743e+07
10  72  8.12111e+07
10  73  6.29601e+07
10  74  1.08383e+08
10  75  8.33866e+07
10  76  8.71986e+07
10  77  7.73218e+07
10  78  7.83573e+07
10  79  6.57343e+07
10  80  1.02747e+07
10  81  8.17329e+07
10  82  6.28372e+07
10  83  1.10138e+08
10  84  6.13836e+07
10  85  9.27256e+07
10  86  1.01405e+08
10  87  4.50637e+07
10  88  7.13903e+07
10  89  3.44431e+07
10  90  4.25293e+07
10  91  3.70301e+07
10  92  4.09447e+07
10  93  3.80777e+07
10  94  4.89542e+07
10  95  4.83366e+07
10  96  1.14933e+07
10  97  1.01497e+07
10  98  6.0099e+07
10  99  3.3023e+07
10  100  1.42272e+07
11  0  1.11404e+07
11  1  8.16269e+06
11  2  1.57035e+07
11  3  1.23805e+07
11  4  1.09377e+07
11  5  1.30614e+07
11  6  4.17877e+06
11  7  9.7577e+06
11  8  2.49298e+07
11  9  1.49604e+07
11  10  1.92164e+07
11  11  2.21456e+07
11  12  9.38214e+06
11  13  1.79757e+07
11  14  2.49764e+07
11  15  1.63245e+07
11  16  1.76554e+07
11  17  1.94101e+07
11  18  4.09403e+07
11  19  2.69292e+07
11  20  3.70393e+07
11  21  6.47686e+06
11  22  2.98703e+07
11  23  3.61721e+07
11  24  1.30226e+07
11  25  2.55575e+07
11  26  1.97609e+07
11  27  1.57876e+07
11  28  2.41066e+07
11  29  2.97344e+07
11  30  4.02537e+07
11  31  3.24351e+07
11  32  4.48658e+07
11  33  3.67484e+07
11  34  3.49831e+07
11  35  3.25831e+07
11  36  0
11  37  3.24008e+07
11  38  4.27581e+07
11  39  1.5515e+07
11  40  2.23991e+07
11  41  4.88328e+07
11  42  0
11  43  1.04499e+07
11  44  1.41468e+07
11  45  2.39314e+07
11  46  2.00393e+07
11  47  4.53489e+07
11  48  3.23992e+07
11  49  0
11  50  2.1135e+07
11  51  3.37817e+07
11  52  3.75698e+07
11  53  1.74027e+07
11  54  3.35856e+07
11  55  2.85689e+07
11  56  2.53551e+07
11  57  2.24427e+07
11  58  1.34608e+07
11  59  2.76208e+07
11  60  3.88752e+07
11  61  0
11  62  2.50228e+07
11  63  917809
11  64  3.26102e+07
11  65  2.69718e+07
11  66  4.67218e+07
11  67  3.90229e+07
11  68  6.65981e+07
11  69  4.65311e+07
11  70  5.36522e+07
11  71  6.33615e+07
11  72  9.18002e+07
11  73  7.75945e+07
11  74  5.84694e+07
11  75  6.54311e+07
11  76  7.18633e+07
11  77  7.81131e+07
11  78  6.57933e+07
11  79  5.77372e+07
11  80  9.66343e+07
11  81  1.11142e+08
