row  column  (images_7.edf Cu-K*images_7.edf Ar-K**2.3)
6  59  1.24333e+07
6  60  3.08923e+07
6  61  1.34997e+07
6  62  2.61747e+07
6  63  4.26835e+07
6  64  0
6  65  2.37244e+07
6  66  2.57794e+07
6  67  0
6  68  2.06182e+07
6  69  1.31464e+07
6  70  0
6  71  1.40347e+07
6  72  1.7331e+07
6  73  2.26268e+07
6  74  1.96349e+07
6  75  3.09202e+07
6  76  3.92533e+06
6  77  4.12713e+06
6  78  0
6  79  1.60705e+07
6  80  0
6  81  6.93931e+06
6  82  0
6  83  0
6  84  0
6  85  293247
6  86  2.44782e+06
6  87  2.81299e+07
6  88  0
6  89  0
6  90  0
6  91  1.39074e+07
6  92  4.12395e+06
6  93  2.102e+07
6  94  4.07691e+07
6  95  2.63316e+07
6  96  1.37149e+07
6  97  8.7684e+06
6  98  509546
6  99  0
6  100  2.72057e+06
7  0  4.05861e+06
7  1  0
7  2  0
7  3  0
7  4  149777
7  5  1.15143e+06
7  6  4.35345e+06
7  7  0
7  8  0
7  9  2.46126e+07
7  10  7.07975e+06
7  11  0
7  12  0
7  13  1.90887e+07
7  14  1.00356e+07
7  15  1.71111e+07
7  16  5.24307e+06
7  17  7.77703e+06
7  18  1.08809e+07
7  19  6.18496e+06
7  20  1.90624e+07
7  21  3.38403e+06
7  22  8.69248e+06
7  23  6.96493e+06
7  24  3.08317e+07
7  25  2.1144e+07
7  26  1.61294e+07
7  27  1.87092e+07
7  28  1.17494e+07
7  29  2.47614e+07
7  30  1.05662e+07
7  31  1.17289e+07
7  32  1.14223e+07
7  33  0
7  34  2.80276e+07
7  35  1.32371e+07
7  36  2.90467e+06
7  37  3.46031e+06
7  38  1.89817e+06
7  39  0
7  40  2.79946e+07
7  41  3.12415e+06
7  42  7.30834e+06
7  43  1.05391e+07
7  44  8.99595e+06
7  45  1.8951e+06
7  46  3.23335e+07
7  47  1.54002e+07
7  48  2.50146e+07
7  49  0
7  50  9.36431e+06
7  51  0
7  52  8.51733e+06
7  53  2.97791e+06
7  54  1.71161e+06
7  55  2.15281e+07
7  56  2.58966e+07
7  57  3.22577e+06
7  58  4.76649e+06
7  59  4.80891e+06
7  60  0
7  61  4.28987e+06
7  62  0
7  63  1.487e+07
7  64  3.01858e+06
7  65  0
7  66  0
7  67  1.75005e+07
7  68  8.10515e+06
7  69  1.44206e+07
7  70  1.8568e+07
7  71  1.60773e+07
7  72  3.76514e+06
7  73  2.85249e+06
7  74  2.07737e+07
7  75  673007
7  76  1.06768e+07
7  77  1.07887e+07
7  78  717617
7  79  1.53656e+07
7  80  2.08511e+07
7  81  2.00091e+07
7  82  9.27177e+06
7  83  0
7  84  3.6817e+07
7  85  6.70023e+06
7  86  4.42743e+06
7  87  7.91545e+06
7  88  2.04198e+07
7  89  2.35001e+07
7  90  0
7  91  1.81334e+07
7  92  1.11657e+07
7  93  1.62317e+07
7  94  0
7  95  0
7  96  0
7  97  9.40486e+06
7  98  0
7  99  0
7  100  2.4931e+07
8  0  0
8  1  7.17127e+06
8  2  4.0325e+06
8  3  0
8  4  0
8  5  1.5628e+07
8  6  1.31723e+07
8  7  1.46738e+06
8  8  0
8  9  1.167e+07
8  10  9.66686e+06
8  11  0
8  12  0
8  13  1.35184e+06
8  14  5.35289e+06
8  15  1.2609e+07
8  16  2.38753e+06
8  17  1.69826e+07
8  18  1.02758e+07
8  19  815509
8  20  4.30346e+06
8  21  1.62172e+07
8  22  3.48759e+06
8  23  1.26307e+07
8  24  6.49849e+06
8  25  1.81283e+07
8  26  836820
8  27  0
8  28  5.24716e+06
8  29  4.87433e+06
8  30  2.82096e+07
8  31  3.73407e+06
8  32  1.53873e+07
8  33  1.19857e+06
8  34  3.10006e+07
8  35  2.21961e+07
8  36  1.35925e+07
8  37  1.0482e+07
8  38  5.26593e+06
8  39  1.53028e+07
8  40  6.9159e+06
8  41  1.28049e+07
8  42  3.13245e+06
8  43  2.9061e+06
8  44  1.5601e+07
8  45  9.12948e+06
8  46  8.66297e+06
8  47  4.12134e+07
8  48  0
8  49  550390
8  50  3.67198e+07
8  51  2.69433e+07
8  52  3.78244e+06
8  53  0
8  54  3.21294e+07
8  55  9.09887e+06
8  56  8.65738e+06
8  57  6.72041e+06
8  58  1.25401e+07
8  59  1.59686e+07
8  60  0
8  61  2.42252e+06
8  62  0
8  63  0
8  64  0
8  65  2.13784e+07
8  66  2.77136e+07
8  67  8.37443e+06
8  68  1.35306e+07
8  69  1.1974e+07
8  70  1.26276e+07
8  71  183076
