row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
5  60  8.24186e+07
5  61  6.06737e+07
5  62  1.00233e+08
5  63  8.79134e+07
5  64  1.00221e+08
5  65  1.09844e+08
5  66  8.89739e+07
5  67  9.0843e+07
5  68  8.82785e+07
5  69  9.12084e+07
5  70  8.13154e+07
5  71  6.85253e+07
5  72  5.5132e+07
5  73  6.37616e+07
5  74  6.48285e+07
5  75  4.4174e+07
5  76  4.6832e+07
5  77  4.34754e+07
5  78  4.23244e+07
5  79  3.93936e+07
5  80  4.64955e+07
5  81  4.56503e+07
5  82  3.85605e+07
5  83  3.60838e+07
5  84  3.47012e+07
5  85  3.61426e+07
5  86  5.04706e+07
5  87  3.85345e+07
5  88  4.25715e+07
5  89  4.24114e+07
5  90  1.84345e+07
5  91  3.62004e+07
5  92  3.15048e+07
5  93  2.05325e+07
5  94  2.92398e+07
5  95  2.76976e+07
5  96  3.96856e+07
5  97  2.77282e+07
5  98  3.44881e+07
5  99  3.70981e+07
5  100  5.16941e+07
6  0  2.40231e+06
6  1  5.21058e+06
6  2  3.60724e+06
6  3  34552.4
6  4  893375
6  5  7.36793e+06
6  6  9.41498e+06
6  7  6.15481e+06
6  8  2.73363e+07
6  9  2.00449e+07
6  10  2.95727e+07
6  11  2.17216e+07
6  12  3.90658e+07
6  13  4.45481e+07
6  14  5.34849e+07
6  15  3.57347e+07
6  16  4.5562e+07
6  17  6.89054e+07
6  18  6.72981e+07
6  19  5.64771e+07
6  20  7.48668e+07
6  21  7.40745e+07
6  22  6.70825e+07
6  23  6.7582e+07
6  24  6.49677e+07
6  25  7.27024e+07
6  26  7.93093e+07
6  27  6.24347e+07
6  28  6.2378e+07
6  29  6.87043e+07
6  30  7.48138e+07
6  31  8.28327e+07
6  32  9.56614e+07
6  33  6.70525e+07
6  34  7.94105e+07
6  35  1.0698e+08
6  36  1.04107e+08
6  37  1.03411e+08
6  38  8.7056e+07
6  39  7.67598e+07
6  40  1.02588e+08
6  41  9.10409e+07
6  42  9.29605e+07
6  43  7.10788e+07
6  44  9.18496e+07
6  45  9.28571e+07
6  46  8.18515e+07
6  47  9.74995e+07
6  48  7.42055e+07
6  49  8.23784e+07
6  50  6.9357e+07
6  51  8.51032e+07
6  52  6.91779e+07
6  53  8.92976e+07
6  54  7.39799e+07
6  55  8.46907e+07
6  56  6.14996e+07
6  57  8.72917e+07
6  58  8.40892e+07
6  59  8.42082e+07
6  60  7.91342e+07
6  61  7.70794e+07
6  62  6.79673e+07
6  63  1.06466e+08
6  64  7.20544e+07
6  65  9.31009e+07
6  66  9.50636e+07
6  67  7.7969e+07
6  68  8.75364e+07
6  69  6.79815e+07
6  70  8.81144e+07
6  71  7.5828e+07
6  72  4.70691e+07
6  73  6.55768e+07
6  74  6.68248e+07
6  75  4.2849e+07
6  76  3.55726e+07
6  77  5.32205e+07
6  78  4.99297e+07
6  79  4.86011e+07
6  80  5.44011e+07
6  81  4.23436e+07
6  82  3.10917e+07
6  83  3.37235e+07
6  84  5.42851e+07
6  85  2.62486e+07
6  86  4.54991e+07
6  87  4.19207e+07
6  88  2.40118e+07
6  89  3.35186e+07
6  90  2.81527e+07
6  91  3.31186e+07
6  92  3.94886e+07
6  93  1.55773e+07
6  94  3.63467e+07
6  95  6.70114e+06
6  96  3.65541e+07
6  97  5.31873e+07
6  98  3.98944e+07
6  99  3.36688e+07
6  100  3.87867e+07
7  0  0
7  1  1.23766e+06
7  2  2.72461e+06
7  3  1.65603e+06
7  4  4.90626e+06
7  5  3.23943e+06
7  6  4.93238e+06
