row  column  (images_4.edf P-K*images_4.edf Ar-K**2.3)
6  16  2.99712e+06
6  17  1.7459e+06
6  18  0
6  19  0
6  20  0
6  21  243236
6  22  145442
6  23  0
6  24  0
6  25  507159
6  26  1.4795e+06
6  27  0
6  28  0
6  29  609684
6  30  3.69141e+06
6  31  3.50667e+06
6  32  2.07264e+06
6  33  0
6  34  2.2541e+06
6  35  1.4124e+06
6  36  318790
6  37  6.75764e+06
6  38  72583.4
6  39  0
6  40  3.86759e+06
6  41  2.75482e+06
6  42  1.73961e+06
6  43  522788
6  44  2.83786e+06
6  45  0
6  46  2.9573e+06
6  47  2.53955e+06
6  48  0
6  49  3.31506e+06
6  50  0
6  51  0
6  52  3.88011e+06
6  53  0
6  54  241945
6  55  926942
6  56  2.06327e+06
6  57  1.89397e+06
6  58  2.20898e+06
6  59  4.91024e+06
6  60  3.07224e+06
6  61  8.97737e+06
6  62  7.99977e+06
6  63  1.15612e+06
6  64  3.1865e+06
6  65  0
6  66  1.16133e+06
6  67  5.15883e+06
6  68  0
6  69  733727
6  70  2.97308e+06
6  71  1.21628e+07
6  72  5.48753e+06
6  73  5.12404e+06
6  74  7.26642e+06
6  75  6.85317e+06
6  76  7.59114e+06
6  77  8.53991e+06
6  78  3.14893e+06
6  79  6.05024e+06
6  80  7.1135e+06
6  81  3.41023e+06
6  82  7.32273e+06
6  83  1.09311e+07
6  84  9.74994e+06
6  85  4.6311e+06
6  86  4.5223e+06
6  87  1.50345e+07
6  88  3.59636e+06
6  89  7.25068e+06
6  90  496760
6  91  2.80881e+06
6  92  2.60649e+06
6  93  0
6  94  5.75841e+06
6  95  2.9119e+06
6  96  8.93394e+06
6  97  2.85451e+06
6  98  8.52108e+06
6  99  5.65682e+06
6  100  8.65827e+06
7  0  1.18559e+07
7  1  8.4486e+06
7  2  1.00766e+07
7  3  1.1847e+07
7  4  8.08514e+06
7  5  6.23573e+06
7  6  1.00207e+07
7  7  1.17596e+07
7  8  4.00878e+06
7  9  7.88451e+06
7  10  1.16528e+07
7  11  7.37846e+06
7  12  7.86212e+06
7  13  7.28755e+06
7  14  1.37399e+06
7  15  1.20714e+06
7  16  2.54615e+06
7  17  1.36876e+06
7  18  545646
7  19  2.30268e+06
7  20  0
7  21  1.78145e+06
7  22  0
7  23  169003
7  24  0
7  25  0
7  26  0
7  27  0
7  28  2.28948e+06
7  29  1.78698e+06
7  30  0
7  31  0
7  32  0
7  33  3.7123e+06
7  34  2.09853e+06
7  35  4.63213e+06
7  36  2.0484e+06
7  37  3.5843e+06
7  38  2.86284e+06
7  39  397727
7  40  2.44232e+06
7  41  3.55185e+06
7  42  3.86042e+06
7  43  2.49989e+06
7  44  3.22074e+06
7  45  4.09584e+06
7  46  2.01912e+06
7  47  0
7  48  1.45865e+06
7  49  1.19779e+06
7  50  2.00678e+06
7  51  23090
7  52  2.00549e+06
7  53  3.80476e+06
7  54  0
7  55  1.01246e+06
7  56  2.64166e+06
7  57  0
7  58  3.72174e+06
7  59  5.00693e+06
7  60  3.6009e+06
7  61  6.20996e+06
7  62  2.87102e+06
7  63  1.99329e+06
7  64  0
7  65  5.27058e+06
7  66  2.22388e+06
7  67  2.09832e+06
7  68  1.21479e+06
7  69  8.74295e+06
7  70  4.01074e+06
7  71  3.14364e+06
7  72  7.24649e+06
7  73  5.46553e+06
7  74  8.36608e+06
7  75  1.08106e+07
7  76  7.77604e+06
7  77  1.37491e+07
7  78  4.83014e+06
7  79  1.04584e+07
7  80  3.94508e+06
7  81  2.2265e+06
7  82  6.46866e+06
7  83  7.45167e+06
7  84  4.03518e+06
7  85  8.64533e+06
7  86  5.15118e+06
7  87  4.97694e+06
7  88  950426
7  89  1.54829e+06
7  90  2.65977e+06
7  91  2.50335e+06
7  92  0
