row  column  (images_16_017.edf Mn-K*images_16_017.edf Ar-K**2.3)
10  46  1.05756e+07
10  47  1.21012e+07
10  48  1.07648e+07
10  49  8.79634e+06
10  50  1.07257e+07
11  0  5.88211e+06
11  1  3.72008e+06
11  2  4.70088e+06
11  3  9.30127e+06
11  4  8.41756e+06
11  5  6.05146e+06
11  6  5.64699e+06
11  7  1.17315e+07
11  8  7.53589e+06
11  9  5.94677e+06
11  10  5.99655e+06
11  11  6.08338e+06
11  12  7.32638e+06
11  13  7.61046e+06
11  14  5.92848e+06
11  15  1.26077e+07
11  16  1.09176e+07
11  17  7.66098e+06
11  18  1.39926e+07
11  19  1.65442e+07
11  20  1.12114e+07
11  21  8.82925e+06
11  22  1.20272e+07
11  23  1.31097e+07
11  24  6.9277e+06
11  25  1.18898e+07
11  26  6.06742e+06
11  27  9.12481e+06
11  28  6.47997e+06
11  29  1.07533e+07
11  30  6.36821e+06
11  31  8.25568e+06
11  32  8.9308e+06
11  33  1.32974e+07
11  34  1.00943e+07
11  35  8.63822e+06
11  36  5.59256e+06
11  37  1.82396e+07
11  38  1.33868e+07
11  39  8.89216e+06
11  40  1.1614e+07
11  41  9.82235e+06
11  42  1.00885e+07
11  43  1.09426e+07
11  44  1.37494e+07
11  45  1.33385e+07
11  46  1.46098e+07
11  47  1.12879e+07
11  48  1.04225e+07
11  49  6.56112e+06
11  50  2.11673e+07
12  0  6.06983e+06
12  1  8.1007e+06
12  2  5.58293e+06
12  3  8.68358e+06
12  4  8.67897e+06
12  5  7.66302e+06
12  6  8.47533e+06
12  7  8.90722e+06
12  8  1.0042e+07
12  9  8.42992e+06
12  10  9.99828e+06
12  11  6.43257e+06
12  12  7.25308e+06
12  13  8.33811e+06
12  14  8.44652e+06
12  15  1.30619e+07
12  16  1.41649e+07
12  17  6.55432e+06
12  18  1.49476e+07
12  19  8.70967e+06
12  20  7.34112e+06
12  21  1.31996e+07
12  22  8.85443e+06
12  23  7.38401e+06
12  24  5.09953e+06
12  25  1.22376e+07
12  26  9.92354e+06
12  27  1.29461e+07
12  28  8.75195e+06
12  29  1.73884e+07
12  30  1.18846e+07
12  31  1.02679e+07
12  32  1.43766e+07
12  33  7.15816e+06
12  34  1.26495e+07
12  35  9.71899e+06
12  36  8.936e+06
12  37  1.26937e+07
12  38  1.17855e+07
12  39  1.22112e+07
12  40  4.192e+06
12  41  7.16494e+06
12  42  9.0009e+06
12  43  7.73093e+06
12  44  1.20463e+07
12  45  5.86104e+06
12  46  6.49656e+06
12  47  1.44109e+07
12  48  1.43692e+07
12  49  8.0618e+06
12  50  1.41346e+07
13  0  4.92268e+06
13  1  1.20537e+07
13  2  5.72555e+06
13  3  4.97273e+06
13  4  8.58774e+06
13  5  7.43914e+06
13  6  1.32057e+07
13  7  1.09907e+07
13  8  7.09718e+06
13  9  7.78122e+06
13  10  7.52836e+06
13  11  1.34385e+07
13  12  8.06747e+06
13  13  1.43721e+07
13  14  1.10378e+07
13  15  8.01232e+06
13  16  1.43542e+07
13  17  5.40993e+06
13  18  1.22697e+07
13  19  8.8514e+06
13  20  1.31186e+07
13  21  6.35184e+06
13  22  1.32924e+07
13  23  9.70659e+06
13  24  9.57261e+06
13  25  1.00295e+07
13  26  9.47844e+06
13  27  7.71193e+06
13  28  8.85273e+06
13  29  3.92265e+06
13  30  1.17622e+07
13  31  1.87437e+07
13  32  9.55055e+06
13  33  7.93536e+06
13  34  7.06172e+06
