row  column  (images_8.edf Ca_K*images_8.edf Ar_K**2.3)
10  38  1.05722e+09
10  39  8.48e+08
10  40  6.55945e+08
10  41  6.87695e+08
10  42  7.38887e+08
10  43  7.59434e+08
10  44  6.66742e+08
10  45  6.42905e+08
10  46  5.3832e+08
10  47  5.13201e+08
10  48  3.718e+08
10  49  3.12753e+08
10  50  2.64462e+08
11  0  1.1317e+09
11  1  9.94999e+08
11  2  1.47834e+09
11  3  1.34689e+09
11  4  1.3052e+09
11  5  1.30892e+09
11  6  1.28391e+09
11  7  1.15205e+09
11  8  1.02664e+09
11  9  1.14302e+09
11  10  1.2535e+09
11  11  1.42591e+09
11  12  1.37472e+09
11  13  1.39637e+09
11  14  1.45103e+09
11  15  1.35893e+09
11  16  1.58059e+09
11  17  1.68483e+09
11  18  1.74307e+09
11  19  1.66048e+09
11  20  1.45777e+09
11  21  1.38488e+09
11  22  1.45458e+09
11  23  1.59033e+09
11  24  1.47082e+09
11  25  1.38173e+09
11  26  1.28675e+09
11  27  1.29032e+09
11  28  1.23824e+09
11  29  1.25101e+09
11  30  1.28518e+09
11  31  1.44436e+09
11  32  1.19848e+09
11  33  1.44914e+09
11  34  1.26939e+09
11  35  1.21465e+09
11  36  1.28305e+09
11  37  1.03005e+09
11  38  1.08293e+09
11  39  8.9843e+08
11  40  8.21243e+08
11  41  7.77919e+08
11  42  9.04701e+08
11  43  8.9462e+08
11  44  8.88292e+08
11  45  7.66408e+08
11  46  7.05224e+08
11  47  6.29523e+08
11  48  4.84348e+08
11  49  4.13724e+08
11  50  3.11259e+08
12  0  1.15806e+09
12  1  1.15257e+09
12  2  1.26156e+09
12  3  1.15042e+09
12  4  1.24173e+09
12  5  1.30745e+09
12  6  1.2973e+09
12  7  1.05435e+09
12  8  1.08183e+09
12  9  1.18253e+09
12  10  1.25763e+09
12  11  1.41716e+09
12  12  1.52214e+09
12  13  1.40128e+09
12  14  1.30042e+09
12  15  1.39047e+09
12  16  1.69576e+09
12  17  1.59673e+09
12  18  1.67136e+09
12  19  1.82347e+09
12  20  1.3804e+09
12  21  1.16576e+09
12  22  1.29363e+09
12  23  1.52236e+09
12  24  1.41334e+09
12  25  1.45067e+09
12  26  1.5138e+09
12  27  1.40081e+09
12  28  1.32071e+09
12  29  1.43256e+09
12  30  1.44666e+09
12  31  1.45204e+09
12  32  1.44325e+09
12  33  1.4231e+09
12  34  1.36769e+09
12  35  1.26115e+09
12  36  1.40642e+09
12  37  1.17036e+09
12  38  1.09809e+09
12  39  1.09103e+09
12  40  8.77302e+08
12  41  1.06563e+09
12  42  1.1168e+09
12  43  1.15948e+09
12  44  1.00425e+09
12  45  9.12464e+08
12  46  8.98005e+08
12  47  6.88436e+08
12  48  6.44042e+08
12  49  4.87948e+08
12  50  3.77515e+08
13  0  1.11946e+09
13  1  1.26337e+09
13  2  1.29672e+09
13  3  1.13522e+09
13  4  1.15269e+09
13  5  1.29387e+09
13  6  1.3024e+09
13  7  1.01483e+09
13  8  1.18218e+09
13  9  1.28203e+09
13  10  1.37869e+09
13  11  1.36365e+09
13  12  1.40569e+09
13  13  1.313e+09
13  14  1.27026e+09
13  15  1.34433e+09
13  16  1.78488e+09
13  17  1.81236e+09
13  18  1.99248e+09
13  19  1.57249e+09
13  20  1.41494e+09
13  21  1.1887e+09
13  22  1.30103e+09
13  23  1.60586e+09
13  24  1.27748e+09
13  25  1.37386e+09
13  26  1.40433e+09
13  27  1.43151e+09
13  28  1.45728e+09
13  29  1.58085e+09
13  30  1.50875e+09
13  31  1.71828e+09
13  32  1.32513e+09
13  33  1.52664e+09
13  34  1.37516e+09
13  35  1.26612e+09
13  36  1.32882e+09
13  37  1.21479e+09
13  38  1.31425e+09
13  39  1.11854e+09
13  40  9.30831e+08
13  41  1.18205e+09
13  42  1.24899e+09
13  43  1.22018e+09
13  44  1.10592e+09
13  45  1.16767e+09
13  46  1.05884e+09
13  47  8.64222e+08
13  48  6.05799e+08
13  49  6.41849e+08
13  50  4.99344e+08
14  0  1.21662e+09
14  1  1.15028e+09
14  2  1.15828e+09
14  3  1.26212e+09
14  4  1.13968e+09
14  5  1.35443e+09
14  6  1.20661e+09
14  7  1.11401e+09
14  8  1.18377e+09
14  9  1.29647e+09
14  10  1.37576e+09
14  11  1.52119e+09
14  12  1.59031e+09
14  13  1.52138e+09
14  14  1.44788e+09
14  15  1.49261e+09
14  16  1.57333e+09
14  17  1.64081e+09
14  18  1.92639e+09
14  19  1.78134e+09
14  20  1.45981e+09
14  21  1.03499e+09
14  22  1.24987e+09
14  23  1.33326e+09
14  24  1.37636e+09
14  25  1.351e+09
14  26  1.44052e+09
14  27  1.45004e+09
14  28  1.42788e+09
14  29  1.62996e+09
14  30  1.50113e+09
14  31  1.82289e+09
14  32  1.6346e+09
14  33  1.49951e+09
14  34  1.43759e+09
14  35  1.3877e+09
14  36  1.23037e+09
14  37  1.15734e+09
14  38  1.48061e+09
14  39  1.3911e+09
14  40  1.017e+09
14  41  1.23343e+09
14  42  1.38742e+09
14  43  1.35078e+09
14  44  1.26937e+09
14  45  1.3186e+09
14  46  1.19065e+09
14  47  1.19778e+09
14  48  8.39635e+08
14  49  7.59702e+08
14  50  6.47769e+08
15  0  1.37336e+09
15  1  1.14971e+09
15  2  1.34217e+09
15  3  1.21718e+09
15  4  1.23642e+09
15  5  1.3075e+09
15  6  1.08492e+09
15  7  1.09877e+09
15  8  1.14723e+09
15  9  1.38953e+09
15  10  1.37337e+09
15  11  1.64673e+09
15  12  1.62178e+09
15  13  1.61794e+09
15  14  1.4185e+09
15  15  1.66867e+09
15  16  1.64004e+09
15  17  1.88e+09
15  18  2.12169e+09
15  19  1.89748e+09
15  20  1.45182e+09
15  21  1.02847e+09
15  22  1.18153e+09
15  23  1.36652e+09
15  24  1.27326e+09
15  25  1.49954e+09
15  26  1.54629e+09
15  27  1.42399e+09
15  28  1.5953e+09
15  29  1.61429e+09
15  30  1.64052e+09
15  31  1.75107e+09
15  32  1.71452e+09
15  33  1.45359e+09
15  34  1.4221e+09
15  35  1.30342e+09
15  36  1.19973e+09
15  37  1.19197e+09
15  38  1.53687e+09
15  39  1.52651e+09
15  40  1.05773e+09
15  41  1.36624e+09
15  42  1.51525e+09
15  43  1.47941e+09
15  44  1.66286e+09
15  45  1.45543e+09
15  46  1.18488e+09
15  47  1.05846e+09
15  48  8.36092e+08
15  49  8.98227e+08
15  50  7.58637e+08
16  0  1.39736e+09
16  1  1.37703e+09
16  2  1.37517e+09
16  3  1.23682e+09
16  4  1.21641e+09
16  5  1.31272e+09
16  6  1.10421e+09
16  7  1.0167e+09
16  8  1.27502e+09
16  9  1.386e+09
16  10  1.52344e+09
16  11  1.43948e+09
16  12  1.56432e+09
16  13  1.68757e+09
16  14  1.45803e+09
16  15  1.5126e+09
16  16  1.72355e+09
16  17  1.67212e+09
16  18  2.20038e+09
16  19  1.89524e+09
16  20  1.51415e+09
16  21  1.08232e+09
16  22  1.24465e+09
16  23  1.28848e+09
16  24  1.26798e+09
16  25  1.50992e+09
16  26  1.54714e+09
16  27  1.46687e+09
16  28  1.65663e+09
16  29  1.98689e+09
16  30  1.74744e+09
16  31  1.719e+09
16  32  1.51628e+09
16  33  1.56127e+09
16  34  1.53729e+09
16  35  1.42615e+09
16  36  1.03893e+09
16  37  1.07443e+09
16  38  1.39486e+09
16  39  1.40675e+09
16  40  1.14753e+09
16  41  1.5471e+09
16  42  1.40194e+09
16  43  1.48079e+09
16  44  1.46669e+09
16  45  1.44258e+09
16  46  1.21729e+09
16  47  1.0151e+09
16  48  9.0778e+08
16  49  1.01941e+09
16  50  1.00918e+09
17  0  1.20507e+09
17  1  1.40704e+09
17  2  1.49169e+09
17  3  1.27805e+09
17  4  1.39265e+09
17  5  1.30424e+09
17  6  1.19579e+09
17  7  1.09105e+09
17  8  1.42144e+09
17  9  1.48639e+09
17  10  1.53866e+09
17  11  1.54012e+09
17  12  1.62661e+09
17  13  1.54511e+09
17  14  1.5232e+09
17  15  1.53529e+09
17  16  1.5471e+09
17  17  1.67823e+09
17  18  2.21819e+09
17  19  2.0364e+09
17  20  1.43372e+09
17  21  9.74319e+08
17  22  1.20373e+09
17  23  1.34632e+09
17  24  1.23191e+09
17  25  1.60169e+09
17  26  1.48109e+09
17  27  1.64562e+09
17  28  1.95408e+09
17  29  1.88948e+09
17  30  1.71087e+09
17  31  1.59446e+09
