row  column  (images_8.edf Fe_K*images_8.edf Ar_K**2.3)
11  9  5.01751e+07
11  10  5.91329e+07
11  11  6.36469e+07
11  12  7.24037e+07
11  13  7.74827e+07
11  14  7.84579e+07
11  15  9.81265e+07
11  16  9.81728e+07
11  17  9.28857e+07
11  18  1.18807e+08
11  19  1.17302e+08
11  20  1.15041e+08
11  21  1.15171e+08
11  22  1.23933e+08
11  23  1.46502e+08
11  24  1.4184e+08
11  25  1.25978e+08
11  26  1.17253e+08
11  27  1.03479e+08
11  28  9.89555e+07
11  29  1.04828e+08
11  30  9.75462e+07
11  31  9.98932e+07
11  32  9.11076e+07
11  33  1.30844e+08
11  34  1.87712e+08
11  35  9.33977e+07
11  36  1.08921e+08
11  37  9.89366e+07
11  38  8.70937e+07
11  39  8.44954e+07
11  40  8.21046e+07
11  41  5.45756e+07
11  42  6.35884e+07
11  43  7.7248e+07
11  44  8.15786e+07
11  45  6.44518e+07
11  46  5.79167e+07
11  47  5.80759e+07
11  48  4.55171e+07
11  49  4.47468e+07
11  50  4.40965e+07
12  0  6.01131e+07
12  1  6.39545e+07
12  2  5.64349e+07
12  3  5.26028e+07
12  4  4.93951e+07
12  5  6.29559e+07
12  6  6.47184e+07
12  7  5.2886e+07
12  8  6.07652e+07
12  9  6.44124e+07
12  10  4.66934e+07
12  11  5.95645e+07
12  12  8.1285e+07
12  13  7.42311e+07
12  14  5.54404e+07
12  15  8.57828e+07
12  16  1.14549e+08
12  17  1.00122e+08
12  18  1.07051e+08
12  19  1.28544e+08
12  20  1.07302e+08
12  21  1.00658e+08
12  22  1.1468e+08
12  23  1.42808e+08
12  24  1.34408e+08
12  25  1.30593e+08
12  26  1.19572e+08
12  27  1.16491e+08
12  28  1.07955e+08
12  29  1.3388e+08
12  30  1.00941e+08
12  31  1.19829e+08
12  32  1.20315e+08
12  33  1.3539e+08
12  34  1.64401e+08
12  35  1.10001e+08
12  36  1.00918e+08
12  37  1.01113e+08
12  38  1.00936e+08
12  39  9.67481e+07
12  40  7.75214e+07
12  41  5.73499e+07
12  42  8.04748e+07
12  43  9.71352e+07
12  44  7.30255e+07
12  45  7.50435e+07
12  46  7.24618e+07
12  47  6.5618e+07
12  48  6.12638e+07
12  49  4.18681e+07
12  50  3.16435e+07
13  0  5.70523e+07
13  1  6.1717e+07
13  2  5.9259e+07
13  3  4.14831e+07
13  4  5.44069e+07
13  5  6.34753e+07
13  6  5.65021e+07
13  7  6.32864e+07
13  8  6.38628e+07
13  9  6.66457e+07
13  10  5.80268e+07
13  11  6.80391e+07
13  12  7.51145e+07
13  13  7.59634e+07
13  14  7.67968e+07
13  15  7.46231e+07
13  16  1.06522e+08
13  17  1.24178e+08
13  18  1.47702e+08
13  19  1.39405e+08
13  20  1.23239e+08
13  21  9.71875e+07
13  22  1.14878e+08
13  23  1.6321e+08
13  24  1.15559e+08
13  25  1.05397e+08
13  26  1.25695e+08
13  27  1.12769e+08
13  28  1.31908e+08
13  29  1.45009e+08
13  30  1.20249e+08
13  31  1.36467e+08
13  32  1.12935e+08
13  33  1.50322e+08
13  34  1.70042e+08
13  35  1.02425e+08
13  36  9.18757e+07
13  37  1.07156e+08
13  38  1.21409e+08
13  39  9.91823e+07
13  40  8.25534e+07
13  41  7.44892e+07
13  42  9.40585e+07
13  43  9.16601e+07
13  44  9.01161e+07
13  45  8.83414e+07
13  46  9.7698e+07
13  47  8.86919e+07
13  48  6.0259e+07
13  49  4.939e+07
13  50  4.1625e+07
14  0  6.20693e+07
14  1  5.53341e+07
14  2  5.33881e+07
14  3  6.06188e+07
14  4  4.97586e+07
14  5  6.48203e+07
14  6  5.69091e+07
14  7  5.2812e+07
14  8  7.44e+07
14  9  6.2939e+07
14  10  6.27557e+07
14  11  8.01083e+07
14  12  6.89871e+07
14  13  8.46953e+07
14  14  7.98497e+07
14  15  8.94982e+07
14  16  1.0298e+08
14  17  1.26074e+08
14  18  1.46698e+08
14  19  1.37299e+08
14  20  1.3977e+08
14  21  8.91714e+07
14  22  9.68669e+07
14  23  1.2295e+08
14  24  1.25464e+08
14  25  1.25092e+08
14  26  1.27605e+08
14  27  1.10438e+08
14  28  1.15897e+08
14  29  1.70603e+08
14  30  1.33452e+08
14  31  1.62755e+08
14  32  1.21422e+08
14  33  1.29425e+08
14  34  1.49744e+08
14  35  1.08811e+08
14  36  8.30095e+07
14  37  1.06627e+08
14  38  1.39592e+08
14  39  1.36851e+08
14  40  8.78021e+07
14  41  7.73847e+07
14  42  9.89279e+07
14  43  1.23093e+08
14  44  1.07906e+08
14  45  1.10325e+08
14  46  9.60452e+07
14  47  1.11718e+08
14  48  7.35137e+07
14  49  6.80428e+07
14  50  5.21185e+07
15  0  6.24685e+07
15  1  5.31311e+07
15  2  6.68452e+07
15  3  4.69083e+07
15  4  5.01792e+07
15  5  5.23714e+07
15  6  5.63181e+07
15  7  6.21121e+07
15  8  7.94775e+07
15  9  6.76802e+07
15  10  7.48348e+07
15  11  8.63515e+07
15  12  8.86256e+07
15  13  1.05153e+08
15  14  7.55138e+07
15  15  1.00341e+08
15  16  1.15754e+08
15  17  1.38436e+08
15  18  1.88248e+08
15  19  1.83507e+08
15  20  1.38423e+08
15  21  8.00239e+07
15  22  9.43859e+07
15  23  1.19272e+08
15  24  1.0734e+08
15  25  1.36287e+08
15  26  1.25153e+08
15  27  1.23718e+08
15  28  1.46365e+08
15  29  1.57127e+08
15  30  1.38257e+08
15  31  1.34999e+08
15  32  1.37198e+08
15  33  1.15865e+08
15  34  1.23864e+08
15  35  9.04187e+07
15  36  9.21798e+07
15  37  1.17411e+08
15  38  1.51487e+08
15  39  1.41114e+08
15  40  9.0626e+07
15  41  1.02605e+08
15  42  1.09122e+08
15  43  1.05218e+08
15  44  1.26377e+08
15  45  1.07276e+08
15  46  9.44974e+07
15  47  9.29994e+07
15  48  7.08592e+07
15  49  6.49574e+07
15  50  5.36739e+07
16  0  6.63936e+07
16  1  6.27355e+07
16  2  7.35282e+07
16  3  5.16662e+07
16  4  5.57504e+07
16  5  6.12505e+07
16  6  5.69408e+07
16  7  5.23305e+07
16  8  7.70483e+07
16  9  6.80731e+07
16  10  7.05305e+07
16  11  7.16391e+07
16  12  1.0108e+08
16  13  1.06763e+08
16  14  8.38798e+07
16  15  1.05022e+08
16  16  1.22213e+08
16  17  1.33099e+08
16  18  1.84031e+08
16  19  2.03132e+08
16  20  1.59007e+08
16  21  8.22687e+07
16  22  8.17528e+07
16  23  1.00792e+08
16  24  1.1421e+08
16  25  1.38332e+08
16  26  1.52231e+08
16  27  1.37328e+08
16  28  1.50517e+08
16  29  1.94615e+08
16  30  1.55768e+08
16  31  1.12166e+08
16  32  1.01647e+08
16  33  1.27832e+08
16  34  1.30678e+08
16  35  1.08536e+08
16  36  8.02342e+07
16  37  1.12801e+08
16  38  1.41125e+08
16  39  1.44952e+08
16  40  9.35978e+07
16  41  1.12336e+08
16  42  1.05665e+08
16  43  1.01149e+08
16  44  1.05924e+08
16  45  9.47034e+07
16  46  8.9736e+07
16  47  7.9083e+07
16  48  8.06719e+07
16  49  7.73932e+07
16  50  6.92866e+07
17  0  4.75289e+07
17  1  6.89084e+07
17  2  7.03324e+07
17  3  5.03773e+07
17  4  5.39862e+07
17  5  6.18322e+07
17  6  5.78506e+07
17  7  5.71807e+07
17  8  7.80356e+07
17  9  7.87152e+07
17  10  7.02332e+07
17  11  8.81159e+07
17  12  1.11735e+08
17  13  1.10216e+08
17  14  8.0108e+07
17  15  9.482e+07
17  16  1.06131e+08
17  17  1.29545e+08
17  18  1.96253e+08
17  19  2.0743e+08
17  20  1.43478e+08
17  21  8.20526e+07
17  22  9.16202e+07
17  23  1.05733e+08
17  24  1.11387e+08
17  25  1.48731e+08
17  26  1.26305e+08
17  27  1.58506e+08
17  28  1.93311e+08
17  29  1.83826e+08
17  30  1.48689e+08
17  31  1.0938e+08
17  32  1.08909e+08
17  33  1.11223e+08
17  34  1.12028e+08
17  35  9.05676e+07
17  36  9.09433e+07
17  37  8.91058e+07
17  38  1.52831e+08
17  39  1.53278e+08
17  40  1.09023e+08
17  41  9.73373e+07
17  42  9.66218e+07
17  43  8.87508e+07
17  44  9.2244e+07
17  45  9.63951e+07
17  46  1.05215e+08
17  47  9.26793e+07
17  48  8.10254e+07
17  49  5.89345e+07
17  50  7.19902e+07
18  0  6.26476e+07
18  1  7.1057e+07
18  2  6.72992e+07
18  3  6.06723e+07
18  4  6.45304e+07
18  5  6.34271e+07
18  6  6.00781e+07
18  7  4.48534e+07
18  8  6.13666e+07
18  9  6.54916e+07
18  10  6.69901e+07
18  11  7.79705e+07
18  12  9.21743e+07
18  13  1.19477e+08
18  14  9.61425e+07
18  15  8.82176e+07
18  16  1.00257e+08
18  17  1.09876e+08
18  18  1.5972e+08
18  19  1.65518e+08
18  20  1.23723e+08
18  21  7.83036e+07
18  22  7.77128e+07
18  23  9.59336e+07
18  24  1.00569e+08
18  25  1.41082e+08
18  26  1.36015e+08
18  27  1.58095e+08
18  28  1.92716e+08
18  29  2.01416e+08
18  30  1.43334e+08
18  31  1.11273e+08
18  32  1.09779e+08
18  33  1.09942e+08
18  34  1.28472e+08
18  35  1.04739e+08
18  36  9.14338e+07
18  37  1.16997e+08
18  38  1.35731e+08
18  39  1.21594e+08
18  40  1.05173e+08
18  41  8.27635e+07
18  42  9.37232e+07
18  43  1.00322e+08
18  44  8.3908e+07
18  45  9.26795e+07
18  46  1.23425e+08
18  47  8.79087e+07
18  48  7.36151e+07
18  49  7.26878e+07
18  50  6.67191e+07
19  0  7.83035e+07
19  1  7.04655e+07
19  2  7.54682e+07
19  3  5.30316e+07
19  4  5.99058e+07
19  5  5.75103e+07
19  6  6.0198e+07
19  7  5.62953e+07
19  8  6.40755e+07
19  9  6.62222e+07
19  10  8.72539e+07
19  11  9.0519e+07
19  12  1.35869e+08
19  13  1.18606e+08
19  14  1.0075e+08
19  15  1.10658e+08
19  16  1.00831e+08
19  17  1.22615e+08
19  18  1.63878e+08
19  19  1.73381e+08
19  20  1.2744e+08
19  21  7.93646e+07
19  22  7.44143e+07
19  23  1.00484e+08
19  24  1.12234e+08
19  25  1.38685e+08
19  26  1.44575e+08
19  27  1.77087e+08
19  28  1.93608e+08
19  29  2.07854e+08
19  30  1.18077e+08
19  31  1.16386e+08
19  32  8.89462e+07
19  33  1.15459e+08
19  34  1.22668e+08
19  35  1.00459e+08
19  36  1.01144e+08
19  37  1.11615e+08
19  38  1.71816e+08
19  39  1.34961e+08
19  40  9.47453e+07
19  41  9.43348e+07
19  42  1.02316e+08
19  43  9.68198e+07
19  44  8.94493e+07
19  45  9.93608e+07
19  46  1.00395e+08
19  47  1.23401e+08
19  48  7.61163e+07
19  49  8.23885e+07
19  50  1.0294e+08
20  0  6.81934e+07
20  1  6.87071e+07
20  2  7.40547e+07
20  3  5.77583e+07
20  4  5.98087e+07
20  5  6.38848e+07
20  6  6.51154e+07
20  7  5.35181e+07
20  8  6.83972e+07
20  9  6.91794e+07
20  10  8.12698e+07
20  11  1.10407e+08
20  12  1.20308e+08
20  13  1.26585e+08
20  14  1.12202e+08
20  15  1.22279e+08
20  16  1.14378e+08
20  17  1.28158e+08
20  18  1.56044e+08
20  19  1.82834e+08
20  20  1.69558e+08
20  21  8.84719e+07
20  22  8.1943e+07
20  23  8.55668e+07
20  24  1.10599e+08
20  25  1.27303e+08
20  26  1.35865e+08
20  27  1.53735e+08
20  28  1.71902e+08
20  29  1.82469e+08
20  30  1.43972e+08
20  31  9.94397e+07
20  32  1.29648e+08
20  33  1.0367e+08
20  34  1.209e+08
20  35  1.25463e+08
20  36  1.22361e+08
