row  column  (images_8.edf Mn_K*images_8.edf Ar_K**2.3)
8  25  1.04991e+07
8  26  1.01534e+07
8  27  1.21218e+07
8  28  1.06637e+07
8  29  1.25256e+07
8  30  1.23631e+07
8  31  1.31646e+07
8  32  1.35366e+07
8  33  8.83725e+06
8  34  7.50741e+06
8  35  1.59029e+07
8  36  8.61049e+06
8  37  2.76447e+06
8  38  1.31861e+07
8  39  1.46504e+07
8  40  1.01136e+07
8  41  1.49697e+07
8  42  1.26953e+07
8  43  7.79747e+06
8  44  2.29589e+07
8  45  1.56126e+07
8  46  1.23755e+07
8  47  1.82816e+07
8  48  2.18196e+07
8  49  2.27667e+07
8  50  1.5919e+07
9  0  5.10121e+06
9  1  7.38795e+06
9  2  7.37547e+06
9  3  8.25352e+06
9  4  1.30934e+07
9  5  8.4525e+06
9  6  1.0877e+07
9  7  6.80125e+06
9  8  1.14219e+07
9  9  1.36168e+07
9  10  9.51425e+06
9  11  8.07754e+06
9  12  1.37702e+07
9  13  8.76014e+06
9  14  1.22369e+07
9  15  9.83898e+06
9  16  1.19539e+07
9  17  7.99982e+06
9  18  8.5588e+06
9  19  1.15281e+07
9  20  1.03224e+07
9  21  1.11816e+07
9  22  4.58831e+06
9  23  6.023e+06
9  24  7.47007e+06
9  25  5.5452e+06
9  26  8.62597e+06
9  27  1.65336e+07
9  28  1.40178e+07
9  29  7.51366e+06
9  30  9.49181e+06
9  31  5.24045e+06
9  32  1.08362e+07
9  33  9.98146e+06
9  34  1.9578e+07
9  35  9.60008e+06
9  36  1.17438e+07
9  37  7.27379e+06
9  38  1.31324e+07
9  39  1.47793e+07
9  40  1.78372e+07
9  41  1.61645e+07
9  42  1.23846e+07
9  43  1.73982e+07
9  44  1.82999e+07
9  45  1.44315e+07
9  46  1.74346e+07
9  47  1.95509e+07
9  48  1.6584e+07
9  49  1.3054e+07
9  50  2.38889e+07
10  0  1.02128e+07
10  1  9.88449e+06
10  2  1.05863e+07
10  3  6.76711e+06
10  4  9.28908e+06
10  5  6.30748e+06
10  6  1.34582e+07
10  7  7.03802e+06
10  8  9.40728e+06
10  9  6.59077e+06
10  10  9.10842e+06
10  11  9.24594e+06
10  12  6.17842e+06
10  13  5.15923e+06
10  14  7.08806e+06
10  15  7.657e+06
10  16  9.7067e+06
10  17  1.12436e+07
10  18  6.54221e+06
10  19  2.92283e+06
10  20  1.07058e+07
10  21  1.04063e+07
10  22  5.32125e+06
10  23  2.09394e+06
10  24  1.12407e+07
10  25  7.62614e+06
10  26  1.16288e+07
10  27  1.23047e+07
10  28  7.37488e+06
10  29  1.0808e+07
10  30  1.67004e+07
10  31  1.29539e+07
10  32  9.06203e+06
10  33  7.28495e+06
10  34  1.54089e+07
10  35  5.88358e+06
10  36  1.42668e+07
10  37  1.18051e+07
10  38  1.25666e+07
10  39  9.36146e+06
10  40  1.05884e+07
10  41  1.21002e+07
10  42  1.97292e+07
10  43  1.29865e+07
10  44  1.7457e+07
10  45  1.59687e+07
10  46  1.61403e+07
10  47  1.87751e+07
10  48  9.02388e+06
10  49  1.04575e+07
10  50  1.2808e+07
11  0  3.7329e+06
11  1  5.22943e+06
11  2  1.13255e+07
11  3  5.06767e+06
11  4  1.41701e+07
11  5  3.93851e+06
11  6  1.29516e+07
11  7  6.6417e+06
11  8  7.75058e+06
11  9  9.15508e+06
11  10  4.63281e+06
11  11  1.16217e+07
11  12  6.73023e+06
11  13  1.05003e+07
11  14  6.34688e+06
11  15  1.37968e+07
11  16  4.28479e+06
11  17  3.96971e+06
11  18  8.55155e+06
11  19  4.81464e+06
11  20  1.1595e+07
11  21  5.59048e+06
11  22  1.20419e+07
11  23  1.34478e+07
11  24  3.21397e+06
11  25  8.68524e+06
11  26  1.03674e+07
11  27  7.38004e+06
