row  column  (images_8.edf Cu_K*images_8.edf Ar_K**2.3)
22  25  1.05006e+07
22  26  1.34874e+07
22  27  1.13638e+07
22  28  1.24179e+07
22  29  8.59525e+06
22  30  1.26562e+07
22  31  5.14791e+06
22  32  3.40099e+06
22  33  7.69973e+06
22  34  1.23143e+07
22  35  1.55141e+07
22  36  2.07566e+07
22  37  8.35788e+06
22  38  9.04664e+06
22  39  7.27075e+06
22  40  2.21889e+06
22  41  1.14714e+07
22  42  4.49352e+06
22  43  6.68452e+06
22  44  1.13858e+07
22  45  4.23821e+06
22  46  8.54846e+06
22  47  8.99789e+06
22  48  7.58985e+06
22  49  1.50164e+07
22  50  7.33376e+06
23  0  7.87584e+06
23  1  9.10274e+06
23  2  1.61407e+07
23  3  6.65967e+06
23  4  1.2568e+07
23  5  1.23636e+07
23  6  1.60035e+07
23  7  3.65559e+06
23  8  1.09093e+07
23  9  8.82712e+06
23  10  1.20807e+07
23  11  3.05447e+06
23  12  1.03859e+07
23  13  1.20784e+07
23  14  6.97096e+06
23  15  9.07781e+06
23  16  1.5793e+07
23  17  1.77625e+07
23  18  1.22499e+07
23  19  1.49997e+07
23  20  8.57471e+06
23  21  137397
23  22  9.29454e+06
