row  column  (images_8.edf P_K*images_8.edf Ar_K**2.3)
17  48  0
17  49  0
17  50  0
18  0  8.42794e+06
18  1  6.725e+06
18  2  6.00913e+06
18  3  9.64017e+06
18  4  1.32363e+07
18  5  0
18  6  0
18  7  0
18  8  1.20287e+07
18  9  0
18  10  0
18  11  0
18  12  9.4278e+06
18  13  0
18  14  0
18  15  7.70412e+06
18  16  1.29925e+07
18  17  0
18  18  1.35568e+07
18  19  1.4438e+07
18  20  0
18  21  0
18  22  0
18  23  7.57981e+06
18  24  1.55427e+07
18  25  1.56447e+07
18  26  1.61323e+07
18  27  2.32197e+07
18  28  1.69913e+07
18  29  1.51084e+07
18  30  8.59649e+06
18  31  1.03974e+07
18  32  8.43366e+06
18  33  0
18  34  0
18  35  0
18  36  0
18  37  5.94565e+06
18  38  1.66243e+07
18  39  1.36559e+07
18  40  0
18  41  0
18  42  0
18  43  0
18  44  0
18  45  0
18  46  0
18  47  0
18  48  0
18  49  0
18  50  0
19  0  7.51131e+06
19  1  0
19  2  0
19  3  0
19  4  9.04529e+06
19  5  7.28105e+06
19  6  0
19  7  4.9769e+06
19  8  0
19  9  0
19  10  1.42258e+07
19  11  7.51542e+06
19  12  1.04473e+07
19  13  0
19  14  8.71863e+06
19  15  0
19  16  1.34785e+07
19  17  1.32336e+07
19  18  9.34785e+06
19  19  0
19  20  7.05936e+06
19  21  0
19  22  0
19  23  0
19  24  7.25344e+06
19  25  1.18864e+07
19  26  1.7762e+07
19  27  1.64757e+07
19  28  1.32256e+07
19  29  1.33885e+07
19  30  1.26017e+07
19  31  1.22458e+07
19  32  1.34902e+07
19  33  0
19  34  0
19  35  0
19  36  0
19  37  0
19  38  0
19  39  0
19  40  888989
19  41  0
19  42  0
19  43  0
19  44  0
19  45  0
19  46  0
19  47  0
19  48  0
19  49  0
19  50  0
20  0  0
20  1  6.74774e+06
20  2  0
20  3  0
20  4  1.80305e+07
20  5  0
20  6  0
20  7  0
20  8  6.91509e+06
20  9  9.25141e+06
20  10  0
20  11  0
20  12  1.03308e+07
20  13  7.0795e+06
20  14  8.38828e+06
20  15  1.5987e+07
20  16  0
20  17  1.05845e+07
20  18  1.41997e+07
20  19  9.33737e+06
20  20  0
20  21  0
20  22  9.70301e+06
20  23  0
20  24  9.46717e+06
20  25  1.33013e+07
20  26  1.35067e+07
20  27  2.2907e+07
20  28  2.20174e+07
20  29  1.00643e+07
20  30  1.77879e+07
20  31  1.20766e+07
20  32  1.53554e+07
20  33  9.56186e+06
20  34  0
20  35  0
20  36  0
20  37  733187
20  38  2.23863e+07
20  39  1.02872e+07
20  40  8.27487e+06
20  41  0
20  42  0
20  43  0
20  44  0
20  45  0
20  46  1.02988e+07
20  47  0
20  48  0
20  49  0
20  50  0
21  0  1.69211e+07
21  1  0
21  2  0
21  3  6.3447e+06
21  4  0
21  5  1.29363e+07
21  6  0
21  7  1.11895e+07
21  8  6.90118e+06
21  9  0
21  10  8.34172e+06
21  11  0
21  12  0
21  13  1.36244e+07
21  14  1.06554e+07
21  15  1.9374e+07
21  16  1.1846e+07
21  17  1.29925e+07
21  18  1.78358e+07
21  19  1.41678e+07
21  20  0
21  21  0
21  22  0
21  23  0
21  24  1.33504e+07
21  25  0
21  26  1.77161e+07
21  27  1.75231e+07
21  28  1.59796e+07
21  29  1.34041e+07
21  30  1.01679e+07
21  31  1.02503e+07
21  32  0
21  33  0
21  34  0
21  35  0
21  36  0
21  37  0
21  38  1.75709e+07
21  39  9.6993e+06
21  40  0
21  41  1.22222e+07
21  42  8.06931e+06
21  43  7.9759e+06
21  44  0
21  45  1.29588e+07
21  46  1.18251e+07
21  47  0
21  48  0
21  49  6.99647e+06
21  50  0
22  0  0
22  1  7.82538e+06
22  2  0
22  3  0
22  4  8.46202e+06
22  5  8.7793e+06
22  6  0
22  7  0
22  8  0
22  9  0
22  10  8.27935e+06
22  11  7.96455e+06
22  12  1.46907e+07
22  13  1.02515e+07
22  14  9.75621e+06
22  15  1.10068e+07
22  16  1.39854e+07
22  17  8.57835e+06
22  18  1.79546e+07
22  19  1.41944e+07
22  20  1.16913e+07
22  21  0
22  22  1.1616e+07
22  23  1.09086e+07
22  24  0
22  25  2.37712e+07
22  26  0
22  27  1.3245e+07
22  28  1.49452e+07
22  29  8.42648e+06
22  30  1.24749e+07
22  31  1.27045e+07
22  32  1.81819e+07
22  33  0
22  34  9.78736e+06
22  35  0
22  36  0
22  37  0
22  38  1.65911e+07
22  39  8.42468e+06
22  40  0
22  41  9.18263e+06
22  42  8.76441e+06
22  43  1.27859e+07
22  44  0
22  45  7.43075e+06
22  46  0
22  47  0
22  48  0
22  49  0
22  50  0
23  0  0
23  1  9.15746e+06
23  2  9.84078e+06
23  3  0
23  4  0
23  5  9.29883e+06
23  6  7.76406e+06
23  7  9.11306e+06
23  8  1.14002e+07
23  9  1.1767e+07
23  10  1.07565e+07
23  11  2.07555e+07
23  12  1.4037e+07
23  13  9.55525e+06
23  14  7.54426e+06
23  15  1.07016e+07
23  16  8.99112e+06
23  17  8.8841e+06
23  18  0
23  19  1.65551e+07
23  20  0
23  21  7.92141e+06
23  22  1.03336e+07
23  23  1.11372e+07
23  24  8.37716e+06
23  25  1.2887e+07
23  26  1.42269e+07
23  27  1.67395e+07
23  28  9.88516e+06
23  29  1.42953e+07
23  30  1.41591e+07
23  31  9.14431e+06
23  32  1.41065e+07
23  33  3.36464e+06
23  34  0
23  35  1.12465e+07
23  36  1.10628e+07
23  37  1.71646e+07
23  38  2.53685e+07
23  39  1.14212e+07
23  40  0
23  41  7.01602e+06
23  42  1.51856e+07
23  43  1.38058e+07
23  44  1.21223e+07
23  45  0
23  46  0
23  47  1.46907e+07
23  48  0
23  49  0
23  50  9.33964e+06
24  0  1.21109e+07
24  1  8.69103e+06
24  2  8.94664e+06
24  3  9.32957e+06
24  4  7.5123e+06
24  5  1.14194e+07
24  6  1.48112e+07
24  7  0
24  8  0
24  9  1.51291e+07
24  10  1.59542e+07
24  11  1.53853e+07
24  12  1.20988e+07
24  13  1.52339e+07
24  14  1.98788e+07
24  15  1.83814e+07
24  16  1.44258e+07
24  17  2.05143e+07
24  18  1.21664e+07
24  19  1.17318e+07
24  20  0
24  21  0
24  22  6.55712e+06
24  23  1.01081e+07
24  24  0
24  25  1.47723e+07
24  26  9.20841e+06
24  27  0
24  28  1.87925e+07
24  29  9.91269e+06
24  30  1.61236e+07
24  31  1.76733e+07
24  32  1.55476e+07
24  33  8.83371e+06
24  34  1.37659e+07
24  35  1.47072e+07
24  36  1.31087e+07
24  37  2.066e+07
24  38  1.30073e+07
24  39  1.64244e+07
24  40  1.33725e+07
24  41  9.61453e+06
24  42  1.85499e+07
24  43  1.35402e+07
24  44  1.48154e+07
24  45  8.2014e+06
24  46  0
24  47  1.39925e+07
24  48  1.08574e+07
