row  column  (images_8.edf S_K*images_8.edf Ar_K**2.3)
12  40  0
12  41  1.09235e+07
12  42  1.9028e+07
12  43  0
12  44  0
12  45  0
12  46  0
12  47  0
12  48  0
12  49  0
12  50  0
13  0  4.48536e+07
13  1  5.24143e+07
13  2  5.60831e+07
13  3  4.94277e+07
13  4  4.76198e+07
13  5  5.26872e+07
13  6  4.95973e+07
13  7  2.76101e+07
13  8  4.28364e+07
13  9  6.1314e+07
13  10  5.09087e+07
13  11  5.86189e+07
13  12  5.74317e+07
13  13  5.55802e+07
13  14  5.43085e+07
13  15  5.45666e+07
13  16  7.51413e+07
13  17  5.99975e+07
13  18  6.21155e+07
13  19  3.62959e+07
13  20  2.72222e+07
13  21  2.1634e+07
13  22  2.54971e+07
13  23  3.67365e+07
13  24  2.67518e+07
13  25  3.03456e+07
13  26  2.04337e+07
13  27  3.14222e+07
13  28  2.32606e+07
13  29  2.76194e+07
13  30  3.14772e+07
13  31  2.59809e+07
13  32  1.96904e+07
13  33  3.00077e+07
13  34  2.3592e+07
13  35  2.58541e+07
13  36  2.39364e+07
13  37  2.64663e+07
13  38  1.54389e+07
13  39  0
13  40  1.14933e+07
13  41  1.3445e+07
13  42  1.56361e+07
13  43  1.4986e+07
13  44  0
13  45  0
13  46  0
13  47  0
13  48  0
13  49  0
13  50  0
14  0  5.02727e+07
14  1  5.50045e+07
14  2  5.16787e+07
14  3  4.46165e+07
14  4  4.1349e+07
14  5  5.69394e+07
14  6  4.14543e+07
14  7  4.1286e+07
14  8  4.96238e+07
14  9  4.62232e+07
14  10  5.56846e+07
14  11  6.09893e+07
14  12  7.52654e+07
14  13  6.72818e+07
14  14  6.49676e+07
14  15  7.0515e+07
14  16  7.47671e+07
14  17  5.44659e+07
14  18  5.69724e+07
14  19  4.90754e+07
14  20  2.95504e+07
14  21  2.36756e+07
14  22  2.25391e+07
14  23  3.431e+07
14  24  2.38515e+07
14  25  2.64767e+07
14  26  1.96871e+07
14  27  2.77281e+07
14  28  2.09503e+07
14  29  2.52985e+07
14  30  2.75177e+07
14  31  3.82447e+07
14  32  2.02894e+07
14  33  1.95737e+07
14  34  2.10796e+07
14  35  3.46704e+07
14  36  1.22015e+07
14  37  1.3026e+07
14  38  2.86776e+07
14  39  2.93868e+07
14  40  0
14  41  0
14  42  0
14  43  1.36522e+07
14  44  1.80293e+07
14  45  0
14  46  0
14  47  0
14  48  0
14  49  0
14  50  0
15  0  4.53261e+07
15  1  4.41363e+07
15  2  5.73916e+07
15  3  5.00587e+07
15  4  4.93463e+07
15  5  5.63268e+07
15  6  3.77838e+07
15  7  3.50972e+07
15  8  4.07611e+07
15  9  4.92434e+07
15  10  6.06496e+07
15  11  8.38543e+07
15  12  6.71652e+07
15  13  6.87067e+07
15  14  6.00424e+07
15  15  5.3547e+07
15  16  5.56413e+07
15  17  5.68845e+07
15  18  5.23691e+07
15  19  4.16277e+07
15  20  2.96267e+07
15  21  2.11757e+07
15  22  3.44826e+07
15  23  3.54695e+07
15  24  1.69533e+07
15  25  2.80497e+07
15  26  1.6663e+07
15  27  2.11455e+07
15  28  2.45986e+07
15  29  2.32253e+07
15  30  3.27792e+07
15  31  3.78868e+07
15  32  3.60062e+07
15  33  2.78208e+07
15  34  2.16475e+07
15  35  2.37208e+07
15  36  1.95575e+07
15  37  1.45907e+07
15  38  2.39e+07
15  39  1.7947e+07
15  40  0
15  41  1.35763e+07
15  42  1.80762e+07
15  43  3.51109e+07
15  44  2.25111e+07
15  45  1.78235e+07
15  46  1.5185e+07
15  47  0
15  48  0
15  49  0
15  50  0
16  0  6.51065e+07
16  1  5.56712e+07
16  2  6.69333e+07
16  3  4.38641e+07
16  4  4.57988e+07
16  5  5.57669e+07
16  6  3.67869e+07
16  7  3.66171e+07
16  8  5.34009e+07
16  9  4.9887e+07
16  10  4.5888e+07
16  11  6.67893e+07
16  12  6.71904e+07
16  13  6.21986e+07
16  14  4.60636e+07
16  15  5.4163e+07
16  16  5.82446e+07
16  17  4.30298e+07
16  18  5.51784e+07
16  19  4.05355e+07
16  20  2.62319e+07
16  21  1.70429e+07
16  22  3.01637e+07
16  23  3.46252e+07
16  24  2.21352e+07
16  25  2.65412e+07
16  26  2.1874e+07
16  27  2.80031e+07
16  28  3.21559e+07
16  29  3.44079e+07
16  30  4.78419e+07
16  31  3.8454e+07
16  32  4.71347e+07
16  33  3.49942e+07
16  34  2.82151e+07
16  35  1.92341e+07
16  36  1.04949e+07
16  37  2.12976e+07
16  38  2.03088e+07
16  39  1.69908e+07
16  40  1.11636e+07
16  41  1.27064e+07
16  42  0
16  43  2.26855e+07
16  44  0
16  45  2.27143e+07
16  46  1.51528e+07
16  47  0
16  48  0
16  49  1.10043e+07
16  50  0
17  0  4.852e+07
17  1  6.76263e+07
17  2  7.01815e+07
17  3  4.50801e+07
17  4  4.94077e+07
17  5  5.28648e+07
17  6  4.03398e+07
17  7  3.93263e+07
17  8  4.82583e+07
17  9  5.71323e+07
17  10  6.46036e+07
17  11  7.07547e+07
17  12  6.63288e+07
17  13  7.3534e+07
17  14  5.96749e+07
17  15  5.59199e+07
17  16  4.97361e+07
17  17  4.54455e+07
17  18  5.57324e+07
17  19  4.45123e+07
17  20  1.8731e+07
17  21  1.44522e+07
17  22  4.46032e+07
17  23  2.86602e+07
17  24  2.80857e+07
17  25  2.45121e+07
17  26  3.07664e+07
17  27  1.12931e+07
17  28  3.85879e+07
17  29  3.44546e+07
17  30  3.70564e+07
17  31  4.57879e+07
17  32  3.50488e+07
17  33  4.00424e+07
17  34  3.24294e+07
17  35  3.22489e+07
17  36  2.07364e+07
17  37  1.47577e+07
17  38  2.76569e+07
17  39  2.07817e+07
17  40  0
17  41  0
17  42  2.30421e+07
17  43  1.33098e+07
17  44  1.8004e+07
17  45  2.29337e+07
17  46  1.39441e+07
17  47  1.12332e+07
17  48  0
17  49  3.29056e+06
17  50  0
18  0  5.85734e+07
18  1  5.56783e+07
18  2  5.81473e+07
18  3  5.27222e+07
18  4  5.55465e+07
18  5  6.75096e+07
18  6  4.53397e+07
18  7  3.81011e+07
18  8  4.48383e+07
18  9  5.63494e+07
18  10  4.97165e+07
18  11  5.30654e+07
18  12  6.20005e+07
18  13  5.62851e+07
18  14  5.14751e+07
18  15  5.55226e+07
18  16  7.34982e+07
18  17  4.00605e+07
18  18  4.79132e+07
18  19  3.84597e+07
18  20  2.24466e+07
18  21  2.25704e+07
18  22  2.85239e+07
18  23  2.65391e+07
18  24  3.02852e+07
18  25  2.80267e+07
18  26  3.54037e+07
18  27  3.11973e+07
18  28  3.41442e+07
18  29  3.79802e+07
18  30  4.69425e+07
18  31  4.15488e+07
18  32  4.54901e+07
18  33  4.19728e+07
18  34  3.86316e+07
18  35  3.93857e+07
18  36  2.93876e+07
18  37  1.3882e+07
18  38  3.24012e+07
18  39  2.05923e+07
18  40  1.35902e+07
18  41  0
18  42  0
18  43  1.16121e+07
18  44  1.75308e+07
18  45  1.98266e+07
18  46  2.11383e+07
18  47  1.5119e+07
18  48  0
18  49  1.28967e+07
18  50  0
19  0  6.85137e+07
19  1  5.8344e+07
19  2  6.35318e+07
19  3  5.47772e+07
19  4  5.84542e+07
19  5  4.67567e+07
19  6  4.82063e+07
19  7  4.43371e+07
19  8  4.23554e+07
19  9  4.71859e+07
19  10  7.13002e+07
19  11  5.77479e+07
19  12  6.49161e+07
19  13  6.59716e+07
19  14  6.57839e+07
19  15  4.69667e+07
19  16  3.65321e+07
19  17  4.9427e+07
19  18  4.65494e+07
19  19  3.62539e+07
19  20  2.25314e+07
19  21  1.9592e+07
19  22  1.44008e+07
19  23  3.32556e+07
19  24  1.95684e+07
19  25  1.88052e+07
19  26  3.21118e+07
19  27  3.72752e+07
19  28  2.62744e+07
19  29  2.75622e+07
19  30  4.6642e+07
19  31  4.06866e+07
19  32  4.21686e+07
19  33  4.5127e+07
19  34  3.76565e+07
19  35  2.40073e+07
19  36  1.37471e+07
19  37  2.25356e+07
19  38  2.14249e+07
19  39  2.41072e+07
19  40  0
19  41  0
19  42  1.45753e+07
19  43  2.39213e+07
19  44  0
19  45  2.16876e+07
19  46  1.66645e+07
19  47  0
19  48  1.31829e+07
19  49  0
19  50  1.39602e+07
20  0  5.64776e+07
20  1  5.81255e+07
20  2  6.74067e+07
20  3  4.62624e+07
20  4  6.08211e+07
20  5  6.8756e+07
20  6  6.55279e+07
20  7  4.95383e+07
20  8  4.74459e+07
20  9  5.83413e+07
20  10  6.92812e+07
20  11  6.99017e+07
20  12  5.8461e+07
20  13  6.0473e+07
20  14  5.79362e+07
20  15  6.38569e+07
20  16  5.21958e+07
20  17  3.96561e+07
20  18  4.10185e+07
20  19  3.04051e+07
20  20  1.79894e+07
20  21  8.39052e+06
20  22  1.84113e+07
20  23  2.4252e+07
20  24  2.1729e+07
20  25  2.53206e+07
20  26  2.9452e+07
20  27  2.46464e+07
20  28  3.07717e+07
20  29  3.80865e+07
20  30  3.78052e+07
20  31  4.48759e+07
20  32  5.03356e+07
20  33  4.05761e+07
20  34  2.85172e+07
20  35  3.49132e+07
20  36  2.36965e+07
20  37  1.04906e+07
20  38  3.02518e+07
20  39  2.24508e+07
20  40  2.12846e+07
20  41  1.18273e+07
20  42  0
20  43  2.46047e+07
20  44  1.72658e+07
20  45  1.60137e+07
20  46  1.70868e+07
20  47  1.66806e+07
20  48  1.35141e+07
20  49  0
20  50  1.08653e+07
21  0  6.85512e+07
21  1  6.11851e+07
21  2  5.23872e+07
21  3  4.29017e+07
21  4  6.75317e+07
21  5  6.70911e+07
21  6  6.96278e+07
21  7  6.79548e+07
21  8  5.11802e+07
21  9  5.53314e+07
21  10  6.55088e+07
