row  column  (images_33.edf S-K*images_33.edf Ar-K**2.3)
15  30  2.18335e+07
15  31  2.63895e+07
15  32  0
15  33  0
15  34  0
15  35  4.67254e+07
15  36  5.21299e+07
15  37  8.01361e+07
15  38  5.80927e+07
15  39  7.82197e+07
15  40  7.85284e+07
15  41  5.39329e+07
15  42  2.64314e+07
15  43  5.73426e+07
15  44  4.78162e+07
15  45  3.23735e+07
15  46  0
15  47  0
15  48  0
15  49  0
15  50  0
16  0  0
16  1  0
16  2  0
16  3  0
16  4  0
16  5  0
16  6  0
16  7  0
16  8  3.01354e+07
16  9  5.92878e+07
16  10  3.53441e+07
16  11  0
16  12  0
16  13  0
16  14  0
16  15  0
16  16  0
16  17  0
16  18  4.21791e+07
16  19  2.80044e+07
16  20  3.19915e+07
16  21  0
16  22  3.74182e+07
16  23  5.40561e+07
16  24  3.43508e+07
16  25  5.08119e+07
16  26  6.43066e+07
16  27  3.49636e+07
16  28  0
16  29  1.69216e+07
16  30  0
16  31  0
16  32  0
16  33  0
16  34  2.13108e+07
16  35  4.13289e+07
16  36  4.79874e+07
16  37  9.01741e+07
16  38  8.7175e+07
16  39  5.09918e+07
16  40  6.46311e+07
16  41  3.49291e+07
16  42  5.49444e+07
16  43  4.38671e+07
16  44  5.85873e+07
16  45  4.95328e+07
16  46  2.74693e+07
16  47  0
16  48  0
16  49  0
16  50  0
17  0  0
17  1  0
17  2  0
17  3  0
17  4  0
17  5  0
17  6  0
17  7  0
17  8  3.33521e+07
17  9  5.60607e+07
17  10  2.64021e+07
17  11  0
17  12  0
17  13  0
17  14  0
17  15  0
17  16  0
17  17  2.09942e+07
17  18  2.57618e+07
17  19  3.74468e+07
17  20  4.56643e+07
17  21  4.29423e+07
17  22  4.94987e+07
17  23  3.7801e+07
17  24  4.11035e+07
17  25  2.17863e+07
17  26  5.96999e+07
17  27  4.7179e+07
17  28  3.07509e+07
17  29  2.29696e+07
17  30  0
17  31  0
17  32  3.93329e+07
17  33  0
17  34  3.30676e+07
17  35  3.93766e+07
17  36  4.46641e+07
17  37  8.78646e+07
17  38  6.95105e+07
17  39  4.53629e+07
17  40  9.11862e+07
17  41  4.57954e+07
17  42  3.3359e+07
17  43  5.6701e+07
17  44  5.05368e+07
17  45  4.4513e+07
17  46  2.49431e+07
17  47  0
17  48  0
17  49  0
17  50  0
18  0  0
18  1  0
18  2  0
18  3  0
18  4  0
18  5  0
18  6  0
18  7  0
18  8  2.04241e+07
18  9  2.14467e+07
18  10  4.00021e+07
18  11  0
18  12  0
18  13  0
18  14  0
18  15  0
18  16  0
18  17  2.20361e+07
18  18  0
18  19  2.97162e+07
18  20  2.99349e+07
18  21  4.58416e+07
18  22  3.2511e+07
18  23  3.45788e+07
18  24  3.84891e+07
18  25  5.51611e+07
18  26  6.57595e+07
18  27  4.12066e+07
18  28  4.26361e+07
18  29  2.29973e+07
18  30  2.52243e+07
18  31  0
18  32  0
18  33  2.32981e+07
18  34  4.2894e+07
18  35  3.297e+07
18  36  3.9331e+07
18  37  5.97362e+07
18  38  5.4576e+07
18  39  8.40118e+07
18  40  8.29219e+07
18  41  4.56731e+07
18  42  2.85836e+07
18  43  4.90231e+07
18  44  8.4639e+07
18  45  6.03803e+07
18  46  3.16823e+07
