row  column  (images_33.edf Fe-K*images_33.edf Ar-K**2.3)
14  32  1.55172e+08
14  33  1.91915e+08
14  34  1.86954e+08
14  35  1.63422e+08
14  36  1.74806e+08
14  37  2.01403e+08
14  38  2.11252e+08
14  39  2.52001e+08
14  40  2.72304e+08
14  41  4.09316e+08
14  42  1.7547e+09
14  43  8.32295e+08
14  44  3.89765e+08
14  45  3.79589e+08
14  46  6.04239e+08
14  47  3.03321e+08
14  48  3.56357e+08
14  49  2.93226e+08
14  50  3.72148e+08
15  0  4.96506e+07
15  1  7.54631e+07
15  2  4.68786e+07
15  3  5.47986e+07
15  4  5.55388e+07
15  5  1.00393e+08
15  6  1.056e+08
15  7  2.1347e+08
15  8  2.11229e+08
15  9  2.80534e+08
15  10  1.89208e+08
15  11  1.20565e+08
15  12  9.60619e+07
15  13  1.20159e+08
15  14  1.36513e+08
15  15  1.57119e+08
15  16  1.79708e+08
15  17  1.57974e+08
15  18  2.03435e+08
15  19  1.94246e+08
15  20  1.79111e+08
15  21  1.43862e+08
15  22  1.39699e+08
15  23  1.32911e+08
15  24  1.20185e+08
15  25  1.33549e+08
15  26  1.30234e+08
15  27  1.06819e+08
15  28  9.42456e+07
15  29  1.25969e+08
15  30  1.4925e+08
15  31  1.41081e+08
15  32  1.22871e+08
15  33  1.54098e+08
15  34  1.82771e+08
15  35  1.87015e+08
15  36  2.12324e+08
15  37  2.30664e+08
15  38  2.47946e+08
15  39  2.75417e+08
15  40  3.0437e+08
15  41  3.71949e+08
15  42  1.12216e+09
15  43  4.30091e+08
15  44  3.33294e+08
15  45  3.16289e+08
15  46  4.6986e+08
15  47  3.0383e+08
15  48  2.89693e+08
15  49  2.80394e+08
15  50  3.19078e+08
16  0  5.31276e+07
16  1  7.76355e+07
16  2  5.90688e+07
16  3  9.44456e+07
16  4  7.92825e+07
16  5  8.38247e+07
16  6  9.01704e+07
16  7  2.50226e+08
16  8  1.86095e+08
16  9  3.50845e+08
16  10  2.12291e+08
16  11  1.32682e+08
16  12  9.83354e+07
16  13  9.6108e+07
16  14  1.15238e+08
16  15  1.54847e+08
16  16  1.96444e+08
16  17  1.60031e+08
16  18  1.94463e+08
16  19  1.62538e+08
16  20  1.73263e+08
16  21  1.73367e+08
16  22  1.53867e+08
16  23  1.31304e+08
16  24  1.06059e+08
16  25  1.10104e+08
16  26  1.06356e+08
16  27  1.03298e+08
16  28  1.03388e+08
16  29  1.09449e+08
16  30  1.47348e+08
16  31  1.66798e+08
16  32  1.56032e+08
16  33  1.57881e+08
16  34  1.77247e+08
16  35  1.42117e+08
16  36  1.8322e+08
16  37  2.02763e+08
16  38  2.41396e+08
16  39  2.38209e+08
16  40  2.66315e+08
16  41  3.27615e+08
16  42  8.51154e+08
16  43  4.85356e+08
16  44  3.40525e+08
16  45  2.86609e+08
16  46  3.95684e+08
16  47  3.08146e+08
16  48  3.10093e+08
16  49  2.60971e+08
16  50  3.99158e+08
17  0  6.25476e+07
17  1  4.88523e+07
17  2  7.49886e+07
17  3  6.99615e+07
17  4  9.97093e+07
17  5  7.26888e+07
17  6  9.92992e+07
17  7  2.81479e+08
17  8  1.71952e+08
17  9  3.88215e+08
17  10  1.60557e+08
17  11  1.64413e+08
17  12  9.22161e+07
17  13  8.3905e+07
17  14  1.33822e+08
17  15  1.23109e+08
17  16  1.8657e+08
17  17  1.51717e+08
17  18  1.47401e+08
17  19  1.66128e+08
17  20  1.79348e+08
17  21  1.55584e+08
17  22  1.07603e+08
17  23  1.32781e+08
17  24  1.02482e+08
17  25  1.15921e+08
17  26  1.38064e+08
17  27  9.77465e+07
17  28  1.19807e+08
17  29  1.47318e+08
17  30  1.37104e+08
17  31  1.69304e+08
17  32  1.49667e+08
17  33  1.67023e+08
17  34  1.58011e+08
17  35  1.73217e+08
17  36  1.77618e+08
17  37  1.95818e+08
17  38  2.56187e+08
17  39  2.34206e+08
17  40  2.45405e+08
17  41  2.79702e+08
17  42  6.86053e+08
17  43  3.37114e+08
17  44  2.71043e+08
17  45  2.86307e+08
17  46  3.8379e+08
17  47  2.79941e+08
17  48  3.18566e+08
17  49  2.69872e+08
17  50  4.9024e+08
18  0  7.30045e+07
18  1  6.40852e+07
18  2  8.20933e+07
18  3  6.62393e+07
18  4  1.03155e+08
18  5  6.69218e+07
18  6  9.24356e+07
18  7  2.45788e+08
18  8  3.39622e+08
18  9  3.38386e+08
18  10  3.09275e+08
18  11  1.78508e+08
18  12  1.3085e+08
18  13  1.054e+08
18  14  1.20459e+08
18  15  1.69927e+08
18  16  1.77365e+08
18  17  1.73021e+08
18  18  2.13515e+08
18  19  1.64588e+08
18  20  1.77826e+08
18  21  1.55261e+08
18  22  1.129e+08
18  23  1.21852e+08
18  24  1.10068e+08
18  25  1.25235e+08
18  26  1.18189e+08
18  27  1.14307e+08
18  28  1.20476e+08
18  29  1.08667e+08
18  30  1.50174e+08
18  31  1.52945e+08
18  32  1.47151e+08
18  33  1.51424e+08
18  34  1.79487e+08
18  35  1.35429e+08
18  36  1.65715e+08
18  37  1.96162e+08
18  38  2.49125e+08
18  39  2.66725e+08
18  40  2.52559e+08
18  41  2.53268e+08
18  42  4.94042e+08
18  43  3.43414e+08
18  44  2.94644e+08
18  45  2.42114e+08
18  46  2.71842e+08
18  47  2.83641e+08
18  48  3.03141e+08
18  49  2.66719e+08
18  50  3.24604e+08
19  0  6.73386e+07
19  1  5.00189e+07
19  2  8.20061e+07
19  3  6.50534e+07
19  4  8.2799e+07
19  5  7.86519e+07
19  6  1.1909e+08
19  7  4.81131e+08
19  8  2.08234e+08
19  9  4.54652e+08
19  10  1.84667e+08
19  11  1.68888e+08
19  12  9.94616e+07
19  13  1.06429e+08
19  14  1.35499e+08
19  15  1.51842e+08
19  16  2.19128e+08
19  17  1.65865e+08
19  18  1.51736e+08
19  19  1.60211e+08
19  20  1.47955e+08
19  21  1.46637e+08
19  22  1.12272e+08
19  23  1.11812e+08
19  24  1.21847e+08
19  25  1.17165e+08
19  26  1.07067e+08
19  27  1.12162e+08
19  28  1.15283e+08
19  29  1.19905e+08
19  30  1.5818e+08
19  31  1.72748e+08
19  32  1.43358e+08
19  33  1.47342e+08
19  34  1.70102e+08
19  35  1.435e+08
19  36  1.58148e+08
19  37  1.98917e+08
19  38  2.21179e+08
19  39  2.64393e+08
19  40  2.48104e+08
19  41  2.51462e+08
19  42  4.13066e+08
19  43  2.81755e+08
19  44  2.4731e+08
19  45  2.09106e+08
19  46  2.79606e+08
19  47  2.97119e+08
19  48  3.19131e+08
19  49  2.6267e+08
19  50  2.83291e+08
20  0  5.53285e+07
20  1  5.76359e+07
20  2  7.98212e+07
20  3  5.24631e+07
20  4  6.96392e+07
20  5  8.98463e+07
20  6  1.19665e+08
20  7  2.22167e+08
20  8  2.28814e+08
20  9  2.99459e+08
20  10  2.34739e+08
20  11  1.44797e+08
20  12  1.44656e+08
20  13  9.59911e+07
20  14  1.15769e+08
20  15  1.68063e+08
20  16  1.95468e+08
20  17  1.95658e+08
20  18  1.40512e+08
20  19  1.54549e+08
20  20  1.28157e+08
20  21  1.20787e+08
20  22  1.12868e+08
20  23  1.15139e+08
20  24  9.45546e+07
20  25  9.01324e+07
20  26  1.08774e+08
20  27  1.43071e+08
20  28  1.13213e+08
20  29  1.34118e+08
20  30  1.17264e+08
20  31  1.50696e+08
20  32  1.3272e+08
20  33  1.45667e+08
20  34  1.4994e+08
20  35  1.45082e+08
20  36  1.64485e+08
20  37  1.78912e+08
20  38  2.21019e+08
20  39  2.62102e+08
20  40  2.3563e+08
20  41  2.55408e+08
20  42  3.2197e+08
20  43  2.79598e+08
20  44  2.05901e+08
20  45  2.15926e+08
20  46  2.20933e+08
20  47  3.16102e+08
20  48  2.59477e+08
20  49  2.35106e+08
20  50  2.90549e+08
21  0  5.46708e+07
21  1  6.00323e+07
21  2  6.0056e+07
21  3  6.5073e+07
21  4  5.00111e+07
21  5  8.67695e+07
21  6  7.22909e+07
21  7  2.10602e+08
21  8  1.69515e+08
21  9  2.86222e+08
21  10  1.70158e+08
21  11  1.49346e+08
21  12  1.12526e+08
21  13  1.296e+08
21  14  1.12441e+08
21  15  1.93422e+08
21  16  2.09413e+08
21  17  1.88876e+08
21  18  1.53659e+08
21  19  1.45702e+08
21  20  1.36215e+08
21  21  9.05897e+07
21  22  1.17411e+08
21  23  1.13023e+08
21  24  8.82075e+07
21  25  1.12308e+08
21  26  9.5755e+07
21  27  8.97539e+07
21  28  1.40052e+08
21  29  1.4313e+08
21  30  1.50322e+08
21  31  1.44529e+08
21  32  1.51479e+08
21  33  1.72941e+08
21  34  1.4021e+08
21  35  1.77734e+08
21  36  1.84009e+08
21  37  1.89235e+08
21  38  2.363e+08
21  39  2.4313e+08
21  40  2.33832e+08
21  41  2.47123e+08
21  42  3.27702e+08
21  43  2.54425e+08
21  44  2.26327e+08
21  45  2.71314e+08
21  46  2.24694e+08
21  47  2.50618e+08
21  48  2.82435e+08
21  49  2.0864e+08
21  50  3.00752e+08
22  0  5.57759e+07
22  1  4.77186e+07
22  2  6.64085e+07
22  3  5.71739e+07
22  4  5.61893e+07
22  5  6.27756e+07
22  6  8.08973e+07
22  7  1.65776e+08
22  8  1.52704e+08
22  9  1.98956e+08
22  10  1.64236e+08
22  11  9.69681e+07
22  12  1.35558e+08
22  13  1.17107e+08
22  14  1.06591e+08
22  15  2.29983e+08
22  16  2.28158e+08
22  17  1.63858e+08
22  18  1.63054e+08
22  19  1.20673e+08
22  20  1.26372e+08
22  21  1.1907e+08
22  22  9.25586e+07
22  23  1.1234e+08
22  24  1.11718e+08
22  25  1.03001e+08
22  26  1.31022e+08
22  27  1.24809e+08
22  28  1.26289e+08
22  29  1.19184e+08
22  30  1.31264e+08
22  31  1.35241e+08
22  32  1.27808e+08
22  33  1.15919e+08
22  34  1.4577e+08
