row  column  (images_12_23nov.edf P_K*images_12_23nov.edf Ar_K**2.3)
11  10  4.43757e+07
11  11  0
11  12  0
11  13  0
11  14  0
11  15  0
11  16  0
11  17  0
11  18  4.70441e+07
11  19  0
11  20  0
11  21  0
11  22  3.44577e+07
11  23  4.60675e+07
11  24  6.43006e+07
11  25  0
11  26  0
11  27  0
11  28  0
11  29  0
11  30  4.48103e+07
11  31  3.60483e+07
11  32  0
11  33  0
11  34  0
11  35  0
11  36  0
11  37  0
11  38  9.14776e+07
11  39  7.65212e+07
11  40  1.01012e+08
11  41  1.30014e+08
11  42  1.68218e+08
11  43  1.2753e+08
11  44  1.1654e+08
11  45  1.38202e+08
11  46  1.81395e+08
11  47  1.50326e+08
11  48  1.19151e+08
11  49  1.83453e+08
11  50  1.94437e+08
