row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
10  13  2.77517e+08
10  14  1.91668e+08
10  15  2.24698e+08
10  16  3.0275e+08
10  17  2.63608e+08
10  18  2.67608e+08
10  19  2.42563e+08
10  20  2.79476e+08
10  21  3.46399e+08
10  22  4.11293e+08
10  23  5.75415e+08
10  24  5.40374e+08
10  25  2.73072e+08
10  26  1.99198e+08
10  27  2.63552e+08
10  28  1.54514e+08
10  29  3.76495e+08
10  30  4.10774e+08
10  31  4.03381e+08
10  32  3.78009e+08
10  33  3.19561e+08
10  34  3.25833e+08
10  35  5.09056e+08
10  36  5.53725e+08
10  37  4.02557e+08
10  38  3.44816e+08
10  39  3.5044e+08
10  40  4.8957e+08
10  41  2.71547e+08
10  42  4.21683e+08
10  43  6.85771e+08
10  44  5.75638e+08
10  45  5.76984e+08
10  46  6.19188e+08
10  47  5.45559e+08
10  48  7.44487e+08
10  49  7.22174e+08
10  50  5.45944e+08
11  0  0
11  1  0
11  2  5.88402e+06
11  3  1.39466e+08
11  4  4.56555e+08
11  5  6.67105e+08
11  6  3.38551e+08
11  7  2.15136e+08
11  8  3.23742e+08
11  9  3.66602e+08
11  10  4.4247e+08
11  11  3.6061e+08
11  12  1.62812e+08
11  13  1.71216e+08
11  14  2.43161e+08
11  15  2.71651e+08
11  16  2.8669e+08
11  17  2.31456e+08
11  18  3.56322e+08
11  19  1.69525e+08
11  20  3.02977e+08
11  21  3.69694e+08
11  22  3.91763e+08
11  23  5.61108e+08
11  24  4.97231e+08
11  25  3.73406e+08
11  26  3.32717e+08
11  27  1.79104e+08
11  28  1.67371e+08
11  29  4.78052e+08
11  30  3.4249e+08
11  31  4.99712e+08
11  32  2.54673e+08
11  33  2.22321e+08
11  34  3.8656e+08
11  35  4.96403e+08
11  36  4.77612e+08
11  37  3.86166e+08
11  38  3.19024e+08
11  39  5.67213e+08
11  40  4.75766e+08
11  41  4.12928e+08
11  42  5.79011e+08
11  43  5.57921e+08
11  44  5.15293e+08
11  45  6.29257e+08
11  46  6.24828e+08
11  47  5.76844e+08
11  48  5.95483e+08
11  49  7.83359e+08
11  50  6.3718e+08
12  0  0
12  1  3.2766e+07
12  2  4.09186e+07
12  3  1.16121e+08
12  4  3.05947e+08
12  5  5.28589e+08
12  6  3.81973e+08
12  7  1.59222e+08
12  8  2.575e+08
12  9  4.91724e+08
12  10  5.04201e+08
12  11  3.93298e+08
12  12  2.81221e+08
12  13  2.33926e+08
12  14  2.70634e+08
12  15  3.66867e+08
12  16  1.87594e+08
12  17  2.71812e+08
