row  column  (images_18_844.edf S-K*images_18_844.edf Ar-K**2.3)
11  10  5.53476e+06
11  11  1.00405e+07
11  12  7.49391e+06
11  13  0
11  14  0
11  15  0
11  16  0
11  17  0
11  18  0
11  19  0
11  20  0
11  21  1.00481e+07
11  22  0
11  23  5.45876e+06
11  24  0
11  25  0
11  26  0
11  27  0
11  28  0
11  29  0
11  30  0
11  31  0
11  32  0
11  33  0
11  34  0
11  35  0
11  36  0
11  37  0
11  38  0
11  39  0
11  40  0
11  41  0
11  42  0
11  43  0
11  44  0
11  45  0
11  46  0
11  47  0
11  48  7.92828e+06
11  49  0
11  50  0
11  51  0
11  52  0
11  53  0
11  54  0
11  55  0
11  56  0
11  57  0
11  58  0
11  59  0
11  60  0
12  0  0
12  1  8.22267e+06
12  2  6.80434e+06
12  3  7.75374e+06
12  4  1.40357e+07
12  5  1.54464e+07
12  6  1.02435e+07
12  7  1.05157e+07
12  8  1.6111e+07
12  9  1.51885e+07
12  10  4.84833e+06
12  11  1.07074e+07
12  12  0
12  13  7.52766e+06
12  14  0
12  15  0
12  16  0
12  17  0
12  18  0
12  19  0
12  20  0
12  21  7.9879e+06
12  22  1.15937e+07
12  23  0
12  24  0
12  25  0
12  26  0
12  27  0
12  28  0
12  29  0
12  30  0
12  31  0
12  32  0
12  33  0
12  34  0
12  35  0
12  36  0
12  37  0
12  38  0
12  39  0
12  40  0
12  41  0
12  42  0
12  43  0
12  44  0
12  45  0
12  46  0
12  47  0
12  48  0
12  49  0
12  50  0
12  51  0
12  52  0
12  53  0
12  54  0
12  55  0
