row  column  (images_6a.edf K-K*images_6a.edf Ar-K**2.3)
7  28  2.00526e+07
7  29  0
7  30  0
7  31  1.29187e+07
7  32  1.80902e+07
7  33  8.59752e+06
7  34  1.24581e+07
7  35  1.38969e+07
7  36  2.95625e+07
7  37  4.44367e+06
7  38  2.11743e+07
7  39  1.48997e+07
7  40  0
7  41  1.36802e+07
7  42  2.30709e+07
7  43  2.15833e+07
7  44  2.4035e+07
7  45  7.72076e+06
7  46  2.74231e+07
7  47  2.27573e+07
7  48  2.60063e+07
7  49  2.47367e+07
7  50  2.31982e+07
7  51  1.37001e+07
7  52  0
7  53  9.57902e+06
7  54  1.78274e+07
7  55  0
7  56  1.33519e+07
7  57  0
7  58  1.27064e+07
7  59  0
7  60  7.71747e+06
7  61  9.59325e+06
7  62  3.69448e+07
7  63  1.1501e+07
7  64  1.30263e+07
7  65  1.13644e+07
7  66  2.66119e+06
7  67  9.51638e+06
7  68  2.30397e+07
7  69  3.24456e+07
7  70  8.64553e+06
7  71  6.91084e+06
7  72  2.45949e+07
7  73  3.98331e+07
7  74  2.99745e+07
7  75  3.2095e+07
7  76  2.11724e+07
7  77  9.31773e+06
7  78  2.16479e+07
7  79  3.70049e+06
7  80  1.03789e+07
7  81  7.35701e+06
7  82  2.02313e+06
7  83  2.14239e+07
7  84  2.59706e+07
7  85  1.19685e+07
7  86  1.3549e+07
7  87  6.56039e+06
7  88  4.92985e+06
7  89  1.28337e+07
7  90  1.84117e+07
7  91  1.41852e+07
7  92  1.3925e+07
7  93  2.14108e+07
7  94  1.22352e+07
7  95  1.9096e+07
7  96  8.88983e+06
7  97  3.34589e+06
7  98  2.75221e+07
7  99  6.87647e+06
7  100  1.09326e+07
8  0  7.31472e+06
8  1  5.62347e+06
8  2  1.03844e+07
8  3  0
8  4  1.1967e+07
8  5  9.74338e+06
8  6  9.14172e+06
8  7  6.1266e+06
8  8  2.37766e+06
8  9  0
8  10  1.69971e+07
8  11  1.03421e+07
8  12  941616
8  13  1.70289e+07
8  14  0
8  15  1.49207e+07
8  16  6.04138e+06
8  17  0
8  18  264305
8  19  8.08559e+06
8  20  0
8  21  6.66113e+06
8  22  9.3971e+06
8  23  1.51776e+07
8  24  9.34432e+06
8  25  5.73927e+06
8  26  7.74588e+06
8  27  0
8  28  8794.28
8  29  0
8  30  6.56537e+06
8  31  2.00486e+06
8  32  9.89217e+06
8  33  6.599e+06
8  34  1.42463e+07
8  35  2.54276e+07
8  36  3.06974e+07
8  37  9.48195e+06
8  38  6.12927e+06
8  39  1.3054e+07
8  40  1.05136e+07
8  41  2.47167e+06
8  42  1.08195e+07
8  43  1.32449e+07
8  44  1.53988e+07
8  45  1.61965e+07
8  46  157377
8  47  3.48503e+07
8  48  2.37378e+07
8  49  2.55215e+07
8  50  2.09499e+07
8  51  1.19553e+07
8  52  1.71694e+07
8  53  0
8  54  173507
8  55  1.09314e+07
8  56  1.55194e+07
8  57  1.61883e+07
8  58  1.40286e+07
8  59  3.00232e+07
8  60  0
8  61  2.12125e+07
8  62  2.0599e+07
8  63  2.04147e+07
8  64  3.03344e+07
8  65  4.90582e+06
8  66  222528
8  67  1.78836e+07
8  68  1.4125e+07
8  69  1.55422e+07
8  70  2.8874e+07
8  71  2.56207e+07
8  72  1.88898e+07
8  73  3.04577e+07
8  74  4.84875e+07
8  75  3.4944e+07
8  76  1.10306e+07
8  77  3.08584e+07
8  78  1.99667e+07
8  79  1.11566e+07
8  80  1.66726e+07
8  81  2.04335e+07
8  82  2.08175e+07
8  83  1.93492e+07
8  84  1.04247e+07
8  85  1.71445e+07
8  86  1.52289e+07
8  87  1.32671e+07
8  88  1.08716e+07
8  89  2.5002e+07
8  90  1.3436e+07
8  91  1.85246e+07
8  92  1.20858e+07
8  93  1.13055e+07
8  94  1.73181e+07
8  95  1.18064e+07
8  96  1.126e+07
8  97  1.44786e+07
8  98  8.47181e+06
8  99  7.99299e+06
8  100  4.2128e+06
9  0  0
9  1  5.08582e+06
9  2  0
9  3  5.67758e+06
9  4  1.39995e+07
9  5  2.92908e+06
9  6  1.34491e+06
9  7  6.92136e+06
9  8  1.00922e+07
9  9  6.5416e+06
9  10  9.70298e+06
9  11  1.59937e+07
9  12  9.88201e+06
9  13  1.26612e+07
9  14  1.57883e+07
9  15  0
9  16  1.32321e+07
9  17  9.59909e+06
9  18  2.67463e+06
9  19  5.67225e+06
9  20  1.36306e+07
9  21  7.28202e+06
9  22  1.80987e+07
9  23  7.90539e+06
9  24  7.66164e+06
9  25  1.78037e+06
9  26  9.26935e+06
9  27  2.28518e+06
9  28  0
9  29  6.83332e+06
9  30  0
9  31  6.47209e+06
9  32  1.47076e+07
9  33  8.12773e+06
9  34  1.7909e+07
9  35  2.72275e+06
9  36  0
9  37  1.99895e+07
9  38  1.17621e+07
9  39  1.01295e+07
9  40  7.83856e+06
9  41  1.06641e+07
9  42  7.37854e+06
9  43  0
9  44  1.15496e+07
9  45  1.40145e+07
9  46  1.94218e+07
9  47  3.40835e+07
9  48  1.67327e+07
9  49  3.49871e+07
9  50  1.41363e+07
9  51  1.49551e+07
9  52  1.66179e+07
9  53  2.34365e+06
9  54  9.71194e+06
9  55  1.48492e+07
9  56  1.65105e+07
9  57  1.54044e+07
9  58  0
9  59  1.53948e+07
9  60  1.46962e+07
9  61  48755.3
9  62  1.42131e+07
9  63  1.46138e+07
9  64  1.78131e+07
9  65  0
