row  column  (images_6a.edf P-K*images_6a.edf Ar-K**2.3)
8  50  1.21641e+07
8  51  1.23567e+07
8  52  6.36387e+06
8  53  1.50492e+07
8  54  1.82953e+07
8  55  1.1966e+07
8  56  1.07179e+07
8  57  1.77698e+07
8  58  1.12902e+07
8  59  2.14963e+07
8  60  1.09955e+07
8  61  5.9627e+06
8  62  5.78466e+06
8  63  3.09398e+06
8  64  4.77595e+06
8  65  4.84306e+06
8  66  676700
8  67  0
8  68  2.8018e+06
8  69  2.62673e+06
8  70  2.96579e+06
8  71  3.62824e+06
8  72  0
8  73  0
8  74  1.02361e+07
8  75  2.24279e+06
8  76  0
8  77  919444
8  78  1.08251e+06
8  79  0
8  80  0
8  81  1.42135e+06
8  82  38169.4
8  83  972483
8  84  0
8  85  0
8  86  79122.2
8  87  135370
8  88  0
8  89  0
8  90  0
8  91  0
8  92  0
8  93  0
8  94  0
8  95  0
8  96  0
8  97  607271
8  98  0
8  99  0
8  100  0
9  0  1.64849e+07
9  1  2.45723e+07
9  2  1.16715e+07
9  3  2.96405e+06
9  4  1.5059e+07
9  5  2.524e+07
9  6  2.40964e+07
9  7  1.06e+07
9  8  1.67337e+07
9  9  2.00089e+07
9  10  2.15424e+07
9  11  2.42986e+07
9  12  2.63336e+07
9  13  2.94364e+07
9  14  2.80549e+07
9  15  3.18295e+07
9  16  2.40048e+07
9  17  2.24106e+07
9  18  7.61952e+06
9  19  1.4914e+07
9  20  1.70426e+07
9  21  1.02302e+07
9  22  1.46437e+07
9  23  1.84586e+07
9  24  2.48527e+07
9  25  2.79632e+07
9  26  1.89591e+07
9  27  1.95826e+07
9  28  1.45987e+07
9  29  2.42402e+07
9  30  2.26696e+07
9  31  1.81458e+07
9  32  2.00772e+07
9  33  2.38248e+07
9  34  1.34823e+07
9  35  1.2318e+07
9  36  2.09561e+07
9  37  3.95171e+07
9  38  4.11459e+07
9  39  2.10179e+07
9  40  1.27118e+07
9  41  3.20677e+06
9  42  4.30744e+06
9  43  1.0214e+07
9  44  1.06597e+07
9  45  2.94441e+06
9  46  4.80656e+06
9  47  3.99774e+06
9  48  1.33923e+07
9  49  1.49804e+07
9  50  2.30352e+07
9  51  1.46877e+07
