row  column  (images_6a.edf Cu-K*images_6a.edf Ar-K**2.3)
9  9  1.83694e+07
9  10  1.40939e+07
9  11  1.52251e+07
9  12  1.14851e+07
9  13  2.13194e+07
9  14  1.94619e+07
9  15  0
9  16  0
9  17  0
9  18  1.44934e+07
9  19  1.07671e+07
9  20  4.36648e+06
9  21  2.88848e+07
9  22  1.2708e+07
9  23  2.17496e+07
9  24  3.71337e+06
9  25  2.69054e+06
9  26  0
9  27  1.11098e+07
9  28  0
9  29  1.53852e+07
9  30  1.82583e+07
9  31  2.2504e+07
9  32  0
9  33  3.04642e+07
9  34  0
9  35  8.50237e+06
9  36  9.10096e+06
9  37  3.19213e+07
9  38  1.09842e+07
9  39  279048
9  40  5.14114e+06
9  41  2.06226e+06
9  42  1.08256e+07
9  43  9.32686e+06
9  44  1.26735e+07
9  45  0
9  46  2.85543e+06
9  47  0
9  48  5.72491e+06
9  49  1.32181e+07
9  50  1.19649e+07
9  51  5.21746e+06
9  52  0
9  53  4.7503e+07
9  54  0
9  55  0
9  56  1.94325e+07
9  57  4.33249e+06
9  58  1.78237e+07
9  59  1.88774e+07
9  60  1.07358e+07
9  61  0
9  62  0
9  63  2.37724e+07
9  64  1.22594e+07
9  65  1.48018e+07
9  66  0
9  67  0
9  68  1.86341e+07
9  69  0
9  70  1.56769e+06
9  71  0
9  72  4.13702e+06
9  73  2.3603e+06
9  74  1.76246e+07
9  75  4.54458e+06
9  76  3.3859e+06
9  77  2.78536e+07
9  78  0
9  79  6.01253e+06
9  80  0
9  81  1.26215e+07
9  82  5.94252e+06
9  83  0
9  84  3.32392e+06
9  85  0
9  86  2.60427e+07
9  87  4.73714e+06
9  88  0
9  89  0
9  90  2.58473e+06
9  91  0
9  92  3.24063e+07
9  93  1.34145e+07
9  94  4.45318e+06
9  95  0
9  96  1.05201e+06
9  97  2.15529e+07
9  98  6.61397e+06
9  99  1.9461e+07
9  100  0
10  0  5.77181e+06
10  1  0
10  2  4.98402e+06
10  3  3.89578e+06
10  4  2.165e+07
10  5  4.01581e+06
10  6  4.32288e+06
10  7  2.04085e+07
10  8  5.97433e+06
10  9  9.47545e+06
10  10  3.45925e+06
10  11  4.07259e+06
10  12  1.87619e+07
10  13  8.87398e+06
10  14  4.3877e+06
10  15  1.28185e+07
10  16  7.84614e+06
10  17  2.29788e+06
10  18  0
10  19  4.76461e+06
10  20  5.09376e+06
10  21  1.4827e+06
10  22  1.16135e+07
10  23  4.56335e+06
10  24  1.68032e+07
10  25  1.4719e+06
10  26  2.57678e+07
10  27  3.60329e+06
10  28  4.81189e+06
10  29  5.93488e+06
10  30  2.51043e+06
10  31  2.85762e+06
10  32  0
10  33  1.13229e+06
10  34  7.90474e+06
10  35  0
10  36  7.86405e+06
10  37  1.34855e+07
10  38  4.13517e+06
10  39  0
10  40  1.35165e+07
10  41  349597
10  42  5.63671e+06
10  43  0
10  44  1.68046e+07
10  45  1.89446e+07
10  46  2.28272e+06
10  47  2.81555e+07
10  48  1.77262e+06
10  49  1.20381e+07
10  50  2.90908e+07
10  51  2.10652e+06
10  52  4.06393e+06
10  53  7.76004e+06
10  54  2.11893e+06
10  55  1.54552e+06
10  56  2.15491e+07
10  57  0
10  58  6.15146e+06
10  59  0
10  60  0
10  61  0
10  62  0
10  63  1.76456e+06
10  64  9.33304e+06
10  65  6.9498e+06
10  66  2.14077e+07
10  67  2.85108e+07
10  68  0
10  69  19111.5
10  70  8.01081e+06
10  71  7.82868e+06
10  72  8.59749e+06
10  73  3.91284e+06
10  74  2.10503e+07
10  75  1.00676e+07
10  76  1.95691e+07
10  77  0
10  78  2.74106e+07
10  79  1.49555e+07
10  80  9.1736e+06
10  81  0
10  82  1.27957e+07
10  83  0
10  84  0
10  85  0
10  86  4.94929e+06
10  87  3.0784e+06
10  88  1.70739e+06
10  89  0
10  90  0
10  91  0
10  92  0
10  93  0
10  94  0
10  95  351740
10  96  0
10  97  5.99754e+06
10  98  8.22972e+06
10  99  1.92002e+07
10  100  505438
11  0  17507.4
11  1  0
11  2  4.41156e+06
11  3  2.79197e+07
11  4  2.00033e+07
11  5  6.18601e+06
11  6  0
11  7  7.77624e+06
11  8  1.03578e+07
11  9  2.54285e+07
11  10  2.27172e+07
11  11  1.18854e+06
11  12  4.4741e+06
11  13  4.70366e+06
11  14  1.83741e+07
11  15  0
11  16  0
11  17  9.86084e+06
11  18  2.68284e+06
11  19  1.01561e+07
11  20  2.13057e+07
11  21  778781
11  22  0
11  23  2.72485e+06
11  24  2.57814e+07
11  25  188465
11  26  1.22935e+07
11  27  1.33169e+07
11  28  3.18775e+06
11  29  1.52715e+07
11  30  0
11  31  2.23698e+07
11  32  5.76302e+06
11  33  3.21411e+06
11  34  0
11  35  1.0695e+07
11  36  0
11  37  1.67335e+07
11  38  2.94838e+06
11  39  2.43271e+07
11  40  81438
11  41  1.35087e+07
11  42  799843
11  43  4.43754e+06
11  44  0
11  45  0
11  46  0
11  47  0
11  48  0
11  49  0
11  50  6.01181e+06
11  51  0
11  52  0
11  53  1.33931e+06
11  54  1.34295e+06
11  55  1.3769e+07
11  56  0
11  57  0
11  58  0
11  59  7.74128e+06
11  60  2.21379e+06
11  61  3.32662e+06
11  62  0
11  63  6.53287e+06
11  64  0
11  65  0
11  66  397543
11  67  6.60754e+06
11  68  3.22419e+06
11  69  9.90285e+06
11  70  1.33853e+07
11  71  2.45849e+07
11  72  6.48164e+06
11  73  0
11  74  0
11  75  2.11978e+07
11  76  2.11892e+07
11  77  6.28924e+06
11  78  1.85801e+07
11  79  0
11  80  0
11  81  0
11  82  4.92251e+06
11  83  0
11  84  1.63095e+07
11  85  0
11  86  2.01175e+07
11  87  485994
11  88  1.26346e+07
11  89  7.43335e+06
11  90  606475
11  91  756577
11  92  0
11  93  47392.9
11  94  1.67969e+06
11  95  549544
11  96  2.20988e+06
11  97  1.58676e+07
11  98  1.93321e+07
11  99  2.37108e+07
11  100  3.29084e+07
12  0  2.79448e+07
12  1  1.68811e+07
12  2  3.51395e+06
12  3  7.6337e+06
12  4  0
12  5  339441
12  6  855441
12  7  0
12  8  5.13777e+06
12  9  0
12  10  0
12  11  0
12  12  1.83411e+06
12  13  1.31681e+07
12  14  1.86724e+07
12  15  3.77276e+06
12  16  0
12  17  0
12  18  4.97098e+06
12  19  3.49547e+06
12  20  0
12  21  4.45342e+06
12  22  7.31072e+06
12  23  1.21227e+07
12  24  5.85843e+06
12  25  0
12  26  1.17746e+06
12  27  8.77256e+06
12  28  0
12  29  7.30097e+06
12  30  3.47048e+06
12  31  3.09047e+06
12  32  892210
12  33  2.33532e+06
12  34  0
12  35  1.82156e+07
12  36  0
12  37  9.91702e+06
12  38  0
12  39  1.56506e+07
12  40  1.45354e+06
12  41  2.04095e+07
12  42  2.60726e+06
12  43  1.34387e+07
12  44  1.13045e+07
12  45  2.89301e+06
12  46  0
12  47  1.62485e+07
12  48  0
12  49  1.6045e+07
12  50  8.43384e+06
12  51  0
12  52  1.60958e+07
12  53  0
12  54  0
12  55  1.9584e+07
12  56  1.50468e+07
12  57  1.77884e+06
12  58  0
12  59  1.68041e+07
12  60  0
12  61  1.07616e+07
12  62  3.23592e+07
12  63  3.93211e+07
12  64  827293
12  65  0
12  66  2.6629e+06
12  67  0
12  68  0
12  69  1.19013e+07
12  70  0
12  71  2.54838e+06
12  72  0
12  73  1.53575e+07
12  74  2.24808e+06
12  75  1.68295e+07
12  76  1.50985e+07
12  77  2.49605e+06
12  78  2.6421e+06
12  79  0
12  80  8.92096e+06
12  81  1.45251e+07
12  82  2.51845e+07
12  83  2.57911e+06
12  84  2.96165e+06
12  85  9.56667e+06
12  86  5.23825e+06
12  87  0
12  88  7.28485e+06
12  89  6.29224e+06
12  90  0
12  91  0
12  92  9.75227e+06
12  93  1.16136e+07
12  94  1.43953e+07
12  95  2.85422e+06
12  96  1.17649e+06
12  97  1.38289e+07
12  98  1.28909e+07
12  99  0
12  100  2.72933e+07
13  0  0
13  1  1.04067e+07
13  2  0
13  3  9.69632e+06
13  4  2.14289e+07
13  5  1.90761e+07
13  6  0
13  7  1.60225e+07
13  8  3.78656e+06
13  9  1.74116e+07
13  10  6.16951e+06
13  11  8.15555e+06
13  12  0
13  13  1.0414e+07
13  14  1.4343e+07
13  15  4.7196e+06
13  16  1.95316e+06
13  17  2.19546e+07
13  18  0
13  19  200240
13  20  1.1612e+07
13  21  0
13  22  1.67126e+07
13  23  2.38267e+07
13  24  311409
13  25  1.97597e+07
13  26  1.78987e+07
13  27  65813.7
13  28  7.75767e+06
13  29  1.55283e+06
13  30  3.69503e+06
13  31  0
13  32  1.06294e+07
13  33  2.58017e+07
13  34  1.47746e+06
13  35  5.51986e+06
13  36  1.63039e+07
13  37  0
13  38  2.76959e+07
13  39  0
13  40  2.38273e+06
13  41  1.44054e+07
