row  column  (images_6a.edf Mn-K*images_6a.edf Ar-K**2.3)
10  64  3.59578e+06
10  65  0
10  66  2.69303e+07
10  67  1.19325e+07
10  68  8.74801e+06
10  69  1.41897e+07
10  70  1.44883e+06
10  71  9.09971e+06
10  72  1.80197e+07
10  73  3.79131e+06
10  74  2.20006e+06
10  75  6.92759e+06
10  76  4.78574e+06
10  77  1.3606e+07
10  78  947836
10  79  1.28884e+07
10  80  4.58817e+06
10  81  1.64818e+07
10  82  2.20747e+07
10  83  1.19698e+07
10  84  1.41646e+07
10  85  8.83869e+06
10  86  1.12939e+07
10  87  1.17833e+07
10  88  8.93725e+06
10  89  1.07924e+07
10  90  1.98762e+07
10  91  7.42992e+06
10  92  8.58847e+06
10  93  1.77844e+07
10  94  5.32194e+06
10  95  1.32358e+07
10  96  1.41992e+07
10  97  2.00931e+07
10  98  6.42261e+06
10  99  1.31294e+07
10  100  1.62223e+07
11  0  1.37798e+07
11  1  8.80277e+06
11  2  1.33665e+07
11  3  2.18884e+07
11  4  4.73894e+06
11  5  1.09365e+07
11  6  7.10167e+06
11  7  4.1144e+06
11  8  1.11074e+07
11  9  9.28579e+06
11  10  9.94445e+06
11  11  1.45427e+07
11  12  5.36356e+06
11  13  7.64274e+06
11  14  2.50982e+06
11  15  7.06408e+06
11  16  4.40465e+06
11  17  0
11  18  5.91628e+06
11  19  0
11  20  0
11  21  1.11012e+07
11  22  0
11  23  1.46509e+07
11  24  5.28176e+06
11  25  4.61656e+06
11  26  0
11  27  0
11  28  8.56519e+06
11  29  8.54098e+06
11  30  1.90134e+07
11  31  1.98934e+07
11  32  1.4232e+07
11  33  3.06701e+06
11  34  1.19788e+07
11  35  3.71854e+06
11  36  4.57719e+06
11  37  9.0061e+06
11  38  0
11  39  0
11  40  6.0657e+06
11  41  1.11946e+07
11  42  3.77865e+06
11  43  6.92831e+06
11  44  7.54573e+06
11  45  7.11195e+06
11  46  2.09095e+07
11  47  8.50627e+06
11  48  5.08557e+06
11  49  8.62718e+06
11  50  0
11  51  5.88716e+06
11  52  1.38741e+07
11  53  2.00674e+07
11  54  1.10597e+07
11  55  1.0365e+07
11  56  0
11  57  5.91327e+06
11  58  1.75058e+07
11  59  0
11  60  9.99205e+06
11  61  1.02994e+07
11  62  1.06131e+07
11  63  1.47684e+07
11  64  6.49541e+06
11  65  2.61226e+06
11  66  4.12951e+06
11  67  0
11  68  1.77068e+07
