row  column  (images_6a.edf S-K*images_6a.edf Ar-K**2.3)
5  65  1.25694e+07
5  66  1.5085e+07
5  67  9.63518e+06
5  68  8.22892e+06
5  69  1.0212e+07
5  70  7.07044e+06
5  71  8.67592e+06
5  72  1.07055e+07
5  73  1.35107e+07
5  74  6.18351e+06
5  75  8.32198e+06
5  76  1.35067e+07
5  77  6.95821e+06
5  78  8.6843e+06
5  79  3.03862e+06
5  80  0
5  81  8.25493e+06
5  82  1.34e+06
5  83  2.73024e+06
5  84  4.0996e+06
5  85  0
5  86  2.61846e+06
5  87  4.03908e+06
5  88  2.20599e+06
5  89  1.20965e+06
5  90  330256
5  91  4.96572e+06
5  92  426829
5  93  735271
5  94  8.06385e+06
5  95  0
5  96  1.05413e+06
5  97  2.81848e+06
5  98  742616
5  99  4.01592e+06
5  100  0
6  0  3.6675e+07
6  1  3.16832e+07
6  2  4.90491e+07
6  3  4.31794e+07
6  4  3.58364e+07
6  5  6.48162e+07
6  6  5.78735e+07
6  7  3.99074e+07
6  8  3.99463e+07
6  9  5.69952e+07
6  10  4.67904e+07
6  11  5.05705e+07
6  12  5.00483e+07
6  13  3.07238e+07
6  14  5.05918e+07
6  15  4.88989e+07
6  16  6.25007e+07
6  17  5.65861e+07
6  18  4.17519e+07
6  19  3.43679e+07
6  20  2.17793e+07
6  21  3.36328e+07
6  22  2.49701e+07
6  23  3.64363e+07
6  24  3.73029e+07
6  25  3.16529e+07
6  26  4.84603e+07
6  27  4.28877e+07
6  28  4.30823e+07
6  29  2.93175e+07
6  30  5.24813e+07
6  31  4.48725e+07
6  32  4.1609e+07
6  33  4.34261e+07
6  34  4.01942e+07
6  35  5.10933e+07
6  36  3.84847e+07
6  37  5.24709e+07
6  38  6.86173e+07
6  39  5.10339e+07
6  40  3.20987e+07
6  41  1.02954e+07
6  42  3.92967e+07
6  43  1.82447e+07
6  44  2.37831e+07
6  45  1.75726e+07
6  46  2.96425e+07
6  47  2.18834e+07
6  48  3.18107e+07
6  49  3.44244e+07
6  50  3.14416e+07
6  51  4.23309e+07
6  52  2.78542e+07
6  53  4.57377e+07
6  54  4.25844e+07
6  55  3.71854e+07
6  56  3.13217e+07
6  57  2.7651e+07
6  58  3.5403e+07
6  59  4.30676e+07
6  60  4.55844e+07
6  61  4.73925e+07
6  62  4.70923e+07
6  63  2.96448e+07
6  64  3.30078e+07
6  65  2.79421e+07
6  66  2.65418e+07
6  67  1.38193e+07
6  68  1.41257e+07
6  69  1.85151e+07
6  70  8.02437e+06
6  71  1.73074e+07
6  72  5.8896e+06
6  73  9.62037e+06
6  74  2.02677e+06
6  75  1.51348e+07
6  76  1.13987e+07
6  77  8.05648e+06
6  78  5.12456e+06
6  79  5.39242e+06
6  80  5.74119e+06
6  81  3.95878e+06
6  82  4.68485e+06
6  83  79876
6  84  1.19552e+06
6  85  0
6  86  1.0844e+07
6  87  1.46358e+06
6  88  0
6  89  903274
6  90  3.35327e+06
6  91  4.07798e+06
6  92  2.0612e+06
6  93  5.24774e+06
6  94  0
6  95  0
6  96  1.77211e+06
6  97  0
6  98  59541
6  99  0
6  100  766120
7  0  4.0593e+07
7  1  4.51265e+07
7  2  3.45919e+07
7  3  3.9228e+07
7  4  4.15962e+07
7  5  4.96286e+07
7  6  4.8873e+07
7  7  4.10593e+07
7  8  4.33937e+07
7  9  4.12088e+07
7  10  5.02088e+07
7  11  2.90865e+07
7  12  6.23619e+07
7  13  4.99904e+07
7  14  5.18578e+07
7  15  4.93881e+07
7  16  4.43674e+07
7  17  3.93736e+07
7  18  4.00575e+07
7  19  4.54524e+07
7  20  5.33995e+07
7  21  3.28218e+07
7  22  3.40295e+07
7  23  4.28598e+07
7  24  4.0226e+07
7  25  3.7591e+07
7  26  3.79795e+07
7  27  4.12609e+07
7  28  4.61294e+07
7  29  5.83846e+07
7  30  3.03546e+07
7  31  4.44385e+07
7  32  3.45738e+07
7  33  3.52903e+07
7  34  4.09165e+07
7  35  4.34349e+07
7  36  7.06648e+07
7  37  5.46232e+07
7  38  7.72069e+07
7  39  3.70086e+07
7  40  4.40815e+07
7  41  2.66424e+07
7  42  3.32164e+07
7  43  3.33734e+07
7  44  2.1657e+07
7  45  2.21043e+07
7  46  3.03569e+07
7  47  3.62272e+07
7  48  4.28348e+07
7  49  2.77457e+07
7  50  2.76936e+07
7  51  2.60412e+07
7  52  3.11767e+07
7  53  4.06394e+07
7  54  4.56647e+07
7  55  5.26332e+07
7  56  2.91197e+07
7  57  4.78039e+07
7  58  3.96909e+07
7  59  5.37832e+07
7  60  3.03241e+07
7  61  3.42503e+07
7  62  4.2899e+07
7  63  4.24191e+07
7  64  3.93702e+07
7  65  1.96748e+07
7  66  3.48311e+07
7  67  1.99916e+07
7  68  2.53749e+07
7  69  1.89108e+07
7  70  2.06435e+06
7  71  1.23875e+07
7  72  1.24792e+07
7  73  1.99886e+07
7  74  1.97179e+07
7  75  2.36385e+07
7  76  3.25617e+06
7  77  4.51473e+06
7  78  3.0038e+06
7  79  2.58111e+06
7  80  3.23418e+06
7  81  5.36189e+06
7  82  2.7336e+06
7  83  9.52872e+06
7  84  1.14712e+07
7  85  4.56532e+06
7  86  1.59812e+06
7  87  2.64602e+06
7  88  0
7  89  176525
7  90  1.39727e+06
7  91  3.81372e+06
7  92  301079
7  93  2.10225e+06
7  94  6.31972e+06
7  95  4.65311e+06
7  96  2.32717e+06
7  97  0
7  98  1.3491e+06
7  99  777477
7  100  5.15745e+06
8  0  4.86642e+07
8  1  3.60757e+07
8  2  4.50786e+07
8  3  4.95833e+07
8  4  3.74077e+07
8  5  4.49909e+07
8  6  5.43459e+07
8  7  5.85052e+07
8  8  5.25802e+07
8  9  7.68786e+07
8  10  4.58088e+07
8  11  5.54944e+07
8  12  4.27717e+07
8  13  5.20507e+07
8  14  4.45446e+07
8  15  6.49162e+07
8  16  5.27498e+07
8  17  3.54087e+07
8  18  3.7906e+07
8  19  2.8135e+07
8  20  2.48448e+07
8  21  3.93787e+07
8  22  4.10019e+07
8  23  2.74443e+07
8  24  3.77987e+07
8  25  5.01145e+07
8  26  4.72824e+07
8  27  3.84277e+07
8  28  7.31165e+07
8  29  4.2982e+07
8  30  5.4346e+07
8  31  4.52892e+07
8  32  5.33525e+07
8  33  4.9429e+07
8  34  5.04382e+07
8  35  6.43114e+07
8  36  5.2968e+07
8  37  6.61769e+07
8  38  8.06578e+07
8  39  5.52375e+07
8  40  3.65021e+07
8  41  2.81091e+07
8  42  2.68398e+07
8  43  1.07193e+07
8  44  1.55761e+07
8  45  2.38977e+07
8  46  3.87109e+07
8  47  4.51473e+07
8  48  4.77254e+07
8  49  5.12859e+07
8  50  2.66535e+07
8  51  4.77579e+07
8  52  4.74037e+07
8  53  4.82121e+07
8  54  5.55298e+07
8  55  4.37483e+07
8  56  4.52903e+07
8  57  4.42747e+07
8  58  3.92634e+07
8  59  6.09464e+07
8  60  3.49732e+07
8  61  5.2926e+07
8  62  3.32941e+07
8  63  2.28722e+07
8  64  2.5812e+07
8  65  3.63389e+07
8  66  2.21536e+07
8  67  2.27573e+07
8  68  1.75926e+07
8  69  1.34999e+07
8  70  2.13343e+07
8  71  1.49382e+07
8  72  1.2122e+07
8  73  6.33445e+06
8  74  2.59204e+07
8  75  9.43159e+06
8  76  4.9902e+06
8  77  1.65567e+07
8  78  8.43407e+06
8  79  5.70794e+06
8  80  3.70309e+06
8  81  7.25534e+06
8  82  1.58145e+07
8  83  33010.2
8  84  3.02663e+06
8  85  3.4166e+06
8  86  8.90987e+06
8  87  3.27199e+06
8  88  1.30412e+06
8  89  1.7611e+06
8  90  1.70183e+06
8  91  70750.5
8  92  2.30207e+06
8  93  2.74603e+06
8  94  0
8  95  76174.9
8  96  0
8  97  254066
8  98  0
8  99  0
8  100  637990
9  0  4.36138e+07
9  1  5.1509e+07
9  2  3.53772e+07
9  3  3.61673e+07
9  4  4.63048e+07
9  5  4.19595e+07
9  6  4.2888e+07
9  7  4.27622e+07
9  8  4.51985e+07
9  9  4.74122e+07
9  10  6.22126e+07
9  11  5.72031e+07
9  12  6.79838e+07
9  13  6.87454e+07
9  14  6.97777e+07
9  15  5.80739e+07
9  16  5.62566e+07
9  17  6.31982e+07
9  18  5.25023e+07
9  19  4.73549e+07
9  20  4.60123e+07
9  21  2.67378e+07
9  22  4.21006e+07
9  23  4.35347e+07
9  24  7.63367e+07
9  25  7.03778e+07
9  26  4.54797e+07
9  27  5.04912e+07
9  28  4.14802e+07
9  29  4.64083e+07
9  30  6.8068e+07
9  31  5.33224e+07
9  32  3.47316e+07
9  33  5.73991e+07
9  34  4.8934e+07
9  35  4.12072e+07
9  36  5.36594e+07
9  37  8.51998e+07
9  38  7.35027e+07
9  39  5.32663e+07
9  40  4.37705e+07
9  41  2.66548e+07
9  42  1.4052e+07
9  43  1.93982e+07
9  44  2.26789e+07
9  45  2.09953e+07
9  46  2.0961e+07
9  47  3.25414e+07
9  48  4.04124e+07
9  49  4.70027e+07
9  50  4.8682e+07
9  51  5.15511e+07
9  52  4.93552e+07
