row  column  (images_6a.edf Zn-K*images_6a.edf Ar-K**2.3)
7  28  5.04936e+07
7  29  3.06989e+07
7  30  5.16321e+07
7  31  3.2581e+07
7  32  2.05785e+07
7  33  3.26923e+07
7  34  2.63322e+07
7  35  2.45701e+07
7  36  8.19937e+07
7  37  4.61656e+07
7  38  6.39541e+07
7  39  5.89693e+07
7  40  2.54241e+07
7  41  0
7  42  6.57435e+07
7  43  4.40926e+07
7  44  1.89879e+07
7  45  1.81461e+07
7  46  2.9075e+07
7  47  2.12531e+07
7  48  2.5526e+07
7  49  2.87894e+07
7  50  1.8657e+07
7  51  2.06641e+07
7  52  1.51718e+07
7  53  3.604e+07
7  54  4.61518e+07
7  55  4.50206e+07
7  56  2.60942e+07
7  57  3.03314e+07
7  58  2.03143e+07
7  59  3.92059e+07
7  60  5.17368e+07
7  61  3.47311e+07
7  62  5.69929e+07
7  63  1.56857e+07
7  64  5.79373e+07
7  65  4.46759e+07
7  66  3.14443e+07
7  67  1.52347e+07
7  68  3.48524e+07
7  69  7.47931e+06
7  70  2.22142e+07
7  71  1.73295e+07
7  72  0
7  73  4.033e+07
7  74  5.18146e+07
7  75  4.22243e+07
7  76  1.92481e+07
7  77  5.18984e+06
7  78  1.50129e+07
7  79  4.28603e+06
7  80  0
7  81  0
7  82  2.88619e+07
7  83  2.80817e+07
7  84  3.21122e+07
7  85  9.35627e+06
7  86  7.0476e+06
7  87  4.90233e+07
7  88  2.75702e+06
7  89  664555
7  90  0
7  91  1.49343e+07
7  92  6.89036e+06
7  93  20314.7
7  94  2.29123e+06
7  95  1.74486e+07
7  96  9.79581e+06
7  97  1.17471e+07
7  98  4.53781e+07
7  99  7.66373e+06
7  100  3.38948e+07
8  0  6.99436e+07
8  1  4.68333e+07
8  2  0
8  3  4.87525e+07
8  4  6.16514e+06
8  5  4.04979e+07
8  6  7.32772e+07
8  7  5.56584e+07
8  8  5.07459e+07
8  9  9.38497e+07
8  10  4.69116e+07
8  11  3.85156e+07
8  12  5.59243e+07
8  13  4.89594e+07
8  14  6.79954e+07
8  15  7.89392e+07
8  16  5.32296e+07
8  17  4.7791e+07
8  18  3.88216e+07
8  19  4.29761e+07
8  20  5.53642e+07
8  21  2.8911e+07
8  22  6.53817e+07
8  23  3.34998e+07
8  24  3.59961e+07
8  25  3.66956e+07
8  26  6.18665e+07
8  27  5.13688e+07
8  28  5.15887e+07
8  29  3.4768e+07
8  30  4.45252e+07
8  31  0
8  32  3.32272e+07
8  33  4.30487e+07
8  34  4.98951e+07
8  35  5.1321e+07
8  36  8.75657e+07
8  37  1.5832e+07
8  38  6.49158e+07
8  39  4.98196e+07
8  40  3.97441e+07
8  41  1.25469e+07
8  42  3.19478e+07
8  43  2.0428e+07
8  44  2.10641e+07
8  45  3.28399e+07
8  46  3.23938e+07
8  47  3.99506e+07
8  48  2.50646e+07
8  49  5.14882e+07
8  50  4.84492e+07
8  51  5.98007e+07
8  52  3.90954e+07
8  53  4.00204e+07
8  54  6.50004e+07
8  55  4.52846e+07
8  56  2.31826e+07
8  57  2.70097e+07
8  58  1.22122e+07
8  59  6.42176e+07
8  60  5.57784e+07
8  61  7.28179e+07
8  62  3.7963e+07
8  63  3.03966e+07
8  64  2.97152e+07
8  65  1.06317e+07
8  66  8.93934e+06
8  67  6.05742e+06
8  68  2.46369e+07
8  69  4.65768e+06
8  70  4.52596e+07
8  71  1.66888e+07
8  72  0
8  73  2.59847e+07
8  74  3.91412e+07
8  75  3.59818e+07
8  76  1.86925e+07
8  77  3.10815e+07
8  78  1.01617e+07
8  79  6.90806e+06
8  80  2.00004e+07
8  81  1.93213e+07
8  82  2.35119e+07
8  83  1.64886e+07
8  84  8.6568e+06
8  85  6.2352e+06
8  86  0
8  87  1.3317e+07
8  88  4.712e+06
8  89  1.20906e+07
8  90  5.76842e+06
8  91  0
8  92  0
8  93  0
8  94  4.21714e+06
8  95  0
8  96  2.77105e+07
8  97  1.0994e+07
8  98  216808
8  99  2.01758e+07
8  100  0
9  0  6.86476e+07
9  1  5.86585e+07
9  2  4.88488e+07
9  3  4.18018e+07
9  4  4.15494e+07
9  5  4.60619e+07
9  6  6.07912e+07
9  7  3.69252e+07
9  8  4.12675e+07
9  9  8.24617e+07
9  10  5.46071e+07
9  11  6.29879e+07
9  12  7.51744e+07
9  13  7.35675e+07
9  14  8.97613e+07
9  15  8.56852e+07
9  16  5.48296e+07
9  17  3.87134e+07
9  18  6.45651e+07
9  19  5.08563e+07
9  20  5.17733e+07
9  21  5.51975e+07
9  22  8.05052e+07
9  23  7.95422e+07
9  24  5.66954e+07
9  25  4.68119e+07
9  26  5.32585e+07
9  27  5.78766e+07
9  28  4.31529e+07
9  29  3.58904e+07
9  30  5.15069e+07
9  31  5.97542e+07
9  32  3.13769e+07
9  33  5.09151e+07
9  34  3.85926e+07
9  35  4.43996e+07
9  36  6.60074e+07
9  37  1.06111e+08
9  38  9.04751e+07
9  39  4.65008e+07
9  40  3.74758e+07
9  41  1.84929e+07
9  42  1.9601e+07
9  43  2.84851e+07
9  44  2.58686e+07
9  45  6.83461e+06
9  46  0
9  47  2.41096e+07
