row  column  (images_25_2_757.edf Fe-K*images_25_2_757.edf Ar-K**2.3)
13  13  6.5641e+09
13  14  1.8693e+09
13  15  1.08115e+09
13  16  6.80863e+08
13  17  4.55087e+08
13  18  3.14622e+08
13  19  2.31695e+08
13  20  1.89203e+08
13  21  1.66457e+08
13  22  1.68433e+08
13  23  1.26977e+08
13  24  1.31734e+08
13  25  1.49478e+08
13  26  1.58335e+08
13  27  1.64026e+08
13  28  1.43667e+08
13  29  1.2203e+08
13  30  1.10153e+08
13  31  1.12912e+08
13  32  1.14877e+08
13  33  9.48515e+07
13  34  9.40748e+07
13  35  1.07007e+08
13  36  1.40931e+08
13  37  1.21717e+08
13  38  9.23428e+07
13  39  9.24655e+07
13  40  8.12799e+07
13  41  1.08518e+08
13  42  8.59928e+07
13  43  8.80776e+07
13  44  6.45028e+07
13  45  9.43409e+07
13  46  9.18585e+07
13  47  8.47246e+07
13  48  7.52557e+07
13  49  1.07437e+08
13  50  1.19347e+08
14  0  1.33637e+08
14  1  1.56836e+08
14  2  1.5507e+08
14  3  2.0456e+08
14  4  1.75085e+08
14  5  2.63291e+08
14  6  2.93625e+08
14  7  3.166e+08
14  8  4.18895e+08
14  9  5.62678e+08
14  10  6.72253e+08
14  11  1.00969e+09
14  12  2.38646e+09
14  13  5.54407e+09
14  14  2.9455e+09
14  15  8.67441e+08
14  16  6.1718e+08
14  17  4.97738e+08
14  18  3.35813e+08
14  19  2.30237e+08
14  20  1.81764e+08
14  21  1.47201e+08
14  22  1.40928e+08
14  23  1.58918e+08
14  24  1.37041e+08
14  25  1.46794e+08
14  26  1.42312e+08
14  27  1.41522e+08
14  28  1.23088e+08
14  29  1.2798e+08
14  30  1.13423e+08
14  31  1.14248e+08
14  32  1.03058e+08
14  33  1.35157e+08
14  34  9.01159e+07
14  35  1.15267e+08
14  36  1.46619e+08
14  37  1.31446e+08
14  38  8.01156e+07
14  39  7.54792e+07
14  40  8.05101e+07
14  41  8.82618e+07
14  42  7.93818e+07
14  43  7.70519e+07
14  44  7.53477e+07
14  45  8.89016e+07
14  46  9.79994e+07
14  47  6.80473e+07
14  48  8.01064e+07
14  49  8.45682e+07
14  50  1.09691e+08
15  0  1.16693e+08
15  1  1.30906e+08
15  2  1.68774e+08
15  3  1.54493e+08
15  4  1.57947e+08
15  5  2.11193e+08
15  6  2.3135e+08
15  7  2.61478e+08
15  8  3.13336e+08
15  9  4.28355e+08
15  10  5.28874e+08
15  11  7.88419e+08
15  12  2.0161e+09
15  13  4.44716e+09
15  14  1.60933e+09
15  15  6.50364e+08
15  16  4.71369e+08
15  17  3.12335e+08
15  18  2.77985e+08
15  19  1.84279e+08
15  20  1.63477e+08
15  21  1.50371e+08
15  22  1.39251e+08
15  23  1.43153e+08
15  24  1.15515e+08
15  25  1.2863e+08
15  26  1.18247e+08
15  27  1.08271e+08
15  28  1.50697e+08
15  29  1.00723e+08
15  30  1.26729e+08
15  31  1.26763e+08
15  32  1.18176e+08
15  33  1.06926e+08
15  34  1.15066e+08
15  35  1.29447e+08
15  36  1.55402e+08
15  37  1.15203e+08
15  38  1.01999e+08
15  39  8.95643e+07
15  40  7.55636e+07
15  41  8.96836e+07
15  42  8.89333e+07
15  43  6.06218e+07
15  44  9.12655e+07
15  45  7.52992e+07
15  46  6.02287e+07
15  47  6.8209e+07
15  48  7.94311e+07
15  49  1.07334e+08
15  50  1.05343e+08
16  0  1.28231e+08
16  1  1.47874e+08
16  2  1.31766e+08
16  3  1.37862e+08
16  4  1.47992e+08
16  5  1.81117e+08
16  6  1.7689e+08
16  7  2.24172e+08
16  8  2.36296e+08
16  9  2.82308e+08
16  10  3.90845e+08
16  11  4.90919e+08
16  12  1.275e+09
16  13  3.64778e+09
16  14  1.40887e+09
16  15  5.34206e+08
16  16  3.36541e+08
16  17  2.67376e+08
16  18  2.06223e+08
16  19  1.60676e+08
16  20  1.42877e+08
16  21  1.53463e+08
16  22  1.32244e+08
16  23  1.28171e+08
16  24  1.23569e+08
16  25  9.82118e+07
16  26  1.06243e+08
16  27  1.16175e+08
16  28  1.13133e+08
16  29  9.35301e+07
16  30  9.708e+07
16  31  1.13731e+08
16  32  1.30096e+08
16  33  1.13042e+08
16  34  1.02856e+08
16  35  1.25088e+08
16  36  1.74243e+08
16  37  1.22913e+08
16  38  1.04151e+08
16  39  8.92682e+07
16  40  9.11831e+07
16  41  8.04848e+07
16  42  6.50741e+07
16  43  6.85629e+07
16  44  7.74205e+07
16  45  6.99696e+07
16  46  6.9784e+07
16  47  8.23581e+07
16  48  7.77105e+07
16  49  9.1259e+07
16  50  1.15283e+08
17  0  1.51964e+08
17  1  1.53149e+08
17  2  1.2592e+08
17  3  1.32072e+08
17  4  1.15935e+08
17  5  1.47586e+08
17  6  1.62043e+08
17  7  1.92354e+08
17  8  2.0309e+08
17  9  2.06751e+08
17  10  2.72387e+08
17  11  3.89041e+08
17  12  1.34398e+09
17  13  2.44631e+09
17  14  9.70041e+08
17  15  3.83417e+08
17  16  2.67744e+08
17  17  2.00402e+08
17  18  1.87176e+08
17  19  1.44502e+08
17  20  1.35863e+08
17  21  1.59074e+08
17  22  1.13458e+08
17  23  9.80651e+07
17  24  9.85072e+07
17  25  9.39853e+07
17  26  1.02218e+08
17  27  1.08892e+08
17  28  9.99519e+07
17  29  9.70775e+07
17  30  9.94585e+07
17  31  1.16339e+08
17  32  1.36718e+08
17  33  1.02358e+08
17  34  1.1429e+08
17  35  1.30964e+08
17  36  1.5998e+08
17  37  1.20349e+08
17  38  1.21218e+08
17  39  9.90561e+07
17  40  7.50912e+07
17  41  8.80283e+07
17  42  8.43553e+07
17  43  7.3203e+07
17  44  6.51063e+07
17  45  6.96786e+07
17  46  6.95212e+07
17  47  7.83275e+07
17  48  7.29601e+07
17  49  1.01814e+08
17  50  1.10165e+08
18  0  1.87765e+08
18  1  1.53036e+08
18  2  1.23876e+08
18  3  1.28705e+08
18  4  1.1088e+08
18  5  1.49264e+08
18  6  1.72556e+08
18  7  2.03533e+08
18  8  2.17535e+08
18  9  2.03159e+08
18  10  2.42816e+08
18  11  2.87392e+08
18  12  8.93578e+08
18  13  2.00291e+09
