row  column  (images_25_2_757.edf Ca-K*images_25_2_757.edf Ar-K**2.3)
10  13  1.54082e+09
10  14  1.68901e+09
10  15  1.57107e+09
10  16  1.59279e+09
10  17  1.35176e+09
10  18  1.4645e+09
10  19  1.16956e+09
10  20  1.10216e+09
10  21  1.03779e+09
10  22  1.09158e+09
10  23  1.24099e+09
10  24  1.40545e+09
10  25  1.67398e+09
10  26  1.40202e+09
10  27  1.52588e+09
10  28  1.67356e+09
10  29  1.42998e+09
10  30  1.38173e+09
10  31  1.39253e+09
10  32  1.4543e+09
10  33  1.53005e+09
10  34  1.2763e+09
10  35  1.38877e+09
10  36  1.27441e+09
10  37  1.42178e+09
10  38  1.35377e+09
10  39  1.231e+09
10  40  1.53397e+09
10  41  1.3476e+09
10  42  1.37174e+09
10  43  1.47546e+09
10  44  1.45795e+09
10  45  1.5953e+09
10  46  1.409e+09
10  47  1.66987e+09
10  48  1.47488e+09
10  49  1.5715e+09
10  50  1.91737e+09
11  0  1.80745e+09
11  1  1.97339e+09
11  2  1.74068e+09
11  3  1.5807e+09
11  4  1.77917e+09
11  5  1.67307e+09
11  6  2.02633e+09
11  7  1.96554e+09
11  8  2.28432e+09
11  9  1.77552e+09
11  10  1.92893e+09
11  11  2.19171e+09
11  12  1.77791e+09
11  13  1.55892e+09
11  14  1.86014e+09
11  15  1.74978e+09
11  16  1.63948e+09
11  17  1.61377e+09
11  18  1.55284e+09
11  19  1.17057e+09
11  20  1.18708e+09
11  21  1.127e+09
11  22  1.18331e+09
11  23  1.286e+09
11  24  1.32564e+09
11  25  1.48351e+09
11  26  1.56588e+09
11  27  1.63297e+09
11  28  1.57261e+09
11  29  1.33706e+09
11  30  1.36633e+09
11  31  1.40599e+09
11  32  1.50489e+09
11  33  1.61806e+09
11  34  1.48894e+09
11  35  1.55161e+09
11  36  1.44823e+09
11  37  1.57068e+09
11  38  1.39136e+09
11  39  1.424e+09
11  40  1.64077e+09
11  41  1.64959e+09
11  42  1.48701e+09
11  43  1.50509e+09
11  44  1.4338e+09
11  45  1.76639e+09
11  46  1.67653e+09
11  47  1.70766e+09
11  48  1.74888e+09
11  49  1.72923e+09
11  50  1.90126e+09
12  0  1.71303e+09
12  1  1.85924e+09
12  2  1.68916e+09
12  3  1.54478e+09
12  4  1.75367e+09
12  5  1.51135e+09
12  6  1.81855e+09
12  7  1.81743e+09
12  8  1.81021e+09
12  9  1.625e+09
12  10  2.11007e+09
12  11  2.23845e+09
12  12  1.73378e+09
12  13  1.04751e+09
12  14  1.92768e+09
12  15  1.71244e+09
12  16  1.56163e+09
12  17  1.64183e+09
12  18  1.39109e+09
12  19  1.24371e+09
12  20  1.29748e+09
12  21  1.19494e+09
12  22  1.21126e+09
12  23  1.26075e+09
12  24  1.25772e+09
12  25  1.36773e+09
12  26  1.57521e+09
12  27  1.48734e+09
12  28  1.68268e+09
12  29  1.39224e+09
12  30  1.51529e+09
12  31  1.44726e+09
12  32  1.67439e+09
12  33  1.79638e+09
12  34  1.50064e+09
12  35  1.67417e+09
12  36  1.50228e+09
12  37  1.54099e+09
12  38  1.23971e+09
12  39  1.30916e+09
12  40  1.65823e+09
12  41  1.36933e+09
12  42  1.41063e+09
12  43  1.43874e+09
12  44  1.50108e+09
12  45  1.53483e+09
12  46  1.62484e+09
12  47  1.7409e+09
12  48  1.5755e+09
12  49  2.00602e+09
12  50  1.9371e+09
13  0  1.5985e+09
13  1  1.58042e+09
13  2  1.59525e+09
13  3  1.46712e+09
13  4  1.66051e+09
13  5  1.70702e+09
13  6  1.68276e+09
13  7  1.60517e+09
13  8  1.78691e+09
13  9  1.74275e+09
13  10  2.3662e+09
13  11  2.54566e+09
13  12  1.71626e+09
13  13  1.23812e+09
13  14  1.59477e+09
13  15  1.80034e+09
13  16  1.67602e+09
13  17  1.6582e+09
13  18  1.45528e+09
13  19  1.3748e+09
13  20  1.23485e+09
13  21  1.25731e+09
13  22  1.30757e+09
13  23  1.14057e+09
13  24  1.33093e+09
13  25  1.39225e+09
13  26  1.46116e+09
13  27  1.53944e+09
13  28  1.5617e+09
13  29  1.49013e+09
13  30  1.37699e+09
13  31  1.74772e+09
13  32  1.79629e+09
13  33  1.59975e+09
13  34  1.6188e+09
13  35  1.59337e+09
13  36  1.72403e+09
13  37  1.5318e+09
13  38  1.21028e+09
13  39  1.36062e+09
13  40  1.53093e+09
13  41  1.44545e+09
13  42  1.52761e+09
13  43  1.35733e+09
13  44  1.47125e+09
13  45  1.61676e+09
13  46  1.68035e+09
13  47  1.57143e+09
13  48  1.59908e+09
13  49  1.80011e+09
13  50  2.12206e+09
14  0  1.69316e+09
14  1  1.74046e+09
14  2  1.5717e+09
14  3  1.55145e+09
14  4  1.54093e+09
14  5  1.7066e+09
14  6  1.76224e+09
14  7  1.68196e+09
14  8  1.77885e+09
14  9  1.8839e+09
14  10  2.32073e+09
14  11  2.7224e+09
14  12  2.20039e+09
14  13  1.47539e+09
14  14  1.82247e+09
14  15  1.62445e+09
14  16  1.70711e+09
14  17  2.05014e+09
14  18  1.45476e+09
14  19  1.32228e+09
14  20  1.30889e+09
14  21  1.24622e+09
14  22  1.39169e+09
14  23  1.42836e+09
14  24  1.43498e+09
14  25  1.46224e+09
14  26  1.48133e+09
14  27  1.56528e+09
14  28  1.49581e+09
14  29  1.67694e+09
14  30  1.54466e+09
14  31  1.50283e+09
14  32  1.65697e+09
14  33  1.93536e+09
14  34  1.60854e+09
14  35  1.61212e+09
14  36  1.74068e+09
14  37  1.57997e+09
14  38  1.10157e+09
14  39  1.23347e+09
