row  column  (images_25_2_757.edf P-K*images_25_2_757.edf Ar-K**2.3)
20  30  1.23635e+07
20  31  1.17526e+07
20  32  0
20  33  0
20  34  8.67932e+06
20  35  0
20  36  0
20  37  9.47686e+06
20  38  0
20  39  0
20  40  0
20  41  0
20  42  0
20  43  0
20  44  0
20  45  0
20  46  0
20  47  1.35922e+07
20  48  0
20  49  1.17915e+07
20  50  0
21  0  0
21  1  0
21  2  0
21  3  0
21  4  0
21  5  0
21  6  0
21  7  0
21  8  1.34548e+07
21  9  0
21  10  0
21  11  0
21  12  0
21  13  0
21  14  0
21  15  0
21  16  0
21  17  0
21  18  0
21  19  0
21  20  1.01954e+07
21  21  1.4938e+07
21  22  0
21  23  0
21  24  0
21  25  0
21  26  0
21  27  0
21  28  0
21  29  0
21  30  1.14332e+07
21  31  0
21  32  1.10783e+07
21  33  0
21  34  1.09619e+07
21  35  0
21  36  0
21  37  0
21  38  0
21  39  0
21  40  0
21  41  0
21  42  0
21  43  0
21  44  0
21  45  0
21  46  9.28688e+06
21  47  0
21  48  1.58527e+07
21  49  1.77347e+07
21  50  0
22  0  0
22  1  0
22  2  0
22  3  0
22  4  1.38486e+07
22  5  2.18732e+07
22  6  1.09502e+07
22  7  0
22  8  1.29804e+07
22  9  0
22  10  0
22  11  0
22  12  0
22  13  0
22  14  0
22  15  0
22  16  0
22  17  0
22  18  0
22  19  0
22  20  8.39393e+06
22  21  0
22  22  1.35781e+07
22  23  1.60015e+07
22  24  1.02007e+07
22  25  9.14404e+06
22  26  0
22  27  5.96091e+06
22  28  0
22  29  0
22  30  0
22  31  1.20303e+07
22  32  9.14587e+06
22  33  0
22  34  0
22  35  0
22  36  0
22  37  0
22  38  0
22  39  0
22  40  0
22  41  0
22  42  8.37495e+06
22  43  0
22  44  0
22  45  0
22  46  6.58992e+06
22  47  1.10012e+07
22  48  1.17632e+07
22  49  8.04214e+06
22  50  2.14776e+07
23  0  0
23  1  0
23  2  0
23  3  0
23  4  0
23  5  0
23  6  0
23  7  1.31337e+07
23  8  1.71037e+07
23  9  1.43967e+07
23  10  0
23  11  0
23  12  0
23  13  1.49613e+07
23  14  0
23  15  0
23  16  1.37557e+07
23  17  0
23  18  0
23  19  1.22042e+07
23  20  1.07508e+07
23  21  0
23  22  1.21826e+07
23  23  7.73555e+06
23  24  1.07957e+07
23  25  1.8712e+07
23  26  1.11454e+07
23  27  0
23  28  0
23  29  0
23  30  0
23  31  0
23  32  1.28794e+07
23  33  0
23  34  0
23  35  0
23  36  0
23  37  0
23  38  0
23  39  0
23  40  0
23  41  0
23  42  0
23  43  0
23  44  0
23  45  9.87003e+06
23  46  9.15512e+06
23  47  0
23  48  1.04173e+07
23  49  1.30631e+07
23  50  1.44709e+07
24  0  0
24  1  0
24  2  0
24  3  0
24  4  1.04506e+07
24  5  1.67008e+07
24  6  0
24  7  1.74802e+07
24  8  1.61891e+07
24  9  1.79305e+07
24  10  1.55195e+07
24  11  0
24  12  1.41125e+07
24  13  1.16649e+07
24  14  0
24  15  0
24  16  0
24  17  7.41553e+06
24  18  0
24  19  1.85587e+07
24  20  1.14791e+07
24  21  1.41526e+07
24  22  1.11186e+07
24  23  1.22224e+07
24  24  9.47004e+06
24  25  2.18171e+07
24  26  1.10134e+07
24  27  7.7131e+06
24  28  0
24  29  0
24  30  0
