row  column  (images_25_2_757.edf Mn-K*images_25_2_757.edf Ar-K**2.3)
10  44  1.15075e+07
10  45  2.47156e+07
10  46  1.30397e+07
10  47  1.70718e+07
10  48  1.33773e+07
10  49  1.2077e+07
10  50  1.4326e+07
11  0  5.46163e+06
11  1  1.8695e+07
11  2  1.66394e+07
11  3  1.42536e+07
11  4  8.37675e+06
11  5  2.03058e+07
11  6  2.63107e+07
11  7  1.09795e+07
11  8  2.15235e+07
11  9  4.79962e+06
11  10  6.92524e+06
11  11  1.01254e+07
11  12  1.68729e+07
11  13  0
11  14  7.67591e+06
11  15  1.50003e+07
11  16  1.56136e+07
11  17  1.24956e+07
11  18  2.61588e+07
11  19  8.80703e+06
11  20  1.51935e+07
11  21  1.79616e+07
11  22  2.52617e+07
11  23  2.27294e+07
11  24  2.06034e+07
11  25  1.26762e+07
11  26  2.39405e+07
11  27  2.11765e+07
11  28  1.5878e+07
11  29  2.33471e+07
11  30  1.13761e+07
11  31  2.62013e+07
11  32  1.53165e+07
11  33  2.55617e+07
11  34  2.70588e+07
11  35  2.03679e+07
11  36  2.14266e+07
11  37  3.29247e+07
11  38  2.35957e+07
11  39  1.78633e+07
11  40  1.7222e+07
11  41  1.1149e+07
11  42  1.38934e+07
11  43  1.8627e+07
11  44  1.3378e+07
11  45  1.87257e+07
11  46  2.15737e+07
11  47  1.0898e+07
11  48  2.35302e+07
11  49  1.65312e+07
11  50  1.48048e+07
12  0  1.81905e+07
12  1  1.12569e+07
12  2  1.66437e+07
12  3  1.09799e+07
12  4  1.89639e+07
12  5  1.4765e+07
12  6  1.98259e+07
12  7  1.79188e+07
12  8  1.66853e+07
12  9  0
12  10  1.72876e+07
12  11  1.49031e+07
12  12  0
12  13  0
12  14  1.13914e+07
12  15  1.89384e+07
12  16  1.89257e+07
12  17  1.99602e+07
12  18  1.82836e+07
12  19  2.94371e+07
12  20  2.98384e+07
12  21  2.12494e+07
12  22  2.41928e+07
12  23  2.33828e+07
12  24  1.3415e+07
12  25  1.4605e+07
12  26  2.00246e+07
12  27  1.91406e+07
12  28  1.55587e+07
12  29  2.17644e+07
12  30  1.08116e+07
12  31  1.74438e+07
12  32  2.48692e+07
12  33  1.18916e+07
12  34  1.21114e+07
12  35  1.49153e+07
12  36  1.50226e+07
12  37  1.39535e+07
12  38  2.0308e+07
12  39  1.48044e+07
12  40  9.64257e+06
12  41  1.41497e+07
12  42  1.9106e+07
12  43  1.9254e+07
12  44  1.70597e+07
12  45  1.94309e+07
12  46  2.53265e+07
12  47  1.3725e+07
12  48  1.7504e+07
12  49  1.28843e+07
12  50  1.00154e+07
13  0  1.66535e+07
13  1  1.26686e+07
13  2  1.86689e+07
13  3  1.33967e+07
13  4  2.28282e+07
13  5  1.89146e+07
