row  column  (images_12_26nov.edf S_K*images_12_26nov.edf Ar_K**2.3)
15  24  2.93833e+08
15  25  3.12456e+08
15  26  1.98834e+08
15  27  9.59705e+07
15  28  1.07889e+08
15  29  1.70532e+08
15  30  7.7338e+07
15  31  1.18525e+08
15  32  1.28076e+08
15  33  2.58689e+08
15  34  2.12923e+08
15  35  2.99974e+08
15  36  3.34656e+08
15  37  2.95013e+08
15  38  3.66006e+08
15  39  3.82642e+08
15  40  4.15176e+08
15  41  3.71251e+08
15  42  3.79867e+08
15  43  5.08577e+08
15  44  4.53918e+08
15  45  5.04328e+08
15  46  4.89157e+08
15  47  3.25017e+08
15  48  4.37725e+08
15  49  3.15559e+08
15  50  4.57415e+08
16  0  0
16  1  0
16  2  0
16  3  0
16  4  6.85544e+07
16  5  1.2235e+08
16  6  1.08413e+08
16  7  1.11781e+08
16  8  1.20937e+08
16  9  1.82792e+08
16  10  1.95744e+08
16  11  2.17586e+08
16  12  9.06118e+07
16  13  9.49101e+07
16  14  9.83065e+07
16  15  1.79969e+08
16  16  1.40965e+08
16  17  1.80096e+08
16  18  1.77417e+08
16  19  2.57459e+08
16  20  2.24061e+08
16  21  2.2638e+08
16  22  1.90465e+08
16  23  2.92938e+08
16  24  2.71555e+08
16  25  2.55152e+08
16  26  2.35973e+08
16  27  1.12833e+08
16  28  5.72116e+07
16  29  1.44573e+08
16  30  1.64006e+08
16  31  1.24312e+08
16  32  9.14844e+07
16  33  1.85823e+08
16  34  2.71702e+08
16  35  2.5596e+08
16  36  3.69485e+08
16  37  3.40395e+08
16  38  3.50199e+08
16  39  3.98754e+08
16  40  3.54118e+08
16  41  3.1908e+08
16  42  3.69882e+08
16  43  3.74161e+08
16  44  6.10488e+08
16  45  5.54698e+08
16  46  4.47051e+08
16  47  3.59298e+08
16  48  3.70444e+08
16  49  3.86199e+08
16  50  3.94608e+08
17  0  0
17  1  0
17  2  0
17  3  0
17  4  1.14546e+08
17  5  1.30762e+08
17  6  1.65616e+08
17  7  1.23118e+08
17  8  8.6774e+07
17  9  2.09499e+08
17  10  2.41463e+08
17  11  1.00306e+08
17  12  9.85921e+07
17  13  1.05205e+08
17  14  1.70058e+08
17  15  1.36552e+08
17  16  8.15964e+07
17  17  1.45268e+08
17  18  1.32975e+08
17  19  2.48708e+08
17  20  2.25828e+08
17  21  2.03507e+08
17  22  2.37784e+08
17  23  2.76e+08
17  24  3.05248e+08
17  25  2.69195e+08
17  26  2.5127e+08
17  27  8.75161e+07
17  28  8.64725e+07
17  29  1.42692e+08
17  30  1.42502e+08
17  31  1.19192e+08
17  32  1.37652e+08
17  33  1.65224e+08
17  34  2.6478e+08
17  35  3.73456e+08
17  36  4.35936e+08
17  37  3.62767e+08
17  38  4.10714e+08
17  39  4.56666e+08
17  40  3.61059e+08
17  41  3.61664e+08
17  42  3.26225e+08
17  43  4.24616e+08
17  44  5.47928e+08
17  45  6.18062e+08
17  46  4.49926e+08
17  47  3.10736e+08
17  48  3.29015e+08
17  49  2.63936e+08
17  50  4.84398e+08
18  0  0
18  1  0
18  2  0
18  3  6.04832e+07
18  4  0
18  5  6.45426e+07
18  6  9.92295e+07
18  7  8.80294e+07
18  8  1.22346e+08
18  9  2.11129e+08
18  10  1.09716e+08
18  11  1.27218e+08
18  12  1.13732e+08
18  13  6.76918e+07
18  14  2.16103e+08
18  15  8.86756e+07
18  16  7.32995e+07
18  17  1.18744e+08
18  18  1.34996e+08
18  19  2.02818e+08
18  20  2.85052e+08
18  21  2.34756e+08
18  22  2.34999e+08
18  23  2.11641e+08
18  24  2.56653e+08
18  25  3.42714e+08
18  26  2.01231e+08
18  27  8.73336e+07
18  28  7.32493e+07
18  29  7.87736e+07
18  30  1.53583e+08
18  31  6.0137e+07
18  32  1.03445e+08
18  33  2.55952e+08
18  34  2.33588e+08
18  35  3.40713e+08
18  36  3.42618e+08
18  37  3.59075e+08
18  38  3.66887e+08
18  39  3.83166e+08
18  40  2.90091e+08
18  41  4.11897e+08
18  42  3.36796e+08
18  43  3.89874e+08
18  44  3.29303e+08
18  45  4.82259e+08
18  46  3.0837e+08
18  47  2.77295e+08
18  48  2.90913e+08
18  49  3.41679e+08
18  50  3.95158e+08
19  0  0
19  1  0
19  2  0
19  3  0
19  4  1.28288e+08
19  5  3.20813e+07
19  6  8.81864e+07
19  7  1.26158e+08
19  8  1.45496e+08
19  9  2.28264e+08
19  10  1.77823e+08
19  11  1.61238e+08
19  12  4.62492e+07
19  13  1.66078e+08
19  14  2.27679e+08
19  15  1.48308e+08
19  16  1.41365e+08
19  17  9.19747e+07
19  18  1.61085e+08
19  19  2.73707e+08
19  20  2.46596e+08
19  21  1.97308e+08
19  22  2.49222e+08
19  23  2.35907e+08
19  24  3.40471e+08
19  25  4.19154e+08
19  26  2.01834e+08
19  27  8.89512e+07
19  28  1.40322e+08
19  29  6.16931e+07
19  30  9.60549e+07
19  31  8.27999e+07
19  32  7.59409e+07
19  33  2.42433e+08
19  34  2.98936e+08
19  35  3.44659e+08
19  36  3.59057e+08
19  37  3.91475e+08
19  38  3.22949e+08
19  39  4.01072e+08
19  40  4.36067e+08
19  41  3.65149e+08
19  42  3.73388e+08
19  43  4.26099e+08
19  44  4.55824e+08
19  45  4.86802e+08
19  46  3.01742e+08
19  47  2.55372e+08
19  48  2.74106e+08
19  49  3.35641e+08
19  50  4.18772e+08
20  0  0
20  1  0
20  2  0
20  3  9.1957e+07
20  4  1.64424e+08
20  5  9.66516e+07
20  6  1.12469e+08
20  7  4.4482e+07
20  8  1.84405e+08
20  9  1.6535e+08
20  10  1.46896e+08
20  11  6.5505e+07
20  12  1.1244e+08
20  13  1.31395e+08
20  14  2.60747e+08
20  15  9.24214e+07
20  16  8.02918e+07
20  17  6.89752e+07
20  18  2.37296e+08
20  19  2.28339e+08
