row  column  (images_12_26nov.edf Cu_K*images_12_26nov.edf Ar_K**2.3)
16  6  2.79885e+07
16  7  0
16  8  0
16  9  0
16  10  4.36829e+07
16  11  1.60548e+07
16  12  0
16  13  0
16  14  0
16  15  0
16  16  6.8991e+07
16  17  0
16  18  0
16  19  2.54083e+07
16  20  0
16  21  0
16  22  0
16  23  5.5097e+07
16  24  0
16  25  6.42077e+07
16  26  0
16  27  0
16  28  1.20766e+07
16  29  0
16  30  0
16  31  1.52449e+07
16  32  0
16  33  1.48542e+06
16  34  0
16  35  0
16  36  2.27175e+07
16  37  4.8101e+07
16  38  0
16  39  3.13601e+07
16  40  6.58016e+07
16  41  2.26858e+07
16  42  8.2295e+06
16  43  208995
16  44  7.58143e+06
16  45  0
16  46  0
16  47  1.92376e+07
16  48  0
16  49  1.31918e+08
16  50  2.31918e+07
17  0  0
17  1  0
17  2  0
17  3  4.77966e+07
17  4  0
17  5  7.322e+07
17  6  0
17  7  8.71552e+06
17  8  0
17  9  6.89938e+06
17  10  1.99029e+07
17  11  0
17  12  0
17  13  8.11462e+07
17  14  0
17  15  3.91633e+07
17  16  0
17  17  0
17  18  0
17  19  8.4228e+07
17  20  0
17  21  0
17  22  0
17  23  7.4282e+07
17  24  4.16818e+07
17  25  0
17  26  2.09594e+06
17  27  0
17  28  0
17  29  5.96587e+06
17  30  0
17  31  273662
17  32  5.28091e+07
17  33  0
17  34  1.3081e+07
17  35  0
17  36  1.37306e+06
17  37  0
17  38  0
17  39  3.07615e+07
17  40  6.43818e+07
17  41  4.26954e+07
17  42  0
17  43  359868
17  44  1.78046e+07
17  45  3.2852e+07
17  46  2.24244e+07
17  47  0
17  48  0
17  49  0
17  50  9.51582e+07
18  0  0
18  1  0
18  2  0
18  3  0
18  4  2.81359e+07
18  5  6.095e+07
18  6  5.55616e+06
18  7  0
18  8  0
18  9  2.58989e+07
18  10  1.5074e+07
18  11  0
18  12  1.1138e+07
18  13  0
18  14  0
18  15  0
18  16  1.19395e+07
18  17  0
18  18  0
18  19  3.33834e+07
18  20  0
18  21  4.40593e+07
18  22  0
18  23  3.60341e+07
18  24  5.25782e+07
18  25  0
18  26  5.35669e+07
18  27  4.04542e+07
18  28  0
18  29  0
18  30  4.12538e+06
18  31  1.23858e+07
18  32  0
18  33  1.31094e+07
18  34  0
18  35  4.25298e+06
18  36  1.90142e+07
18  37  0
18  38  1.73442e+07
18  39  4.02418e+07
18  40  0
18  41  7.97964e+07
18  42  0
18  43  1.09527e+07
18  44  0
18  45  2.89867e+07
18  46  2.78267e+07
18  47  0
18  48  0
18  49  0
18  50  0
19  0  0
19  1  7.10947e+07
19  2  0
19  3  0
19  4  2.64408e+06
19  5  0
19  6  3.47026e+07
19  7  0
19  8  9.10544e+06
19  9  0
19  10  0
19  11  0
19  12  0
19  13  1.59392e+07
19  14  0
19  15  0
19  16  0
19  17  0
19  18  0
19  19  0
19  20  7.56279e+06
19  21  4.36053e+06
19  22  0
19  23  2.1342e+07
19  24  0
19  25  2.18477e+07
19  26  0
19  27  2.55323e+07
19  28  2.1732e+07
19  29  1.28443e+07
19  30  0
19  31  0
19  32  0
19  33  5.68985e+07
19  34  7.0727e+07
19  35  9.13182e+07
19  36  3.06659e+07
19  37  0
19  38  9.42734e+06
19  39  0
19  40  3.58847e+07
19  41  0
19  42  0
19  43  2.95967e+06
19  44  1.14978e+07
19  45  0
19  46  1.07681e+07
19  47  0
19  48  4.54739e+06
19  49  3.29672e+07
19  50  3.40684e+06
20  0  0
20  1  0
20  2  0
20  3  5.21975e+07
20  4  3.90118e+07
20  5  2.15388e+07
20  6  0
20  7  0
20  8  2.51337e+07
20  9  1.97524e+07
20  10  276576
20  11  0
20  12  0
20  13  0
20  14  0
20  15  0
20  16  0
20  17  0
20  18  2.94639e+07
20  19  0
20  20  0
20  21  0
20  22  3.64634e+07
20  23  0
20  24  1.07529e+07
20  25  6.17608e+06
20  26  0
20  27  0
20  28  0
20  29  0
20  30  4.18944e+07
20  31  5.25582e+07
20  32  0
20  33  0
20  34  4.69982e+07
20  35  0
20  36  0
20  37  5.69649e+07
20  38  0
20  39  7.9629e+07
20  40  4.33565e+07
20  41  8.89081e+07
20  42  6.81533e+07
20  43  1.50917e+07
20  44  0
20  45  4.89629e+06
20  46  3.16882e+07
20  47  0
20  48  0
20  49  0
20  50  2.62002e+06
21  0  0
21  1  0
21  2  0
21  3  0
21  4  0
21  5  0
21  6  0
21  7  0
21  8  0
21  9  0
21  10  4.68294e+07
21  11  0
21  12  0
21  13  1.80977e+07
21  14  0
21  15  0
21  16  0
21  17  0
21  18  0
21  19  0
21  20  0
21  21  0
21  22  4.43459e+07
21  23  2.64493e+07
21  24  9.8805e+06
21  25  5.30801e+07
21  26  0
21  27  5.68044e+07
21  28  0
21  29  0
21  30  0
21  31  0
21  32  3.26908e+07
21  33  0
21  34  2.98467e+07
21  35  0
21  36  5.24315e+06
21  37  0
21  38  0
21  39  0
21  40  1.03984e+07
21  41  8.21743e+07
21  42  0
21  43  0
21  44  0
21  45  0
21  46  0
21  47  0
21  48  0
21  49  6.67075e+07
21  50  0
22  0  0
22  1  3.8071e+07
22  2  0
22  3  0
22  4  0
22  5  0
22  6  0
22  7  4.6094e+07
22  8  3.20899e+07
22  9  3.13172e+07
22  10  0
22  11  0
22  12  3.92057e+06
