row  column  (images_12_26nov.edf Mn_K*images_12_26nov.edf Ar_K**2.3)
13  27  1.72164e+08
13  28  1.16478e+08
13  29  1.47257e+08
13  30  1.01358e+08
13  31  1.43705e+08
13  32  7.02195e+07
13  33  2.16786e+08
13  34  1.21193e+08
13  35  9.83593e+07
13  36  3.67395e+07
13  37  2.44652e+08
13  38  1.32187e+08
13  39  8.14428e+07
13  40  7.12516e+07
13  41  8.54376e+07
13  42  1.33467e+08
13  43  8.84089e+07
13  44  9.2956e+07
13  45  1.20521e+08
13  46  1.73942e+08
13  47  1.55868e+08
13  48  1.64349e+08
13  49  1.92933e+08
13  50  1.21256e+08
14  0  1.75672e+08
14  1  2.01251e+08
14  2  1.94692e+08
14  3  1.09359e+08
14  4  8.26696e+07
14  5  1.34498e+08
14  6  1.38851e+08
14  7  1.02375e+08
14  8  1.05125e+08
14  9  6.26619e+07
14  10  9.06107e+07
14  11  1.45544e+08
14  12  1.24438e+08
14  13  6.81549e+07
14  14  1.08454e+08
14  15  7.21107e+07
14  16  1.80242e+08
14  17  2.27161e+08
14  18  1.20096e+08
14  19  8.52198e+07
14  20  1.83681e+08
14  21  1.70864e+08
14  22  1.05171e+08
14  23  6.90058e+07
14  24  1.41209e+08
14  25  1.00541e+08
14  26  1.78896e+08
14  27  9.97844e+07
14  28  1.88743e+08
14  29  1.42637e+08
14  30  1.66628e+08
14  31  7.77516e+07
14  32  9.94986e+07
14  33  5.29677e+07
14  34  1.24941e+08
14  35  1.25075e+08
14  36  1.36974e+08
14  37  1.19522e+08
14  38  1.83035e+08
14  39  1.24799e+08
14  40  1.68084e+08
14  41  1.07537e+08
14  42  1.58801e+08
14  43  1.04735e+08
14  44  1.48236e+08
14  45  1.83391e+08
14  46  1.47085e+08
14  47  1.03696e+08
14  48  1.48941e+08
14  49  9.12726e+07
14  50  1.51031e+08
15  0  1.87801e+08
15  1  1.33999e+08
15  2  1.79592e+08
15  3  1.69141e+08
15  4  1.85478e+08
15  5  1.06878e+08
15  6  6.97109e+07
15  7  1.04769e+08
15  8  6.49907e+07
15  9  1.13889e+08
15  10  6.27105e+07
15  11  1.38541e+08
15  12  9.09453e+07
15  13  1.3153e+08
15  14  1.72096e+08
15  15  1.33829e+08
15  16  1.14528e+08
15  17  1.47141e+08
15  18  1.57484e+08
15  19  1.56024e+08
15  20  1.44022e+08
15  21  1.21902e+08
15  22  1.46006e+08
15  23  1.0197e+08
15  24  6.59264e+07
15  25  1.40913e+08
15  26  1.87721e+08
15  27  1.50561e+08
15  28  8.39032e+07
15  29  5.83804e+07
15  30  1.16857e+08
15  31  1.74348e+08
15  32  1.78611e+08
15  33  1.36096e+08
15  34  7.60307e+07
15  35  9.43338e+07
15  36  8.86765e+07
15  37  2.04613e+08
15  38  1.46774e+08
15  39  1.0158e+08
15  40  7.1814e+07
15  41  1.05899e+08
15  42  1.63026e+08
15  43  1.26668e+08
15  44  8.57699e+07
15  45  1.35253e+08
15  46  9.55803e+07
15  47  9.39241e+07
15  48  1.78997e+08
15  49  1.07225e+08
15  50  1.45021e+08
16  0  1.3294e+08
16  1  1.52516e+08
16  2  2.11234e+08
16  3  1.53394e+08
16  4  7.08757e+07
16  5  1.10353e+08
16  6  1.33143e+08
16  7  9.40109e+07
16  8  1.66277e+08
16  9  4.01219e+07
16  10  1.02713e+08
16  11  1.13774e+08
16  12  9.08679e+07
16  13  9.88979e+07
16  14  5.77166e+07
16  15  1.72415e+08
16  16  1.97662e+08
16  17  1.56332e+08
16  18  1.02754e+08
16  19  1.41287e+08
16  20  1.02236e+08
16  21  1.49973e+08
16  22  1.00213e+08
16  23  8.64092e+07
16  24  1.10462e+08
16  25  7.72336e+07
16  26  1.03102e+08
16  27  2.0597e+08
16  28  1.18707e+08
16  29  1.222e+08
16  30  1.09937e+08
16  31  6.96295e+07
16  32  1.43156e+08
16  33  1.22285e+08
16  34  1.01197e+08
16  35  9.72199e+07
16  36  6.5825e+07
16  37  9.32796e+07
16  38  1.16664e+08
16  39  1.09252e+08
16  40  1.34435e+08
16  41  2.15782e+08
16  42  1.82112e+08
16  43  1.08202e+08
16  44  1.33587e+08
16  45  1.66913e+08
16  46  1.61714e+08
16  47  1.48558e+08
16  48  1.36845e+08
16  49  6.44048e+07
16  50  1.27393e+08
17  0  1.24196e+08
17  1  1.08298e+08
17  2  1.06038e+08
17  3  1.73064e+08
17  4  1.41143e+08
17  5  5.38036e+07
17  6  1.23237e+08
17  7  1.57341e+08
17  8  1.68534e+08
17  9  1.89366e+07
17  10  4.67151e+07
17  11  9.73814e+07
17  12  1.22874e+08
17  13  8.04773e+07
17  14  9.86277e+07
17  15  9.02383e+07
17  16  1.29939e+08
17  17  1.38122e+08
17  18  1.07069e+08
17  19  1.95756e+08
17  20  1.54637e+08
17  21  1.25031e+08
17  22  9.80262e+07
17  23  6.62624e+07
17  24  9.70637e+07
17  25  1.11967e+08
17  26  6.89801e+07
17  27  1.02266e+08
17  28  1.15792e+08
17  29  8.82409e+07
17  30  8.78946e+07
17  31  1.27522e+08
17  32  2.03085e+08
17  33  1.39381e+08
17  34  6.89413e+07
17  35  9.20385e+07
17  36  8.03476e+07
17  37  1.45108e+08
17  38  8.1109e+07
17  39  1.3624e+08
17  40  1.77288e+08
17  41  6.9926e+07
17  42  1.16831e+08
17  43  1.03541e+08
17  44  1.22605e+08
17  45  1.78386e+08
17  46  2.19096e+08
17  47  1.50715e+08
17  48  7.6046e+07
17  49  1.54457e+08
17  50  9.20464e+07
18  0  1.74636e+08
18  1  1.95832e+08
18  2  8.76907e+07
18  3  1.11491e+08
18  4  1.63445e+08
18  5  1.28497e+08
18  6  1.23362e+08
18  7  1.17137e+08
18  8  1.5019e+08
18  9  9.3871e+07
18  10  1.14575e+08
18  11  1.5757e+08
18  12  1.23052e+08
18  13  6.35929e+07
18  14  1.014e+08
18  15  1.25234e+08
18  16  9.03309e+07
18  17  7.37528e+07
18  18  9.22226e+07
18  19  1.56024e+08
18  20  1.22835e+08
18  21  1.33756e+08
18  22  1.43541e+08
18  23  1.04016e+08
18  24  6.71091e+07
18  25  6.22233e+07
18  26  6.29194e+07
18  27  9.61273e+07
18  28  1.50784e+08
18  29  1.04536e+08
18  30  1.08198e+08
18  31  1.29114e+08
18  32  1.15514e+08
18  33  9.90409e+07
18  34  1.33045e+08
18  35  1.24763e+08
18  36  1.42549e+08
18  37  1.42083e+08
18  38  8.09014e+07
18  39  1.83353e+08
18  40  9.02356e+07
18  41  1.0302e+08
18  42  1.74395e+08
18  43  8.80709e+07
18  44  1.41262e+08
18  45  1.54721e+08
18  46  1.37353e+08
18  47  1.5691e+08
18  48  2.52777e+08
18  49  1.02313e+08
18  50  1.18117e+08
19  0  1.84851e+08
19  1  1.95691e+08
19  2  1.90564e+08
19  3  1.94022e+08
19  4  1.94127e+08
19  5  1.62487e+08
19  6  1.33668e+08
19  7  1.07776e+08
19  8  1.49483e+08
19  9  9.28251e+07
19  10  1.57685e+08
19  11  3.4127e+07
19  12  8.2091e+07
19  13  1.15321e+08
19  14  1.08198e+08
19  15  6.0396e+07
19  16  1.22953e+08
19  17  9.37109e+07
19  18  1.52024e+08
19  19  1.39671e+08
19  20  1.47243e+08
19  21  1.69172e+08
19  22  1.86616e+08
19  23  1.3444e+08
19  24  1.3399e+08
19  25  7.20802e+07
19  26  9.03216e+07
19  27  1.32599e+08
19  28  1.84524e+08
19  29  1.09456e+08
19  30  1.80832e+08
19  31  7.73814e+07
19  32  1.30215e+08
19  33  1.37921e+08
19  34  1.25339e+08
19  35  1.20884e+08
19  36  1.47728e+08
19  37  9.15229e+07
19  38  1.02794e+08
19  39  5.71967e+07
19  40  8.98072e+07
19  41  1.65562e+08
19  42  1.28772e+08
19  43  1.01491e+08
19  44  1.67772e+08
19  45  1.65224e+08
19  46  1.59912e+08
19  47  1.30221e+08
19  48  1.69837e+08
19  49  1.79921e+08
19  50  1.26388e+08
20  0  1.32809e+08
20  1  2.52479e+08
20  2  1.84211e+08
20  3  1.20841e+08
20  4  1.28178e+08
20  5  8.63146e+07
20  6  1.8708e+08
20  7  1.45849e+08
20  8  1.22207e+08
20  9  1.4314e+08
20  10  1.50506e+08
20  11  7.46947e+07
20  12  1.46389e+08
20  13  1.3593e+08
20  14  8.264e+07
20  15  4.04921e+07
20  16  9.2333e+07
20  17  1.10587e+08
20  18  1.16402e+08
20  19  1.36907e+08
20  20  1.87296e+08
20  21  1.5789e+08
20  22  7.65061e+07
20  23  1.37396e+08
20  24  1.03136e+08
20  25  7.51024e+07
20  26  1.09088e+08
20  27  8.14374e+07
20  28  1.53418e+08
20  29  1.66201e+08
20  30  1.47211e+08
20  31  1.55505e+08
20  32  7.17338e+07
20  33  1.31704e+08
20  34  6.3926e+07
20  35  8.23261e+07
20  36  1.33198e+08
20  37  7.43738e+07
20  38  1.01755e+08
20  39  1.39112e+08
20  40  8.15275e+07
20  41  9.29192e+07
20  42  1.48454e+08
20  43  2.13412e+08
20  44  1.35637e+08
20  45  1.24396e+08
20  46  1.47956e+08
20  47  1.49355e+08
20  48  2.29801e+08
20  49  1.61903e+08
20  50  1.33617e+08
21  0  1.26434e+08
21  1  1.93252e+08
21  2  1.68128e+08
21  3  2.06423e+08
21  4  1.30195e+08
21  5  1.43739e+08
21  6  1.73254e+08
21  7  1.36437e+08
21  8  1.08041e+08
21  9  9.54991e+07
21  10  1.0928e+08
21  11  8.37909e+07
21  12  1.50969e+08
21  13  1.1908e+08
21  14  1.46658e+08
21  15  1.29338e+08
21  16  1.30857e+08
21  17  1.03569e+08
21  18  1.42423e+08
21  19  1.22238e+08
21  20  1.21832e+08
21  21  1.58571e+08
21  22  4.65549e+07
21  23  1.41951e+08
21  24  1.84443e+08
21  25  3.56207e+07
21  26  3.25212e+07
21  27  1.42756e+08
21  28  7.29678e+07
21  29  1.18687e+08
21  30  1.30384e+08
21  31  1.74096e+08
21  32  1.58017e+08
21  33  1.26106e+08
21  34  8.46304e+07
21  35  8.0135e+07
21  36  1.23827e+08
21  37  1.33428e+08
21  38  1.41557e+08
21  39  9.34622e+07
21  40  1.13125e+08
21  41  1.25653e+08
21  42  1.22739e+08
21  43  1.08785e+08
21  44  1.18541e+08
21  45  2.16973e+08
21  46  1.14012e+08
21  47  1.35761e+08
21  48  1.60941e+08
21  49  1.481e+08
21  50  1.24086e+08
22  0  2.53244e+08
22  1  1.64775e+08
22  2  1.9202e+08
22  3  6.84478e+07
22  4  9.31755e+07
22  5  1.52765e+08
22  6  1.48244e+08
22  7  4.40577e+07
22  8  1.32219e+08
22  9  1.22056e+08
22  10  1.1225e+08
22  11  1.50281e+08
22  12  1.41132e+08
22  13  9.46323e+07
22  14  1.01764e+08
22  15  1.14723e+08
22  16  1.01958e+08
22  17  1.52147e+08
22  18  5.40875e+07
22  19  1.30732e+08
22  20  1.25617e+08
22  21  1.01716e+08
22  22  1.24079e+08
22  23  1.16709e+08
22  24  9.49104e+07
22  25  1.18694e+08
22  26  3.85801e+07
22  27  5.19535e+07
