row  column  (images_12_26nov.edf Ca_K*images_12_26nov.edf Ar_K**2.3)
16  12  5.98813e+09
16  13  5.54159e+09
16  14  6.85566e+09
16  15  7.07167e+09
16  16  4.66909e+09
16  17  5.53412e+09
16  18  4.77804e+09
16  19  5.63972e+09
16  20  5.3797e+09
16  21  5.24693e+09
16  22  5.66187e+09
16  23  6.67139e+09
16  24  7.96338e+09
16  25  7.26059e+09
16  26  6.66075e+09
16  27  5.25241e+09
16  28  4.60822e+09
16  29  5.50388e+09
16  30  6.51351e+09
16  31  6.13695e+09
16  32  5.63856e+09
16  33  5.47148e+09
16  34  5.87741e+09
16  35  5.76702e+09
16  36  6.38605e+09
16  37  6.32626e+09
16  38  6.65886e+09
16  39  7.1011e+09
16  40  7.19883e+09
16  41  7.46969e+09
16  42  7.12277e+09
16  43  6.76846e+09
16  44  6.73602e+09
16  45  6.6816e+09
16  46  5.9358e+09
16  47  5.21744e+09
16  48  5.80374e+09
16  49  6.88539e+09
16  50  7.50803e+09
17  0  1.18751e+09
17  1  1.74708e+09
17  2  2.54897e+09
17  3  3.16198e+09
17  4  4.78696e+09
17  5  4.89622e+09
17  6  5.84332e+09
17  7  5.12374e+09
17  8  4.82689e+09
17  9  8.12863e+09
17  10  9.87e+09
17  11  7.11525e+09
17  12  6.52253e+09
17  13  5.76182e+09
17  14  7.43331e+09
17  15  6.8343e+09
17  16  4.81236e+09
17  17  5.11813e+09
17  18  5.30245e+09
17  19  5.49318e+09
17  20  5.3997e+09
17  21  5.49474e+09
17  22  6.13367e+09
17  23  6.80349e+09
17  24  7.93198e+09
17  25  7.37967e+09
17  26  7.17308e+09
17  27  4.99952e+09
17  28  5.0359e+09
17  29  6.01364e+09
17  30  6.02431e+09
17  31  5.69434e+09
17  32  5.40463e+09
17  33  5.38457e+09
17  34  5.81157e+09
17  35  6.62894e+09
17  36  6.77392e+09
17  37  6.32139e+09
17  38  6.7376e+09
17  39  7.35307e+09
17  40  7.71686e+09
17  41  6.94017e+09
17  42  6.3531e+09
17  43  6.2527e+09
17  44  6.40373e+09
17  45  6.54439e+09
17  46  5.4973e+09
17  47  5.18811e+09
17  48  5.94925e+09
17  49  6.2267e+09
17  50  7.70843e+09
18  0  1.40959e+09
18  1  2.20083e+09
18  2  2.83354e+09
18  3  3.56911e+09
18  4  4.69714e+09
18  5  4.90062e+09
18  6  5.13579e+09
18  7  5.07981e+09
18  8  5.52115e+09
18  9  6.78833e+09
18  10  7.95936e+09
18  11  6.97272e+09
18  12  6.20766e+09
18  13  5.46582e+09
18  14  7.43316e+09
18  15  7.65686e+09
18  16  4.58027e+09
18  17  4.94561e+09
18  18  5.32584e+09
18  19  5.6562e+09
18  20  6.11119e+09
18  21  5.54185e+09
18  22  6.13755e+09
18  23  6.42542e+09
18  24  7.09062e+09
18  25  7.21755e+09
18  26  6.69294e+09
18  27  5.16664e+09
18  28  5.04931e+09
18  29  5.41252e+09
18  30  6.09722e+09
18  31  5.07835e+09
18  32  4.96677e+09
18  33  5.88169e+09
18  34  5.78783e+09
18  35  6.0476e+09
18  36  6.97133e+09
18  37  6.80199e+09
18  38  6.74718e+09
18  39  7.19819e+09
18  40  7.27526e+09
18  41  6.76583e+09
18  42  6.5412e+09
18  43  6.2658e+09
18  44  5.7297e+09
18  45  6.23242e+09
18  46  5.00056e+09
18  47  4.69013e+09
18  48  5.35523e+09
18  49  6.89937e+09
18  50  6.96017e+09
19  0  1.82504e+09
19  1  2.56447e+09
19  2  3.38544e+09
19  3  4.14515e+09
19  4  5.93298e+09
19  5  4.93412e+09
19  6  5.06039e+09
19  7  5.37945e+09
19  8  5.19567e+09
19  9  6.67182e+09
19  10  8.0608e+09
19  11  6.98517e+09
19  12  5.69988e+09
19  13  5.65281e+09
19  14  8.00009e+09
19  15  7.33234e+09
19  16  4.69998e+09
19  17  5.15768e+09
19  18  5.21696e+09
19  19  5.50731e+09
19  20  6.20597e+09
19  21  5.47572e+09
19  22  5.83114e+09
19  23  6.96269e+09
