row  column  (images_9.edf S_K*images_9.edf Ar_K**2.3)
24  45  7.89453e+07
24  46  0
24  47  0
24  48  0
24  49  0
24  50  0
25  0  0
25  1  0
25  2  3.57925e+06
25  3  0
25  4  1.1247e+06
25  5  5.01397e+07
25  6  5.81165e+07
25  7  5.3065e+07
25  8  3.28443e+07
25  9  7.97039e+07
25  10  7.28737e+07
25  11  7.39772e+07
25  12  6.94856e+07
25  13  9.42407e+07
25  14  9.64257e+07
25  15  1.2184e+08
25  16  1.1189e+08
25  17  1.16248e+08
25  18  1.21936e+08
25  19  6.65122e+07
25  20  8.37603e+07
25  21  4.78308e+07
25  22  4.50934e+07
25  23  9.46264e+07
25  24  0
25  25  1.40167e+08
25  26  9.96057e+07
25  27  1.22458e+08
25  28  1.05033e+08
25  29  1.55722e+08
25  30  1.64254e+08
25  31  1.76224e+08
25  32  1.3884e+08
25  33  1.99426e+08
25  34  1.44988e+08
25  35  1.06697e+08
25  36  6.78371e+07
25  37  1.06839e+08
25  38  1.50152e+08
25  39  7.30983e+07
