row  column  (images_9.edf P_K*images_9.edf Ar_K**2.3)
21  8  0
21  9  0
21  10  0
21  11  0
21  12  3.18206e+07
21  13  2.26481e+07
21  14  0
21  15  4.31979e+07
21  16  0
21  17  0
21  18  5.79726e+07
21  19  8.44385e+07
21  20  5.79043e+07
21  21  0
21  22  5.01857e+07
21  23  4.56177e+07
21  24  0
21  25  0
21  26  0
21  27  6.05011e+07
21  28  4.44149e+07
21  29  4.85278e+07
21  30  6.58048e+07
21  31  6.45339e+07
21  32  4.13295e+07
21  33  0
21  34  0
21  35  0
21  36  1.61039e+06
21  37  5.15946e+07
21  38  0
21  39  0
21  40  0
21  41  0
21  42  0
21  43  0
21  44  0
21  45  0
21  46  0
21  47  0
21  48  0
21  49  0
21  50  0
22  0  0
22  1  0
22  2  0
22  3  0
22  4  0
22  5  0
22  6  0
22  7  2.63614e+07
22  8  0
22  9  4.13916e+07
22  10  3.41329e+07
22  11  0
22  12  0
22  13  0
22  14  7.73167e+07
22  15  3.9585e+07
22  16  0
22  17  3.62752e+07
22  18  7.14722e+07
22  19  4.57336e+07
22  20  0
22  21  0
22  22  0
22  23  0
22  24  0
22  25  3.42357e+07
22  26  0
22  27  6.10757e+07
22  28  7.63559e+07
22  29  4.03998e+07
22  30  1.31844e+07
22  31  0
22  32  4.62562e+07
22  33  5.74405e+07
22  34  0
22  35  0
22  36  0
22  37  5.29565e+07
22  38  7.13458e+07
22  39  0
22  40  0
22  41  0
22  42  0
22  43  0
22  44  0
22  45  0
22  46  0
22  47  0
22  48  0
22  49  0
22  50  0
23  0  0
23  1  0
23  2  0
23  3  0
23  4  0
23  5  0
23  6  0
23  7  3.59651e+07
23  8  0
23  9  0
23  10  0
23  11  0
23  12  0
23  13  0
23  14  4.07993e+07
23  15  5.49624e+07
23  16  6.56512e+07
23  17  3.60601e+07
23  18  0
23  19  4.49664e+07
23  20  4.60009e+07
23  21  0
23  22  5.6505e+06
23  23  3.14924e+07
23  24  0
23  25  3.3599e+07
23  26  5.3409e+07
23  27  7.21358e+07
23  28  8.80998e+07
23  29  7.4945e+07
23  30  4.87899e+07
23  31  4.36026e+07
23  32  4.52244e+07
23  33  5.65155e+07
23  34  0
23  35  4.79868e+07
23  36  0
23  37  0
23  38  0
23  39  0
23  40  0
23  41  0
23  42  0
23  43  0
23  44  0
23  45  0
23  46  0
23  47  0
23  48  0
23  49  0
23  50  0
24  0  0
24  1  0
24  2  0
24  3  0
24  4  0
24  5  0
24  6  0
24  7  9.37823e+06
24  8  0
24  9  0
24  10  0
24  11  0
24  12  0
24  13  0
24  14  5.02207e+07
24  15  3.07615e+07
24  16  5.79964e+07
24  17  6.15638e+07
24  18  5.4816e+07
24  19  3.60102e+07
24  20  3.03856e+07
24  21  4.04493e+07
24  22  2.9722e+07
24  23  0
24  24  0
24  25  3.99965e+07
24  26  5.93024e+07
24  27  4.34937e+07
24  28  6.91441e+07
24  29  5.061e+07
24  30  5.70739e+07
24  31  3.99735e+07
24  32  0
24  33  3.57187e+07
24  34  4.43799e+07
24  35  0
24  36  0
24  37  0
24  38  2.81291e+07
24  39  0
24  40  0
24  41  0
24  42  0
24  43  0
24  44  0
24  45  0
24  46  0
24  47  0
24  48  0
24  49  0
24  50  0
25  0  0
25  1  0
25  2  0
25  3  0
25  4  0
25  5  0
25  6  0
25  7  0
25  8  1.0277e+07
25  9  0
25  10  0
25  11  5.93645e+07
25  12  0
25  13  0
25  14  0
25  15  7.54306e+07
25  16  5.61851e+07
25  17  2.84215e+07
25  18  3.84684e+07
25  19  3.48256e+07
25  20  0
25  21  0
25  22  3.44659e+07
25  23  2.96084e+07
25  24  0
25  25  4.75085e+07
25  26  7.08498e+07
25  27  8.69896e+07
25  28  6.60679e+07
25  29  9.38867e+07
25  30  7.82045e+07
25  31  5.13052e+07
25  32  8.63963e+07
25  33  6.25059e+07
25  34  4.25604e+07
25  35  0
25  36  4.08224e+07
25  37  4.13532e+07
25  38  0
