row  column  (images_9.edf Mn_K*images_9.edf Ar_K**2.3)
13  7  1.00326e+08
13  8  1.3584e+08
13  9  8.50464e+07
13  10  1.06358e+08
13  11  1.37519e+08
13  12  1.37556e+08
13  13  1.75984e+08
13  14  1.40791e+08
13  15  1.03914e+08
13  16  6.74344e+07
13  17  9.39925e+07
13  18  1.42337e+08
13  19  1.35878e+08
13  20  9.87886e+07
13  21  7.84727e+07
13  22  1.34487e+08
13  23  7.28849e+07
13  24  2.11166e+08
13  25  1.40062e+08
13  26  8.23667e+07
13  27  1.33244e+08
13  28  1.35344e+08
13  29  1.5168e+08
13  30  7.91918e+07
13  31  1.08454e+08
13  32  1.43843e+08
13  33  1.56628e+08
13  34  7.40547e+07
13  35  1.46556e+08
13  36  1.5871e+08
13  37  1.19332e+08
13  38  8.11481e+07
13  39  1.05475e+08
13  40  1.52934e+08
13  41  1.16718e+08
13  42  1.10923e+08
13  43  8.66665e+07
13  44  1.16819e+08
13  45  6.98441e+07
13  46  1.30621e+08
13  47  1.43154e+08
13  48  1.98054e+08
13  49  1.02095e+08
13  50  1.41031e+08
14  0  1.12941e+08
14  1  7.432e+07
14  2  1.40959e+08
14  3  1.17745e+08
14  4  1.29663e+08
14  5  8.02687e+07
14  6  8.38963e+07
14  7  1.04811e+08
14  8  4.6817e+07
14  9  1.28955e+08
14  10  8.14388e+07
14  11  1.17952e+08
14  12  2.24616e+08
14  13  1.1583e+08
14  14  1.19135e+08
14  15  1.03393e+08
14  16  1.69987e+08
14  17  8.37255e+07
14  18  1.91432e+08
14  19  9.84874e+07
14  20  9.01624e+07
14  21  1.09823e+08
14  22  8.20943e+07
14  23  1.15501e+08
14  24  1.11131e+08
14  25  1.52594e+08
14  26  1.22042e+08
14  27  1.57991e+08
14  28  1.82738e+08
14  29  9.58696e+07
14  30  1.09867e+08
14  31  1.00289e+08
14  32  7.80992e+07
14  33  1.40067e+08
14  34  1.18881e+08
14  35  1.15528e+08
14  36  1.19648e+08
14  37  1.34247e+08
14  38  1.32706e+08
14  39  1.35586e+08
14  40  7.86481e+07
14  41  1.11167e+08
14  42  1.14638e+08
14  43  1.09489e+08
14  44  4.58342e+07
14  45  1.32312e+08
14  46  1.29902e+08
14  47  6.8239e+07
14  48  1.15558e+08
14  49  5.97847e+07
14  50  1.81197e+08
15  0  8.0842e+07
15  1  8.92037e+07
15  2  7.89276e+07
15  3  8.39016e+07
15  4  6.96618e+07
15  5  7.76483e+07
15  6  1.00225e+08
15  7  1.28368e+08
15  8  1.39305e+08
15  9  1.14396e+08
15  10  1.43016e+08
15  11  7.57909e+07
15  12  8.56639e+07
15  13  8.60395e+07
15  14  1.41834e+08
15  15  9.6061e+07
15  16  1.28335e+08
15  17  1.46135e+08
15  18  1.0592e+08
15  19  1.1918e+08
15  20  1.43766e+08
15  21  1.28059e+08
15  22  1.8974e+08
15  23  1.03879e+08
15  24  1.35537e+08
15  25  1.31355e+08
15  26  1.23025e+08
15  27  9.70174e+07
15  28  1.21571e+08
15  29  1.30044e+08
15  30  1.4514e+08
15  31  1.2488e+08
15  32  1.19678e+08
15  33  1.24885e+08
15  34  1.30066e+08
15  35  4.20044e+07
15  36  1.15965e+08
15  37  1.24283e+08
15  38  1.2358e+08
15  39  1.61729e+08
15  40  1.99621e+08
15  41  1.30782e+08
15  42  1.33279e+08
15  43  1.85262e+08
15  44  1.30324e+08
15  45  1.27364e+08
15  46  1.17017e+08
15  47  1.5672e+08
15  48  1.19351e+08
15  49  1.38602e+08
15  50  1.10242e+08
16  0  6.87716e+07
16  1  6.85889e+07
16  2  7.20512e+07
16  3  8.81812e+07
16  4  8.91965e+07
16  5  1.06359e+08
16  6  9.12024e+07
16  7  1.30198e+08
16  8  1.22378e+08
16  9  7.62375e+07
16  10  1.69546e+08
16  11  1.36944e+08
16  12  7.06867e+07
16  13  1.10522e+08
16  14  1.26127e+08
16  15  1.43559e+08
16  16  1.49641e+08
16  17  9.54871e+07
16  18  7.84007e+07
16  19  1.07634e+08
16  20  9.68208e+07
16  21  1.42671e+08
16  22  1.09863e+08
16  23  1.60704e+08
16  24  1.49897e+08
16  25  1.64282e+08
16  26  1.0814e+08
16  27  1.21488e+08
16  28  1.02943e+08
16  29  1.05643e+08
16  30  1.08951e+08
16  31  1.29705e+08
16  32  1.30853e+08
16  33  1.26613e+08
16  34  1.28961e+08
16  35  1.00649e+08
16  36  9.09349e+07
16  37  1.90002e+08
16  38  9.08733e+07
16  39  1.51478e+08
16  40  8.42459e+07
16  41  1.22599e+08
16  42  8.36808e+07
16  43  9.7472e+07
16  44  1.37976e+08
16  45  1.26765e+08
16  46  1.34883e+08
16  47  1.53798e+08
16  48  1.2285e+08
16  49  1.28255e+08
16  50  1.4599e+08
17  0  9.09834e+07
17  1  6.86296e+07
17  2  7.95853e+07
17  3  1.19687e+08
17  4  9.79452e+07
17  5  1.10777e+08
17  6  1.08291e+08
17  7  9.54768e+07
17  8  7.85277e+07
17  9  1.05989e+08
17  10  1.31468e+08
17  11  1.26078e+08
17  12  1.23477e+08
17  13  1.17977e+08
17  14  1.05384e+08
17  15  1.64058e+08
17  16  9.10172e+07
17  17  1.59119e+08
17  18  8.62218e+07
17  19  8.44222e+07
17  20  1.05315e+08
17  21  1.36322e+08
17  22  9.86305e+07
17  23  1.25799e+08
17  24  1.33393e+08
17  25  1.06674e+08
17  26  1.45016e+08
17  27  1.09741e+08
17  28  8.9368e+07
17  29  7.93352e+07
17  30  1.24165e+08
17  31  9.64007e+07
17  32  6.79612e+07
17  33  1.11662e+08
17  34  7.08922e+07
17  35  5.74036e+07
17  36  1.46893e+08
17  37  9.26513e+07
17  38  7.72806e+07
17  39  1.16564e+08
17  40  1.7796e+08
17  41  1.24986e+08
17  42  1.21812e+08
17  43  1.33132e+08
17  44  1.64721e+08
17  45  1.463e+08
17  46  1.00013e+08
17  47  1.43044e+08
17  48  1.60627e+08
17  49  1.59175e+08
17  50  1.40664e+08
18  0  7.64264e+07
18  1  1.00508e+08
18  2  1.2204e+08
18  3  1.00615e+08
18  4  1.48991e+08
18  5  8.5434e+07
18  6  1.12119e+08
18  7  5.54525e+07
18  8  9.47311e+07
18  9  1.3637e+08
18  10  1.09154e+08
18  11  1.0679e+08
18  12  1.72927e+08
18  13  1.07341e+08
18  14  1.39227e+08
18  15  1.29224e+08
18  16  1.27489e+08
18  17  1.5778e+08
18  18  1.94863e+08
18  19  5.48146e+07
18  20  1.69676e+08
18  21  9.94023e+07
18  22  7.94276e+07
18  23  1.7939e+08
18  24  1.34361e+08
18  25  1.50179e+08
18  26  1.45073e+08
18  27  1.67216e+08
18  28  8.05231e+07
18  29  1.49965e+08
18  30  8.56303e+07
18  31  1.34486e+08
18  32  1.3025e+08
18  33  1.32284e+08
18  34  6.22776e+07
18  35  4.89404e+07
18  36  8.27026e+07
18  37  6.07468e+07
18  38  1.05025e+08
18  39  1.10922e+08
18  40  1.30363e+08
18  41  7.28975e+07
18  42  8.18082e+07
18  43  1.82305e+08
18  44  7.7628e+07
18  45  8.39285e+07
18  46  1.45763e+08
18  47  1.15857e+08
18  48  6.98328e+07
18  49  9.00561e+07
18  50  1.24872e+08
19  0  9.30129e+07
19  1  1.21191e+08
19  2  7.27689e+07
19  3  9.02933e+07
19  4  9.64557e+07
19  5  8.55833e+07
19  6  1.50297e+08
19  7  1.33366e+08
19  8  9.4208e+07
19  9  9.70749e+07
19  10  1.44793e+08
19  11  1.19192e+08
19  12  9.84838e+07
19  13  1.15048e+08
19  14  1.01974e+08
19  15  1.2809e+08
19  16  1.18715e+08
19  17  1.64075e+08
19  18  1.66067e+08
19  19  1.04702e+08
19  20  7.95667e+07
19  21  9.73157e+07
19  22  1.25868e+08
19  23  1.09155e+08
19  24  1.23298e+08
19  25  1.29085e+08
19  26  1.41209e+08
19  27  1.29254e+08
19  28  7.95407e+07
19  29  1.03583e+08
19  30  1.34228e+08
19  31  1.0063e+08
19  32  1.06529e+08
19  33  1.42687e+08
19  34  1.02619e+08
19  35  4.40132e+07
19  36  1.29518e+08
19  37  1.21882e+08
19  38  9.66273e+07
19  39  1.25824e+08
19  40  1.16068e+08
19  41  9.72997e+07
19  42  1.23797e+08
19  43  1.4329e+08
19  44  8.48603e+07
19  45  6.98547e+07
19  46  1.14339e+08
19  47  1.32484e+08
19  48  1.4044e+08
19  49  1.25945e+08
19  50  1.49174e+08
20  0  8.40004e+07
20  1  9.04348e+07
20  2  4.48847e+07
20  3  1.10229e+08
20  4  1.08381e+08
20  5  6.55479e+07
20  6  8.56394e+07
20  7  8.29272e+07
20  8  1.3427e+08
20  9  7.89689e+07
20  10  1.49672e+08
20  11  1.37448e+08
20  12  7.58703e+07
20  13  8.61432e+07
20  14  7.55244e+07
20  15  1.47512e+08
20  16  8.9303e+07
20  17  1.41318e+08
20  18  6.98968e+07
20  19  1.44024e+08
20  20  1.17237e+08
20  21  1.09867e+08
20  22  1.11583e+08
20  23  1.38833e+08
20  24  1.07045e+08
20  25  1.23212e+08
20  26  8.92654e+07
20  27  1.02245e+08
20  28  1.39792e+08
20  29  1.5593e+08
20  30  1.28868e+08
20  31  1.35387e+08
20  32  1.23953e+08
20  33  7.95776e+07
20  34  1.43195e+08
20  35  9.27374e+07
20  36  1.43683e+08
20  37  9.91269e+07
20  38  1.28434e+08
20  39  1.2706e+08
20  40  1.10687e+08
20  41  1.58025e+08
20  42  1.13167e+08
20  43  1.44517e+08
20  44  1.35228e+08
20  45  1.35287e+08
20  46  1.52129e+08
20  47  1.40898e+08
20  48  1.77703e+08
20  49  1.53206e+08
20  50  9.70629e+07
21  0  4.99615e+07
21  1  6.588e+07
21  2  8.04971e+07
21  3  6.74784e+07
21  4  1.0513e+08
21  5  1.11058e+08
21  6  1.09427e+08
21  7  1.40113e+08
21  8  8.56644e+07
21  9  9.3239e+07
21  10  1.18259e+08
21  11  1.29617e+08
21  12  1.5519e+08
21  13  1.11007e+08
21  14  8.94728e+07
21  15  6.96917e+07
21  16  1.06156e+08
21  17  1.33502e+08
21  18  1.31719e+08
21  19  1.3329e+08
21  20  1.25662e+08
21  21  7.24872e+07
21  22  1.56636e+08
21  23  1.42694e+08
21  24  9.88446e+07
21  25  1.47051e+08
21  26  1.36988e+08
21  27  8.27951e+07
21  28  1.05753e+08
21  29  8.56507e+07
21  30  1.04862e+08
21  31  1.48156e+08
21  32  1.41384e+08
21  33  1.30857e+08
21  34  1.32104e+08
21  35  1.19757e+08
21  36  4.97988e+07
21  37  9.75133e+07
21  38  1.52113e+08
21  39  9.51926e+07
21  40  1.6952e+08
21  41  6.6574e+07
21  42  9.68585e+07
21  43  1.38613e+08
21  44  9.61729e+07
21  45  1.11672e+08
21  46  1.35028e+08
21  47  8.57751e+07
21  48  1.90129e+08
21  49  7.82306e+07
21  50  1.26614e+08
22  0  5.12479e+07
22  1  1.48724e+08
22  2  4.6649e+07
22  3  9.61642e+07
22  4  1.27292e+08
22  5  1.20165e+08
22  6  9.19621e+07
22  7  8.0867e+07
22  8  8.57517e+07
22  9  1.21335e+08
22  10  1.05484e+08
22  11  1.58783e+08
22  12  9.60285e+07
22  13  1.17182e+08
22  14  1.19795e+08
22  15  1.44753e+08
22  16  1.17263e+08
22  17  1.02109e+08
22  18  1.67255e+08
22  19  8.81984e+07
22  20  1.41976e+08
22  21  8.46071e+07
22  22  8.09826e+07
22  23  1.72537e+08
22  24  9.85069e+07
22  25  6.90743e+07
22  26  1.44596e+08
22  27  9.98635e+07
22  28  1.13008e+08
22  29  7.86203e+07
22  30  4.26186e+07
22  31  8.09821e+07
22  32  1.85819e+08
