row  column  (images_9.edf Cu_K*images_9.edf Ar_K**2.3)
12  41  0
12  42  4.59821e+07
12  43  0
12  44  2.65034e+06
12  45  0
12  46  0
12  47  3.60931e+07
12  48  8.80764e+06
12  49  0
12  50  1.81412e+07
13  0  3.38845e+07
13  1  8.38947e+06
13  2  2.34516e+07
13  3  3.62974e+07
13  4  4.46636e+07
13  5  0
13  6  3.69527e+06
13  7  0
13  8  2.72241e+07
13  9  2.21532e+07
13  10  0
13  11  3.02552e+07
13  12  0
13  13  0
13  14  0
13  15  0
13  16  8.08159e+07
13  17  0
13  18  0
13  19  0
13  20  0
13  21  2.17208e+07
13  22  4.48598e+06
13  23  4.50155e+06
13  24  0
13  25  0
13  26  6.29203e+07
13  27  2.14102e+07
13  28  0
13  29  0
13  30  5.59161e+07
13  31  4.26105e+07
13  32  3.55156e+06
13  33  0
13  34  0
13  35  0
13  36  0
13  37  0
13  38  0
13  39  0
13  40  5.37103e+07
13  41  4.8294e+07
13  42  0
13  43  3.08103e+06
13  44  1.36054e+07
13  45  0
13  46  1.15688e+07
13  47  0
13  48  0
13  49  0
13  50  0
14  0  3.37279e+07
14  1  2.14271e+07
14  2  1.96985e+06
14  3  2.15029e+07
14  4  131664
14  5  4.34078e+07
14  6  0
14  7  7.08395e+06
14  8  0
14  9  0
14  10  2.16275e+07
14  11  0
14  12  1.5263e+07
14  13  0
14  14  0
14  15  0
14  16  4.4818e+07
14  17  0
14  18  0
14  19  1.7269e+07
14  20  0
14  21  0
14  22  1.26737e+07
14  23  1.50692e+06
14  24  4.67132e+07
14  25  0
14  26  0
14  27  0
14  28  1.93774e+07
14  29  9.33604e+07
14  30  0
14  31  2.7382e+07
14  32  1.1818e+07
14  33  0
14  34  0
14  35  0
14  36  0
14  37  6.51991e+07
14  38  1.75796e+07
14  39  0
14  40  0
14  41  5.27563e+07
14  42  0
14  43  0
14  44  0
14  45  0
14  46  0
14  47  0
14  48  0
14  49  4.28332e+07
14  50  9.19514e+06
15  0  4.88225e+07
15  1  0
15  2  0
15  3  0
15  4  8.06024e+07
15  5  0
15  6  6.07709e+07
15  7  0
15  8  1.39697e+07
15  9  2.43173e+07
15  10  2.70775e+07
15  11  4.25553e+07
15  12  1.86974e+07
15  13  3.70233e+07
15  14  0
15  15  0
15  16  0
15  17  0
15  18  0
15  19  0
15  20  9.57028e+06
15  21  1.96048e+07
15  22  0
15  23  0
15  24  3.0962e+07
15  25  0
15  26  0
15  27  905476
15  28  0
15  29  7.80774e+07
15  30  4.1563e+07
15  31  0
15  32  0
15  33  0
15  34  0
15  35  3.15875e+07
15  36  0
15  37  0
15  38  0
15  39  0
15  40  0
15  41  0
15  42  7.97614e+06
15  43  2.28039e+07
15  44  0
15  45  0
15  46  4.44718e+06
15  47  0
15  48  0
15  49  2.15776e+07
15  50  2.62827e+07
16  0  4.25742e+07
16  1  3.50868e+07
16  2  3.89266e+06
16  3  1.03642e+07
16  4  2.69004e+07
16  5  3.54481e+07
16  6  0
16  7  1.76478e+07
16  8  3.70923e+07
16  9  7.96976e+07
16  10  0
16  11  0
16  12  4.61147e+07
16  13  0
16  14  0
16  15  0
16  16  0
16  17  0
16  18  2.45147e+07
16  19  6.80181e+06
16  20  0
16  21  1.13706e+07
16  22  0
16  23  0
16  24  0
16  25  8.87389e+06
16  26  0
16  27  2.37288e+07
16  28  2.021e+06
16  29  1.80415e+06
16  30  0
16  31  0
16  32  1.00018e+07
16  33  2.7793e+07
16  34  1.00134e+08
16  35  1.00271e+07
16  36  0
16  37  0
16  38  5.89287e+07
16  39  0
16  40  2.94865e+07
16  41  6.78549e+07
16  42  1.98792e+07
16  43  1.52401e+07
16  44  2.54677e+07
16  45  0
16  46  0
16  47  1.97015e+07
16  48  2.63164e+07
16  49  0
16  50  0
17  0  3.99022e+07
17  1  2.41189e+07
17  2  1.00721e+07
17  3  1.58634e+06
17  4  5.44534e+07
17  5  0
17  6  0
17  7  1.89555e+07
17  8  0
17  9  4.71595e+06
17  10  0
17  11  0
17  12  0
17  13  0
17  14  1.84472e+07
17  15  0
17  16  0
17  17  0
17  18  2.55818e+07
17  19  6.89328e+06
17  20  6.89275e+07
17  21  0
17  22  0
17  23  2.29002e+07
17  24  0
17  25  0
17  26  2.55842e+07
17  27  1.46945e+07
17  28  0
17  29  0
17  30  7.14766e+07
17  31  0
17  32  2.07775e+06
17  33  0
17  34  0
17  35  6.44965e+07
17  36  5.59779e+06
17  37  0
17  38  0
17  39  0
17  40  0
17  41  1.42264e+07
17  42  0
17  43  0
17  44  0
17  45  6.21595e+07
17  46  0
17  47  7.87082e+07
17  48  549761
17  49  0
17  50  9.33187e+06
18  0  5.3672e+07
18  1  5.5604e+07
18  2  0
18  3  0
18  4  7.69763e+07
18  5  1.68369e+07
18  6  1.24512e+07
18  7  3.47035e+07
18  8  1.3323e+07
18  9  2.78778e+07
18  10  0
18  11  0
18  12  0
18  13  0
18  14  4.45168e+07
18  15  0
18  16  0
18  17  0
18  18  0
18  19  4.72627e+07
18  20  2.79964e+07
18  21  1.52037e+07
18  22  0
18  23  0
18  24  9.42741e+07
18  25  3.25508e+07
18  26  0
18  27  2.13513e+07
18  28  0
18  29  3.72342e+07
18  30  0
18  31  0
18  32  0
18  33  0
18  34  0
18  35  0
18  36  0
18  37  3.34936e+07
18  38  0
18  39  0
18  40  0
18  41  4.4174e+06
18  42  1.27744e+07
18  43  0
18  44  1.33271e+07
18  45  0
18  46  2.9157e+07
18  47  0
18  48  4.05068e+07
18  49  0
18  50  0
19  0  1.01754e+08
19  1  6.86407e+07
19  2  1.1e+08
19  3  3.12744e+07
19  4  0
19  5  1.46295e+07
19  6  2.28245e+07
19  7  3.18301e+07
19  8  3.61216e+07
19  9  1.96278e+07
19  10  2.20148e+07
19  11  0
19  12  0
19  13  0
19  14  3.95109e+07
19  15  0
19  16  0
19  17  0
19  18  3.17506e+07
19  19  0
19  20  3.09727e+06
19  21  6.96734e+07
19  22  0
19  23  1.21248e+07
19  24  0
19  25  3.02672e+07
19  26  0
19  27  0
19  28  0
19  29  1.81709e+07
19  30  0
19  31  5.54007e+06
19  32  4.41676e+07
19  33  1.59925e+07
19  34  7.93537e+07
19  35  1.84037e+07
19  36  0
19  37  9.1163e+06
19  38  2.58388e+07
19  39  0
19  40  1.33221e+07
19  41  4.72019e+07
19  42  2.36136e+06
19  43  6.51072e+06
19  44  2.91542e+07
19  45  0
19  46  0
19  47  0
19  48  0
19  49  0
19  50  0
20  0  5.8567e+07
20  1  3.45421e+07
20  2  7.65797e+07
20  3  7.28322e+07
20  4  1.22311e+06
20  5  3.72065e+06
20  6  0
20  7  3.54522e+07
20  8  0
20  9  0
20  10  3.84115e+07
20  11  0
20  12  1.97613e+07
20  13  3.39959e+06
20  14  4.94102e+07
20  15  1.55316e+07
20  16  9.03856e+06
20  17  0
20  18  1.04427e+08
20  19  0
20  20  4.63119e+07
20  21  0
20  22  0
20  23  2.66929e+07
20  24  0
20  25  0
20  26  0
20  27  1.29094e+07
20  28  1.41625e+07
20  29  2.09751e+07
20  30  0
20  31  5.81052e+07
20  32  0
20  33  1.61338e+07
20  34  4.02796e+07
20  35  9.94181e+06
20  36  0
20  37  0
20  38  0
20  39  7.15675e+07
20  40  0
20  41  153010
20  42  0
20  43  3.63374e+07
20  44  0
20  45  0
20  46  0
20  47  0
20  48  6.14344e+06
20  49  0
20  50  0
21  0  6.25827e+07
21  1  9.69598e+06
21  2  1.13205e+08
21  3  4.0338e+07
21  4  0
21  5  0
21  6  2.31889e+07
21  7  2.78572e+07
21  8  2.77248e+06
21  9  1.96439e+06
21  10  0
21  11  2.97479e+07
21  12  0
21  13  2.45458e+07
21  14  7.97287e+06
21  15  6.58478e+07
21  16  1.30068e+07
21  17  7.94088e+06
21  18  0
21  19  0
21  20  0
21  21  0
21  22  0
21  23  6.12167e+07
21  24  0
21  25  0
21  26  0
21  27  2.98647e+07
21  28  0
21  29  0
21  30  8.74798e+06
21  31  0
21  32  8.63658e+06
21  33  0
21  34  0
21  35  0
21  36  0
21  37  3.86628e+07
21  38  2.47658e+07
21  39  5.33124e+07
21  40  4.90583e+07
21  41  4.43307e+07
21  42  1.53199e+07
21  43  5.78895e+07
21  44  4.51107e+07
21  45  0
21  46  4.04208e+07
21  47  4.58897e+07
21  48  1.18182e+07
21  49  0
21  50  0
22  0  5.18103e+07
22  1  1.54973e+07
22  2  4.03219e+07
22  3  4.70086e+07
22  4  0
22  5  4.12892e+07
22  6  2.362e+07
22  7  1.12847e+07
22  8  2.27391e+07
22  9  0
22  10  0
22  11  0
22  12  0
22  13  250391
22  14  1.57409e+07
22  15  1.73249e+07
22  16  0
22  17  1.52716e+07
22  18  0
22  19  0
22  20  0
22  21  0
22  22  2.93149e+07
22  23  1.75336e+07
22  24  1.18575e+07
22  25  0
22  26  0
22  27  7.09143e+06
22  28  3.40886e+06
22  29  2.38302e+07
22  30  0
22  31  0
22  32  0
22  33  0
22  34  0
22  35  2.76294e+07
22  36  1.16852e+07
22  37  1.69941e+07
22  38  0
22  39  0
22  40  7.31633e+06
22  41  0
22  42  5.16424e+07
22  43  0
22  44  0
22  45  0
22  46  5.93209e+07
22  47  0
22  48  0
22  49  0
22  50  1.14522e+07
23  0  4.89189e+07
23  1  2.96456e+07
23  2  1.00295e+08
23  3  2.2907e+07
23  4  3.64498e+07
23  5  0
23  6  2.34574e+07
23  7  2.52487e+07
23  8  3.40072e+07
23  9  0
23  10  9.98093e+06
23  11  0
23  12  1.21051e+07
23  13  6.02013e+07
23  14  2.62354e+07
23  15  0
23  16  0
23  17  3.6494e+07
23  18  8.4694e+06
23  19  5.49944e+07
23  20  2.82363e+07
23  21  0
23  22  0
23  23  0
23  24  0
23  25  4.03478e+07
23  26  1.89256e+07
23  27  2.34977e+07
23  28  6.469e+06
23  29  2.01989e+07
23  30  1.84584e+07
23  31  0
23  32  0
23  33  0
23  34  0
23  35  0
23  36  3.11983e+07
23  37  0
23  38  0
23  39  1.32509e+07
23  40  2.37967e+06
23  41  2.55983e+07
23  42  2.1359e+06
23  43  0
23  44  2.79983e+07
23  45  0
23  46  2.88457e+07
23  47  0
23  48  1.1404e+07
23  49  0
23  50  4.12907e+07
24  0  7.65949e+07
24  1  2.12114e+07
24  2  4.91075e+07
24  3  0
24  4  0
24  5  3.75263e+06
24  6  1.80871e+07
24  7  0
24  8  0
24  9  3.92626e+06
24  10  2.69628e+07
24  11  0
24  12  0
24  13  0
24  14  1.13392e+07
24  15  0
24  16  7.69087e+06
24  17  73714.6
24  18  0
24  19  0
24  20  1.32723e+07
24  21  0
24  22  0
24  23  0
24  24  0
24  25  0
24  26  0
24  27  0
24  28  3.29979e+07
24  29  3.84173e+07
24  30  7.42119e+06
24  31  0
24  32  6.22464e+06
24  33  2.00105e+07
24  34  0
24  35  3.99809e+07
24  36  0
