row  column  (images_27.edf Cu-K*images_27.edf Ar-K**2.3)
15  46  1.20939e+06
15  47  0
15  48  0
15  49  9.59337e+06
15  50  9.57672e+06
16  0  9.21713e+06
16  1  3.82659e+06
16  2  1.30959e+07
16  3  4.46463e+06
16  4  4.23305e+06
16  5  64522.8
16  6  1.06763e+07
16  7  249071
16  8  1.05203e+07
16  9  7.03854e+06
16  10  8.85417e+06
16  11  196124
16  12  1.27314e+07
16  13  1.33795e+07
16  14  1.06647e+07
16  15  1.0538e+07
16  16  0
16  17  8.11864e+06
16  18  0
16  19  1.32521e+07
16  20  1.19028e+07
16  21  1.71711e+06
16  22  7.40492e+06
16  23  0
16  24  9.90959e+06
16  25  1.56247e+07
16  26  3.724e+06
16  27  1.49687e+07
16  28  6.19566e+06
16  29  6.08685e+06
16  30  1.09123e+07
16  31  8.09224e+06
16  32  496539
16  33  7.85204e+06
16  34  9.81255e+06
16  35  7.50212e+06
16  36  7.27836e+06
16  37  5.61735e+06
16  38  1.11658e+07
16  39  1.08584e+07
16  40  4.33158e+06
16  41  0
16  42  3.96145e+06
16  43  8.22441e+06
16  44  1.48407e+07
16  45  5.12658e+06
16  46  0
16  47  0
16  48  0
16  49  0
16  50  8.85839e+06
17  0  6.33234e+06
17  1  0
17  2  4.32836e+06
17  3  1.28764e+06
17  4  3.22353e+06
17  5  7.64854e+06
17  6  0
17  7  1.27867e+07
17  8  0
17  9  1.21138e+07
17  10  4.7701e+06
17  11  0
17  12  6.5402e+06
17  13  3.50823e+06
17  14  0
17  15  5.97021e+06
17  16  7.46085e+06
17  17  1.19148e+07
17  18  4.77496e+06
17  19  2.37956e+06
17  20  0
17  21  1.59228e+07
17  22  1.02449e+07
17  23  0
17  24  9.36953e+06
17  25  8.39532e+06
17  26  4.70447e+06
17  27  3.13564e+06
17  28  5.61691e+06
17  29  9.8162e+06
17  30  4.80292e+06
17  31  6.66448e+06
17  32  4.2347e+06
17  33  7.78253e+06
17  34  7.34068e+06
17  35  1.91366e+06
17  36  8.79907e+06
17  37  5.22368e+06
17  38  7.01222e+06
17  39  882578
17  40  0
17  41  0
17  42  0
17  43  0
17  44  1.63026e+07
17  45  897626
17  46  4.56695e+06
17  47  601437
17  48  0
17  49  4.0595e+06
17  50  2.48942e+06
18  0  0
18  1  1.93083e+06
18  2  0
18  3  666441
18  4  1.14645e+07
18  5  4.14707e+06
18  6  3.78591e+06
18  7  1.63324e+07
18  8  0
18  9  8.22358e+06
18  10  0
18  11  2.91157e+06
18  12  0
18  13  0
18  14  4.61299e+06
18  15  5.79605e+06
18  16  6.86117e+06
18  17  1.27009e+07
18  18  8.59742e+06
18  19  1.63421e+07
18  20  9.57849e+06
18  21  0
18  22  1.35643e+07
18  23  5.43585e+06
18  24  6.53192e+06
18  25  8.20594e+06
18  26  7.99507e+06
18  27  1.21282e+07
18  28  6.0999e+06
18  29  1.87371e+07
18  30  1.35285e+07
18  31  2.19645e+07
18  32  1.25347e+07
18  33  0
18  34  4.26058e+06
18  35  5.01369e+06
18  36  1.65597e+06
18  37  3.32243e+06
18  38  2.0382e+07
18  39  1.04218e+06
18  40  1.45386e+07
18  41  5.27246e+06
18  42  1.43288e+07
18  43  5.49329e+06
18  44  1.46103e+06
18  45  1.51081e+07
18  46  3.64145e+06
18  47  1.30346e+07
18  48  0
18  49  7.52297e+06
18  50  1.85605e+06
19  0  7.81747e+06
19  1  8.28563e+06
19  2  2.63818e+06
19  3  9.2034e+06
19  4  1.42523e+07
19  5  9.21208e+06
19  6  0
19  7  1.68187e+06
19  8  1.32219e+07
19  9  1.92962e+06
19  10  0
19  11  3.8396e+06
19  12  9.32232e+06
19  13  2.48846e+06
19  14  0
19  15  7.8555e+06
19  16  873531
19  17  5.88029e+06
19  18  4.32456e+06
