row  column  (images_1_region2.edf P-K*images_1_region2.edf Ar-K**2.3)
14  66  0
14  67  0
15  0  0
15  1  0
15  2  914179
15  3  327437
15  4  0
15  5  1.25527e+06
15  6  0
15  7  0
15  8  784090
15  9  0
15  10  0
15  11  0
15  12  3.14016e+06
15  13  0
15  14  0
15  15  1.28341e+06
15  16  2.68206e+06
15  17  1.77665e+06
15  18  2.93031e+06
15  19  1.6395e+06
15  20  3.86509e+06
15  21  3.74e+06
15  22  1.17281e+06
15  23  0
15  24  1.67926e+06
15  25  2.15833e+06
15  26  0
15  27  0
15  28  2.02168e+06
15  29  4.29439e+06
15  30  5.35657e+06
15  31  0
15  32  2.80556e+06
15  33  0
15  34  0
15  35  0
15  36  0
15  37  3.00915e+06
15  38  0
15  39  918669
15  40  3.20321e+06
15  41  3.60199e+06
15  42  1.71105e+06
15  43  3.44556e+06
15  44  5.46311e+06
15  45  2.27674e+06
15  46  5.03393e+06
15  47  1.18842e+06
15  48  4.28661e+06
15  49  6.21822e+06
15  50  0
15  51  1.79616e+06
15  52  2.94811e+06
15  53  1.77298e+06
15  54  0
15  55  5.2807e+06
15  56  66819.1
15  57  2.6735e+06
15  58  939479
15  59  3.97097e+06
15  60  0
15  61  0
15  62  0
15  63  0
15  64  0
15  65  0
15  66  0
15  67  0
16  0  443932
16  1  0
16  2  0
16  3  0
16  4  0
16  5  254874
16  6  464769
16  7  3.63468e+06
16  8  0
16  9  1.31045e+06
16  10  1.41284e+06
16  11  0
16  12  0
16  13  1.33066e+06
16  14  0
16  15  802252
16  16  2.00458e+06
16  17  444200
16  18  0
16  19  305477
16  20  1.57329e+06
16  21  0
16  22  3.76392e+06
16  23  1.10248e+06
16  24  1.7916e+06
16  25  2.16582e+06
16  26  2.67619e+06
16  27  2.21199e+06
16  28  0
16  29  0
16  30  2.04863e+06
16  31  374533
16  32  0
16  33  1.25098e+06
16  34  1.76388e+06
16  35  566686
16  36  0
16  37  1.80701e+06
16  38  2.66415e+06
16  39  4.34891e+06
16  40  418573
16  41  425518
16  42  0
16  43  0
16  44  497960
16  45  5.85526e+06
16  46  9.22122e+06
16  47  3.91385e+06
16  48  4.35389e+06
16  49  5.63847e+06
16  50  2.64128e+06
16  51  4.10493e+06
16  52  2.94899e+06
16  53  2.67224e+06
16  54  2.99309e+06
16  55  0
16  56  0
16  57  0
16  58  1.32095e+06
16  59  4.97604e+06
16  60  453783
16  61  0
16  62  0
16  63  1.3479e+06
16  64  0
16  65  0
16  66  0
16  67  620179
17  0  0
17  1  756525
17  2  0
17  3  0
17  4  0
17  5  0
17  6  0
17  7  877390
17  8  1.80501e+06
17  9  2.60571e+06
17  10  0
17  11  3.13282e+06
17  12  149959
17  13  1.65691e+06
17  14  1.50015e+06
17  15  1.53715e+06
17  16  0
17  17  2.24182e+06
17  18  15696.2
17  19  730538
17  20  3.60048e+06
17  21  0
17  22  908731
17  23  332925
17  24  5.31092e+06
17  25  0
17  26  0
17  27  0
17  28  4.43124e+06
17  29  1.55821e+06
17  30  1.52335e+06
17  31  0
17  32  3.89418e+06
17  33  3.4317e+06
17  34  404176
17  35  0
17  36  2.1559e+06
17  37  2.96745e+06
17  38  2.33457e+06
17  39  0
17  40  2.51557e+06
17  41  3.41426e+06
17  42  1.31979e+06
17  43  4.38209e+06
17  44  6.97887e+06
17  45  2.12066e+06
17  46  3.41597e+06
17  47  4.3753e+06
17  48  7.63179e+06
17  49  5.3863e+06
17  50  0
17  51  2.82619e+06
17  52  1.88204e+06
17  53  0
17  54  0
17  55  2.03706e+06
17  56  1.41698e+06
17  57  0
17  58  1.37983e+06
17  59  0
17  60  0
17  61  0
17  62  0
17  63  0
17  64  0
17  65  0
17  66  0
17  67  0
18  0  65902.2
18  1  1.34629e+06
18  2  0
18  3  0
18  4  0
18  5  0
18  6  238090
18  7  303526
18  8  1.43968e+06
18  9  2.17178e+06
18  10  230296
18  11  0
18  12  994599
18  13  2.542e+06
18  14  700841
18  15  0
18  16  131520
18  17  1.49206e+06
18  18  6.38035e+06
18  19  746233
18  20  831507
18  21  2.02407e+06
18  22  627419
18  23  2.42024e+06
18  24  2.13161e+06
18  25  2.74655e+06
18  26  5.10956e+06
18  27  38871.8
18  28  0
18  29  0
18  30  2.27749e+06
18  31  0
18  32  0
18  33  4.80087e+06
18  34  831942
18  35  820578
18  36  851440
18  37  1.61278e+06
18  38  2.24267e+06
18  39  443594
18  40  1.85924e+06
18  41  1.95864e+06
18  42  3.2638e+06
18  43  0
18  44  5.54689e+06
18  45  1.40727e+06
18  46  6.07176e+06
18  47  27017.4
18  48  4.24341e+06
18  49  4.22074e+06
18  50  5.80112e+06
18  51  0
18  52  5.42717e+06
18  53  1.12832e+06
18  54  2.09711e+06
18  55  784777
18  56  0
18  57  0
18  58  0
18  59  0
18  60  0
18  61  403706
18  62  0
18  63  1.63518e+06
18  64  0
18  65  0
18  66  0
18  67  0
19  0  0
19  1  853761
19  2  0
19  3  1.47725e+06
19  4  443132
19  5  310288
19  6  190490
19  7  0
19  8  7.15747e+06
19  9  110031
19  10  1.08643e+06
19  11  56044.2
19  12  30654
19  13  4.67876e+06
19  14  0
19  15  3.25672e+06
19  16  4.23442e+06
19  17  6.93541e+06
19  18  1.11055e+06
19  19  2.13101e+06
19  20  2.78759e+06
19  21  447443
19  22  765030
19  23  185541
19  24  4.66564e+06
19  25  0
19  26  539605
19  27  156453
19  28  6.48512e+06
19  29  974590
19  30  0
19  31  2.42637e+06
19  32  2.39999e+06
19  33  54855.6
19  34  7.45291e+06
19  35  0
19  36  1.8068e+06
19  37  402157
19  38  0
19  39  0
19  40  6.59658e+06
19  41  845867
19  42  6.71726e+06
19  43  1.60659e+06
19  44  5.90401e+06
19  45  7.00818e+06
19  46  4.41905e+06
19  47  6.99295e+06
19  48  0
19  49  4.77758e+06
19  50  2.59344e+06
19  51  2.14376e+06
19  52  793751
19  53  3.70487e+06
19  54  7.37479e+06
19  55  4.54906e+06
19  56  0
19  57  314274
19  58  0
19  59  48935.7
19  60  0
19  61  2.19309e+06
19  62  1.6461e+06
19  63  0
19  64  132789
19  65  0
19  66  0
19  67  0
20  0  0
20  1  0
20  2  0
20  3  231738
20  4  0
20  5  1.98171e+06
20  6  137320
20  7  0
20  8  2.5325e+06
20  9  3.06355e+06
20  10  1.25631e+06
20  11  2.15229e+06
20  12  1.72253e+06
20  13  0
20  14  541394
20  15  0
20  16  3.73922e+06
20  17  990952
20  18  5.52041e+06
20  19  3.17873e+06
20  20  1.87032e+06
20  21  1.86126e+06
20  22  0
20  23  2.07653e+06
20  24  0
20  25  3.61241e+06
20  26  984330
20  27  1.07288e+06
20  28  1.80326e+06
20  29  1.82771e+06
20  30  4.63448e+06
20  31  0
20  32  2.42882e+06
20  33  661038
20  34  0
20  35  3.09261e+06
20  36  0
20  37  0
20  38  8.64155e+06
20  39  1.61732e+06
20  40  404722
20  41  2.4743e+06
20  42  2.02845e+06
20  43  2.92634e+06
20  44  0
20  45  3.25327e+06
20  46  2.13773e+06
20  47  2.24635e+06
20  48  6.5496e+06
20  49  5.84103e+06
20  50  0
20  51  3.88088e+06
20  52  2.27087e+06
20  53  3.8991e+06
20  54  437649
20  55  1.95685e+06
20  56  2.26285e+06
20  57  1.19948e+06
20  58  0
20  59  0
20  60  0
20  61  1.59006e+06
20  62  0
20  63  0
20  64  0
20  65  0
20  66  0
20  67  2.69634e+06
21  0  802435
21  1  173361
21  2  0
21  3  0
21  4  874268
21  5  30194.3
21  6  3.5129e+06
21  7  1.59332e+06
21  8  1.38972e+06
21  9  661185
21  10  0
21  11  330298
21  12  1.25812e+06
21  13  2.03397e+06
21  14  0
21  15  486173
21  16  3.1046e+06
21  17  3.23212e+06
21  18  2.4202e+06
21  19  5.16299e+06
21  20  484805
21  21  737994
21  22  0
21  23  2.16395e+06
21  24  0
21  25  2.98146e+06
21  26  0
21  27  468897
21  28  0
21  29  0
21  30  348681
21  31  824478
21  32  0
21  33  161856
21  34  1.34356e+06
21  35  808239
21  36  0
21  37  0
21  38  0
21  39  715972
21  40  2.92569e+06
21  41  2.91451e+06
21  42  2.03772e+06
21  43  5.00247e+06
21  44  3.26196e+06
21  45  2.06223e+06
21  46  2.55717e+06
21  47  6.36849e+06
21  48  6.41106e+06
21  49  572230
21  50  3.58732e+06
21  51  0
21  52  1.66749e+06
21  53  1.07065e+06
21  54  847900
21  55  0
21  56  0
21  57  106438
21  58  365228
21  59  0
21  60  0
21  61  2.38154e+06
21  62  0
21  63  0
21  64  0
21  65  47187.7
21  66  0
21  67  0
22  0  856830
22  1  2.40744e+06
22  2  377313
22  3  1.99601e+06
22  4  471562
22  5  0
22  6  1.89966e+06
22  7  4.1777e+06
22  8  4.49796e+06
22  9  3.15345e+06
22  10  3.94675e+06
22  11  3.19832e+06
22  12  3.77509e+06
22  13  1.69752e+06
22  14  2.2536e+06
22  15  7.02267e+06
22  16  1.26398e+06
22  17  2.50277e+06
22  18  2.49096e+06
22  19  3.6104e+06
