row  column  (images_1_region2.edf Mn-K*images_1_region2.edf Ar-K**2.3)
16  56  6.59347e+06
16  57  6.615e+06
16  58  6.00713e+06
16  59  1.23761e+07
16  60  1.02259e+07
16  61  8.72002e+06
16  62  0
16  63  9.84611e+06
16  64  7.82536e+06
16  65  4.53981e+06
16  66  1.83422e+06
16  67  1.31328e+06
17  0  5.07456e+06
17  1  0
17  2  2.25303e+06
17  3  3.36989e+06
17  4  4.98115e+06
17  5  6.48553e+06
17  6  4.13733e+06
17  7  0
17  8  7.65699e+06
17  9  341914
17  10  5.99394e+06
17  11  8.21644e+06
17  12  6.02721e+06
17  13  2.10156e+06
17  14  0
17  15  4.23266e+06
17  16  2.81926e+06
17  17  9.40101e+06
17  18  3.4861e+06
17  19  1.21449e+07
17  20  0
17  21  6.3133e+06
17  22  6.00149e+06
17  23  6.27883e+06
17  24  1.05778e+07
17  25  7.24918e+06
17  26  8.01612e+06
17  27  5.60095e+06
17  28  6.56107e+06
17  29  5.1213e+06
17  30  5.88665e+06
17  31  9.69763e+06
17  32  4.61727e+06
17  33  9.87188e+06
17  34  1.0258e+07
17  35  6.21716e+06
17  36  3.68075e+06
17  37  0
17  38  6.69514e+06
17  39  6.92271e+06
17  40  9.68202e+06
17  41  4.52988e+06
17  42  0
17  43  7.24253e+06
17  44  1.24315e+07
17  45  4.57837e+06
17  46  9.92945e+06
17  47  7.24349e+06
17  48  1.0969e+07
17  49  4.29589e+06
17  50  3.90426e+06
17  51  4.74426e+06
17  52  1.23367e+07
17  53  0
17  54  1.07531e+07
17  55  7.84705e+06
17  56  1.21992e+07
17  57  0
17  58  7.15827e+06
17  59  1.2564e+07
17  60  1.47634e+06
17  61  8.29002e+06
17  62  1.07843e+07
17  63  0
17  64  6.36799e+06
17  65  609795
17  66  9.00238e+06
17  67  1.09621e+07
18  0  6.07178e+06
18  1  1.19941e+06
18  2  3.05933e+06
18  3  5.70069e+06
18  4  2.48465e+06
18  5  9.93102e+06
18  6  1.28482e+06
18  7  871291
18  8  7274.63
18  9  0
18  10  1.16073e+07
18  11  0
18  12  5.92058e+06
18  13  4.46721e+06
18  14  1.68222e+07
18  15  7.45869e+06
18  16  5.14439e+06
18  17  5.56894e+06
18  18  7.24961e+06
18  19  1.0424e+07
18  20  0
18  21  1.02852e+07
18  22  7.75421e+06
18  23  1.15586e+07
18  24  5.43499e+06
18  25  0
18  26  4.38026e+06
18  27  0
18  28  0
18  29  8.18512e+06
18  30  232052
18  31  0
18  32  1.26751e+07
18  33  4.14929e+06
18  34  7.85835e+06
18  35  1.02297e+07
18  36  8.35685e+06
18  37  1.0485e+07
18  38  0
18  39  3.51636e+06
18  40  0
18  41  7.02309e+06
