row  column  (images_1_region2.edf Fe-K*images_1_region2.edf Ar-K**2.3)
11  34  9.82446e+07
11  35  8.08989e+07
11  36  9.36834e+07
11  37  8.9944e+07
11  38  9.32936e+07
11  39  1.04401e+08
11  40  1.28064e+08
11  41  1.42053e+08
11  42  1.35195e+08
11  43  1.17232e+08
11  44  1.15306e+08
11  45  1.11803e+08
11  46  1.07762e+08
11  47  9.01843e+07
11  48  8.60004e+07
11  49  9.49127e+07
11  50  9.42808e+07
11  51  9.01171e+07
11  52  8.32164e+07
11  53  1.19168e+08
11  54  9.17528e+07
11  55  1.04807e+08
11  56  8.78231e+07
11  57  9.36826e+07
11  58  9.34642e+07
11  59  1.01303e+08
11  60  7.93495e+07
11  61  6.19381e+07
11  62  6.36284e+07
11  63  4.70083e+07
11  64  5.54389e+07
11  65  4.283e+07
11  66  4.58172e+07
11  67  3.27907e+07
12  0  2.21792e+07
12  1  2.09681e+07
12  2  2.4304e+07
12  3  2.39935e+07
12  4  3.73007e+07
12  5  3.43272e+07
12  6  3.54838e+07
12  7  3.93006e+07
12  8  3.96348e+07
12  9  4.49065e+07
12  10  6.65447e+07
12  11  6.55971e+07
12  12  6.46196e+07
12  13  5.3226e+07
12  14  5.22175e+07
12  15  6.72511e+07
12  16  7.3278e+07
12  17  9.63883e+07
12  18  7.43788e+07
12  19  8.13669e+07
12  20  7.51151e+07
12  21  7.96132e+07
12  22  3.5688e+07
12  23  1.02752e+08
12  24  7.52613e+07
12  25  8.14089e+07
12  26  8.54388e+07
12  27  7.48824e+07
12  28  8.04982e+07
12  29  7.8248e+07
12  30  7.58305e+07
12  31  8.26531e+07
12  32  8.5758e+07
12  33  9.85198e+07
12  34  9.77472e+07
12  35  8.71321e+07
12  36  9.40278e+07
12  37  9.62815e+07
12  38  8.78162e+07
12  39  9.56562e+07
12  40  1.26713e+08
12  41  1.33876e+08
12  42  1.59213e+08
12  43  1.27185e+08
12  44  1.2807e+08
12  45  1.30579e+08
12  46  1.21011e+08
12  47  9.88325e+07
12  48  1.14449e+08
12  49  9.99359e+07
12  50  1.08393e+08
12  51  8.8878e+07
12  52  1.08813e+08
12  53  1.02416e+08
12  54  9.75213e+07
12  55  1.0068e+08
12  56  9.98512e+07
12  57  6.71445e+07
12  58  7.74726e+07
12  59  9.72843e+07
12  60  7.97864e+07
12  61  7.57015e+07
12  62  5.63093e+07
12  63  4.80553e+07
12  64  5.26189e+07
12  65  4.32151e+07
12  66  5.69373e+07
12  67  5.19029e+07
13  0  2.40457e+07
13  1  2.23755e+07
13  2  3.30406e+07
13  3  2.29123e+07
13  4  3.61034e+07
13  5  3.08789e+07
13  6  4.34395e+07
13  7  4.64484e+07
13  8  5.85714e+07
13  9  6.58536e+07
13  10  6.65383e+07
13  11  7.90536e+07
13  12  6.45351e+07
13  13  5.92533e+07
13  14  6.38185e+07
13  15  6.20844e+07
13  16  8.75738e+07
13  17  1.07316e+08
13  18  7.6297e+07
13  19  7.71915e+07
13  20  9.33704e+07
13  21  8.86573e+07
13  22  9.15449e+07
13  23  8.48019e+07
13  24  8.35528e+07
13  25  1.00422e+08
13  26  8.89672e+07
13  27  8.03968e+07
13  28  8.87912e+07
13  29  8.45338e+07
13  30  7.5301e+07
13  31  9.22638e+07
13  32  1.06812e+08
13  33  9.87248e+07
13  34  1.04641e+08
13  35  9.06005e+07
13  36  9.36182e+07
13  37  1.12278e+08
13  38  1.13295e+08
13  39  1.11393e+08
13  40  1.30287e+08
13  41  1.38824e+08
13  42  1.54602e+08
13  43  1.16393e+08
13  44  1.20883e+08
13  45  1.22515e+08
13  46  8.62509e+07
13  47  1.0598e+08
13  48  9.6906e+07
13  49  9.54704e+07
13  50  1.09952e+08
13  51  8.31668e+07
13  52  1.01172e+08
13  53  1.09093e+08
13  54  1.0229e+08
13  55  1.0031e+08
13  56  9.69356e+07
13  57  9.56797e+07
13  58  8.59246e+07
13  59  8.26864e+07
13  60  7.76604e+07
13  61  6.04668e+07
13  62  6.43613e+07
13  63  5.74997e+07
13  64  6.57898e+07
13  65  4.18467e+07
13  66  3.95833e+07
13  67  4.4971e+07
14  0  3.00127e+07
14  1  2.70511e+07
14  2  3.88144e+07
14  3  3.29239e+07
14  4  3.1298e+07
14  5  4.28932e+07
14  6  4.38652e+07
14  7  5.28795e+07
14  8  5.12945e+07
14  9  5.78088e+07
14  10  6.45402e+07
14  11  9.58178e+07
14  12  7.26089e+07
14  13  6.00371e+07
14  14  5.84488e+07
14  15  5.86818e+07
14  16  8.80194e+07
14  17  1.12351e+08
14  18  8.731e+07
14  19  9.25709e+07
14  20  8.64897e+07
14  21  9.44052e+07
14  22  1.03977e+08
14  23  1.19306e+08
14  24  2.7609e+07
14  25  7.41753e+07
14  26  7.61477e+07
14  27  8.90638e+07
14  28  9.73734e+07
14  29  8.24377e+07
14  30  8.48711e+07
14  31  9.40362e+07
14  32  9.53716e+07
14  33  1.28225e+08
14  34  1.05913e+08
14  35  9.94377e+07
14  36  9.53704e+07
14  37  9.48781e+07
14  38  8.79956e+07
14  39  1.26895e+08
14  40  1.27258e+08
14  41  1.79849e+08
14  42  1.34381e+08
14  43  1.19415e+08
14  44  1.25123e+08
14  45  1.09965e+08
14  46  1.20918e+08
14  47  9.27643e+07
14  48  1.03357e+08
14  49  1.09295e+08
14  50  1.06682e+08
14  51  1.03358e+08
14  52  9.39044e+07
14  53  1.07673e+08
14  54  9.37054e+07
14  55  1.08651e+08
14  56  9.93882e+07
14  57  9.72997e+07
14  58  8.68935e+07
14  59  7.9713e+07
14  60  8.33143e+07
14  61  6.68239e+07
14  62  6.09222e+07
14  63  6.17738e+07
14  64  5.55281e+07
14  65  4.85831e+07
14  66  5.59659e+07
14  67  5.10831e+07
15  0  3.29865e+07
15  1  2.78975e+07
15  2  2.50325e+07
15  3  3.45749e+07
15  4  4.63417e+07
15  5  3.54284e+07
15  6  4.27954e+07
15  7  4.82865e+07
15  8  5.59625e+07
15  9  5.47946e+07
15  10  8.29123e+07
15  11  1.01968e+08
15  12  4.95813e+07
15  13  7.51788e+07
15  14  7.52531e+07
15  15  8.20045e+07
15  16  9.7045e+07
15  17  1.23719e+08
15  18  9.96491e+07
15  19  9.44614e+07
15  20  9.29331e+07
15  21  8.14638e+07
15  22  9.18226e+07
15  23  1.10913e+08
15  24  8.81732e+07
15  25  9.96596e+07
15  26  9.10274e+07
15  27  8.66772e+07
15  28  7.9965e+07
15  29  5.81304e+07
15  30  1.0076e+08
15  31  9.54633e+07
15  32  1.12553e+08
15  33  1.25811e+08
15  34  9.81495e+07
15  35  1.01899e+08
15  36  9.63378e+07
15  37  1.04767e+08
15  38  1.05617e+08
15  39  1.13364e+08
15  40  1.52151e+08
15  41  1.9481e+08
15  42  1.60895e+08
15  43  1.32149e+08
15  44  1.0981e+08
15  45  9.75109e+07
15  46  1.26887e+08
15  47  1.11324e+08
15  48  8.39195e+07
15  49  1.10812e+08
15  50  9.45155e+07
15  51  9.75294e+07
15  52  1.0875e+08
15  53  8.88379e+07
15  54  1.12538e+08
15  55  1.04452e+08
15  56  9.28468e+07
15  57  9.53201e+07
15  58  9.35869e+07
15  59  9.52332e+07
15  60  8.67172e+07
15  61  6.52051e+07
15  62  6.43109e+07
15  63  6.19347e+07
15  64  4.94071e+07
15  65  4.35463e+07
15  66  5.38706e+07
15  67  4.2025e+07
16  0  3.44238e+07
16  1  0
16  2  3.89739e+07
16  3  3.6674e+07
16  4  3.47376e+07
16  5  3.9152e+07
16  6  4.41667e+07
16  7  6.31251e+07
16  8  6.68352e+07
16  9  6.2852e+07
16  10  8.08175e+07
16  11  8.81158e+07
16  12  6.98961e+07
16  13  6.28604e+07
16  14  6.72377e+07
16  15  8.24134e+07
16  16  1.18216e+08
16  17  1.11863e+08
16  18  1.02434e+08
16  19  9.78692e+07
16  20  8.83017e+07
16  21  9.99317e+07
16  22  1.05777e+08
16  23  1.19679e+08
16  24  1.15472e+08
16  25  8.345e+07
16  26  7.58248e+07
16  27  9.88757e+07
16  28  9.13406e+07
16  29  7.79423e+07
16  30  1.00176e+08
16  31  1.14833e+08
16  32  1.21882e+08
16  33  1.25031e+08
16  34  1.24051e+08
16  35  9.95212e+07
16  36  1.05576e+08
16  37  9.51376e+07
16  38  7.78306e+07
16  39  1.02485e+08
16  40  1.24754e+08
16  41  1.52074e+08
16  42  1.54567e+08
16  43  1.30165e+08
16  44  1.25102e+08
16  45  1.03016e+08
16  46  1.07636e+08
16  47  1.05234e+08
16  48  1.09642e+08
16  49  1.06057e+08
16  50  1.05862e+08
16  51  1.0359e+08
16  52  1.02918e+08
16  53  1.07138e+08
16  54  8.86256e+07
16  55  1.08563e+08
16  56  8.85562e+07
16  57  9.53402e+07
16  58  8.66517e+07
16  59  5.32197e+07
16  60  8.4432e+07
16  61  6.6569e+07
16  62  6.72424e+07
16  63  4.90995e+07
16  64  4.38527e+07
16  65  4.1623e+07
16  66  5.58751e+07
