row  column  (images_1_region2.edf Zn-K*images_1_region2.edf Ar-K**2.3)
7  62  4.84506e+07
7  63  5.34926e+07
7  64  2.62692e+07
7  65  3.25061e+07
7  66  1.87195e+07
7  67  1.62521e+07
8  0  218352
8  1  3.34173e+06
8  2  5.90468e+06
8  3  1.2045e+07
8  4  3.88596e+06
8  5  2.91575e+06
8  6  2.82956e+07
8  7  1.13797e+07
8  8  9.54504e+06
8  9  7.15268e+06
8  10  0
8  11  1.2038e+07
8  12  1.11293e+07
8  13  399185
8  14  0
8  15  2.36227e+07
8  16  2.42598e+07
8  17  4.45191e+07
8  18  3.36282e+07
8  19  3.55069e+07
8  20  3.58295e+07
8  21  2.25231e+07
8  22  3.2143e+07
8  23  4.8052e+07
8  24  3.16407e+07
8  25  3.19332e+07
8  26  3.28344e+07
8  27  3.78762e+07
8  28  4.49341e+07
8  29  6.11494e+07
8  30  7.0927e+07
8  31  4.4779e+07
8  32  6.63539e+07
8  33  5.11219e+07
8  34  7.35539e+07
8  35  6.27075e+07
