row  column  (images_1_region2.edf Cu-K*images_1_region2.edf Ar-K**2.3)
6  47  8.37152e+06
6  48  1.86821e+07
6  49  112384
6  50  7.02824e+06
6  51  0
6  52  7.69966e+06
6  53  9.96428e+06
6  54  1.5411e+06
6  55  1.20173e+07
6  56  1.05406e+07
6  57  4.20114e+06
6  58  2.30358e+06
6  59  2.29744e+06
6  60  0
6  61  7.95782e+06
6  62  4.94466e+06
6  63  0
6  64  1.70953e+07
6  65  3.54744e+06
6  66  1.14696e+07
6  67  178821
7  0  8.58788e+06
7  1  1.7848e+07
7  2  0
7  3  1.61366e+06
7  4  309221
7  5  8.671e+06
7  6  6.14224e+06
7  7  1.77968e+07
7  8  7.33267e+06
7  9  0
7  10  6.10744e+06
7  11  1.58553e+07
7  12  1.88137e+07
7  13  409936
7  14  7.40136e+06
7  15  1.39951e+07
7  16  0
7  17  470256
7  18  0
7  19  9.47931e+06
7  20  9.9417e+06
7  21  0
7  22  0
7  23  7.89022e+06
7  24  1.20425e+07
7  25  1.39795e+07
7  26  0
7  27  3.75799e+06
7  28  0
7  29  6.81765e+06
7  30  9.67671e+06
7  31  1.16467e+07
7  32  934638
7  33  4.08445e+06
7  34  0
7  35  1.06724e+07
7  36  2.04587e+07
7  37  1.08341e+07
7  38  1.0329e+06
7  39  0
7  40  3.29119e+06
7  41  8.18215e+06
7  42  7.83021e+06
7  43  156785
7  44  6.69932e+06
7  45  0
7  46  0
7  47  1.06118e+07
7  48  385931
7  49  1.72451e+07
7  50  0
7  51  4.13528e+06
7  52  0
7  53  5.15011e+06
7  54  481763
7  55  1.55803e+07
7  56  2.20669e+06
7  57  0
7  58  0
7  59  1.19087e+07
7  60  0
7  61  1.80862e+07
7  62  0
7  63  1.46091e+07
7  64  30550.5
7  65  9.71094e+06
7  66  1.24183e+07
7  67  68930.7
8  0  0
8  1  0
8  2  2.03259e+06
8  3  2.79296e+06
8  4  7.24993e+06
8  5  6.04367e+06
8  6  1.33018e+07
8  7  0
8  8  24187.9
8  9  0
8  10  1.14895e+07
8  11  1.79423e+06
8  12  0
8  13  2.06269e+06
8  14  392688
8  15  0
8  16  1.01684e+07
8  17  1.76827e+07
8  18  1.48173e+07
8  19  2.57882e+06
8  20  8.77107e+06
8  21  1.20239e+07
8  22  0
8  23  1.62979e+07
8  24  4.89842e+06
8  25  0
8  26  352103
8  27  5.14892e+06
8  28  0
8  29  1.49603e+07
8  30  1.40959e+07
8  31  5.52455e+06
8  32  1.63273e+07
8  33  3.89482e+06
8  34  0
8  35  6.90133e+06
8  36  2.74767e+06
8  37  1.14375e+07
8  38  647893
8  39  4.62858e+06
8  40  3.57203e+06
