row  column  (images_10_7176.edf Zn_K*images_10_7176.edf Ar_K**2.3)
6  87  7.32593e+07
6  88  7.0043e+07
6  89  4.42035e+07
6  90  5.47328e+07
6  91  6.58382e+07
6  92  6.65951e+07
6  93  6.54879e+07
6  94  5.44096e+07
6  95  3.61992e+07
6  96  3.50859e+07
6  97  2.47639e+07
6  98  3.08514e+07
6  99  5.09947e+07
6  100  6.57142e+07
7  0  0
7  1  0
7  2  0
7  3  192876
7  4  0
7  5  0
7  6  3.2341e+06
7  7  0
7  8  0
7  9  4.86726e+06
7  10  0
7  11  0
7  12  784543
7  13  2.05893e+06
7  14  0
7  15  3.39091e+06
7  16  0
7  17  0
7  18  5.36983e+06
7  19  1.00782e+07
7  20  2.54803e+06
7  21  3.59186e+06
7  22  5.13292e+06
7  23  2.17538e+06
7  24  5.5512e+06
7  25  0
7  26  8.66895e+06
7  27  8.87622e+06
7  28  8.9546e+06
7  29  2.27853e+07
7  30  1.99013e+07
7  31  3.43516e+07
7  32  5.45345e+07
7  33  7.29047e+07
7  34  8.26545e+07
7  35  6.01729e+07
7  36  6.5e+07
7  37  9.02242e+07
7  38  8.15827e+07
7  39  7.42409e+07
7  40  6.96543e+07
7  41  6.72731e+07
7  42  7.40508e+07
7  43  5.56169e+07
7  44  6.76441e+07
7  45  6.2537e+07
7  46  4.31317e+07
7  47  5.24197e+07
7  48  6.75683e+07
7  49  6.0237e+07
7  50  6.44614e+07
7  51  6.67663e+07
7  52  8.68765e+07
7  53  7.80002e+07
7  54  8.48269e+07
7  55  8.41036e+07
7  56  6.33149e+07
7  57  6.68298e+07
7  58  5.09239e+07
7  59  4.94817e+07
7  60  4.15559e+07
7  61  3.4851e+07
7  62  2.945e+07
7  63  3.33177e+07
7  64  3.38564e+07
7  65  4.72497e+07
7  66  3.92869e+07
7  67  3.57761e+07
7  68  4.65956e+07
7  69  5.14263e+07
7  70  4.60319e+07
7  71  4.56562e+07
7  72  4.14755e+07
7  73  6.25529e+07
7  74  6.54595e+07
7  75  5.47476e+07
7  76  3.50902e+07
7  77  4.13051e+07
7  78  6.01882e+07
7  79  5.74328e+07
7  80  7.30251e+07
7  81  8.26431e+07
7  82  8.78335e+07
7  83  7.63375e+07
7  84  5.28119e+07
7  85  5.06633e+07
7  86  7.25852e+07
7  87  6.82868e+07
7  88  3.93361e+07
7  89  3.47855e+07
7  90  5.68642e+07
7  91  4.79297e+07
7  92  6.94035e+07
7  93  5.80789e+07
7  94  4.07185e+07
7  95  3.54383e+07
7  96  2.38682e+07
7  97  3.03732e+07
7  98  3.90962e+07
7  99  6.8477e+07
7  100  7.57474e+07
8  0  112447
8  1  2.04695e+06
8  2  407290
8  3  4.28466e+06
8  4  2.0339e+06
8  5  0
8  6  1.78197e+06
8  7  766167
8  8  0
8  9  1.91191e+06
8  10  533161
8  11  626462
8  12  2.47965e+06
8  13  1.56948e+06
8  14  7.23352e+06
8  15  0
8  16  6.96736e+06
8  17  0
8  18  3.24155e+06
8  19  4.34066e+06
8  20  2.16932e+06
8  21  5.6964e+06
8  22  2.22403e+06
8  23  4.07205e+06
8  24  8.33772e+06
8  25  7.88439e+06
8  26  1.03273e+07
8  27  9.63554e+06
8  28  6.53902e+06
8  29  2.01332e+07
8  30  1.71352e+07
8  31  1.87842e+07
8  32  5.46754e+07
8  33  5.92576e+07
8  34  7.04804e+07
8  35  5.6913e+07
8  36  5.29565e+07
8  37  8.53653e+07
8  38  1.13767e+08
8  39  1.07774e+08
8  40  8.94002e+07
8  41  7.00683e+07
8  42  6.80234e+07
8  43  6.58548e+07
8  44  7.40106e+07
8  45  7.24007e+07
8  46  4.77678e+07
8  47  6.25136e+07
8  48  6.68895e+07
8  49  5.18855e+07
8  50  6.35803e+07
8  51  7.26654e+07
8  52  7.53688e+07
8  53  8.20048e+07
8  54  1.00334e+08
8  55  6.99436e+07
8  56  7.3071e+07
8  57  5.13251e+07
8  58  5.36982e+07
8  59  3.46221e+07
8  60  4.03262e+07
8  61  4.29044e+07
8  62  2.85846e+07
8  63  4.36307e+07
8  64  4.80581e+07
8  65  5.10116e+07
8  66  4.34813e+07
8  67  5.09594e+07
8  68  5.23621e+07
8  69  4.7705e+07
8  70  3.94723e+07
8  71  5.2618e+07
8  72  6.0311e+07
8  73  7.02908e+07
8  74  6.29488e+07
8  75  6.13028e+07
8  76  4.31804e+07
8  77  5.72727e+07
8  78  6.4607e+07
8  79  7.75717e+07
8  80  6.82888e+07
8  81  8.0847e+07
8  82  7.68916e+07
8  83  7.56377e+07
8  84  5.41111e+07
8  85  5.1312e+07
8  86  7.02482e+07
8  87  7.50152e+07
8  88  6.07831e+07
8  89  4.70601e+07
8  90  5.1109e+07
8  91  4.78757e+07
8  92  4.32309e+07
8  93  6.0179e+07
8  94  4.38012e+07
8  95  4.1672e+07
8  96  4.33092e+07
8  97  2.32757e+07
8  98  3.69538e+07
8  99  4.89219e+07
8  100  6.48812e+07
9  0  6.35138e+06
9  1  0
9  2  0
9  3  0
9  4  0
9  5  4.07205e+06
9  6  3.28526e+06
9  7  846853
9  8  0
9  9  726905
9  10  0
9  11  3.30566e+06
9  12  2.99143e+06
9  13  0
9  14  0
9  15  0
9  16  3.72206e+06
9  17  394797
9  18  7.5481e+06
9  19  3.65343e+06
9  20  2.04544e+06
9  21  8.92513e+06
9  22  4.42921e+06
9  23  5.18414e+06
9  24  4.04932e+06
9  25  2.05027e+06
9  26  7.99262e+06
9  27  1.1183e+07
9  28  6.33641e+06
9  29  8.31967e+06
9  30  2.0964e+07
9  31  2.81746e+07
9  32  4.92413e+07
9  33  4.79502e+07
9  34  6.57236e+07
9  35  5.34451e+07
9  36  7.86383e+07
9  37  9.14525e+07
9  38  9.94863e+07
9  39  8.12275e+07
9  40  8.21894e+07
9  41  6.68207e+07
9  42  7.23117e+07
9  43  6.42902e+07
9  44  7.60461e+07
9  45  5.74946e+07
9  46  4.92891e+07
9  47  5.64199e+07
9  48  5.84817e+07
9  49  5.7583e+07
9  50  7.86726e+07
9  51  8.24211e+07
9  52  7.62762e+07
9  53  9.98932e+07
9  54  1.05024e+08
9  55  1.00128e+08
9  56  6.75794e+07
9  57  6.61106e+07
9  58  6.10761e+07
9  59  3.95459e+07
9  60  4.06436e+07
9  61  4.90769e+07
9  62  3.91432e+07
9  63  4.15583e+07
9  64  5.92065e+07
9  65  5.29964e+07
9  66  4.87216e+07
9  67  4.32658e+07
9  68  5.41519e+07
9  69  4.28283e+07
9  70  4.87263e+07
9  71  5.6298e+07
9  72  4.26266e+07
9  73  6.23059e+07
9  74  5.8031e+07
9  75  4.65635e+07
9  76  4.89364e+07
9  77  6.67672e+07
9  78  7.0414e+07
9  79  7.98161e+07
9  80  7.45341e+07
9  81  7.0148e+07
9  82  6.83131e+07
9  83  5.52693e+07
9  84  5.32519e+07
9  85  5.57229e+07
9  86  8.29501e+07
9  87  7.87665e+07
9  88  5.41484e+07
9  89  4.71449e+07
9  90  3.86706e+07
9  91  4.85411e+07
9  92  5.71719e+07
9  93  4.43792e+07
9  94  4.76511e+07
9  95  2.96753e+07
9  96  2.68437e+07
9  97  2.75813e+07
9  98  3.68945e+07
9  99  5.94994e+07
9  100  8.03094e+07
10  0  4.79229e+06
10  1  1.77183e+06
10  2  0
10  3  3.01724e+06
10  4  5.94614e+06
10  5  0
10  6  0
10  7  675884
10  8  2.94174e+06
10  9  0
10  10  0
10  11  0
10  12  0
10  13  3.01865e+06
10  14  0
10  15  0
10  16  5.6962e+06
10  17  991272
10  18  2.67742e+06
10  19  9.04846e+06
10  20  1.0725e+07
10  21  3.68598e+06
10  22  3.63429e+06
10  23  6.05184e+06
10  24  2.61895e+06
10  25  4.47904e+06
10  26  5.08231e+06
10  27  8.09995e+06
10  28  1.44461e+07
10  29  8.31787e+06
10  30  1.37699e+07
10  31  2.35489e+07
10  32  3.47051e+07
10  33  5.59189e+07
10  34  4.88675e+07
10  35  6.25161e+07
10  36  6.49659e+07
10  37  8.83238e+07
10  38  9.6617e+07
10  39  9.30053e+07
10  40  7.62736e+07
10  41  6.29005e+07
10  42  6.99034e+07
10  43  5.69592e+07
10  44  7.23006e+07
10  45  4.51262e+07
10  46  4.55149e+07
10  47  6.50173e+07
10  48  7.07643e+07
10  49  6.39697e+07
10  50  7.39042e+07
10  51  8.21906e+07
10  52  8.81946e+07
10  53  8.39096e+07
10  54  7.99948e+07
10  55  8.47264e+07
10  56  6.98713e+07
10  57  6.24039e+07
