row  column  (image_36_a.edf Cu-K*image_36_a.edf Ar-K**2.3)
43  15  0
43  16  0
43  17  0
43  18  2.58209e+07
43  19  0
43  20  0
43  21  0
43  22  0
43  23  0
43  24  0
43  25  0
43  26  0
43  27  2.17148e+07
43  28  5.7039e+07
43  29  0
43  30  0
44  0  1.80172e+07
44  1  0
44  2  0
44  3  0
44  4  0
44  5  6.50586e+07
44  6  0
44  7  0
44  8  0
44  9  0
44  10  0
44  11  0
44  12  0
44  13  1.96813e+07
44  14  0
44  15  1.06942e+07
44  16  0
44  17  6.51128e+06
44  18  1.28716e+06
44  19  0
44  20  0
44  21  0
44  22  0
44  23  0
44  24  0
44  25  0
44  26  0
44  27  3.39287e+07
44  28  0
44  29  0
44  30  0
45  0  0
45  1  651123
45  2  0
45  3  0
45  4  0
45  5  0
45  6  0
45  7  0
45  8  0
45  9  0
45  10  0
45  11  0
45  12  1.29448e+07
45  13  5.62676e+06
45  14  0
45  15  0
45  16  2.29241e+07
45  17  0
45  18  0
45  19  1.09282e+07
45  20  1.00447e+07
45  21  0
45  22  0
45  23  0
45  24  1.45137e+07
45  25  5.76252e+06
45  26  0
45  27  0
45  28  0
45  29  0
45  30  0
46  0  0
46  1  0
46  2  0
46  3  0
46  4  6.45726e+06
46  5  5.78634e+06
46  6  0
46  7  0
46  8  0
46  9  0
46  10  0
46  11  0
46  12  0
46  13  0
46  14  0
46  15  0
46  16  0
46  17  0
46  18  7.06919e+06
46  19  0
46  20  0
46  21  1.01763e+07
46  22  0
46  23  0
46  24  3.35648e+06
46  25  0
46  26  0
46  27  0
46  28  0
46  29  0
46  30  0
47  0  3.36459e+06
47  1  0
47  2  6.92644e+06
47  3  0
47  4  0
47  5  0
47  6  0
47  7  0
47  8  0
47  9  1.85594e+07
47  10  0
47  11  3.25948e+06
47  12  1.15812e+07
47  13  0
47  14  0
47  15  0
47  16  0
47  17  3.24437e+07
47  18  0
47  19  0
47  20  0
47  21  0
47  22  0
47  23  2.07198e+07
47  24  1.76692e+07
47  25  0
47  26  3.50234e+07
47  27  0
47  28  0
47  29  0
47  30  2.65587e+06
48  0  0
48  1  0
48  2  1.77193e+06
48  3  0
48  4  0
48  5  0
48  6  0
48  7  0
48  8  1.21304e+07
48  9  0
48  10  0
48  11  0
48  12  4.867e+06
48  13  0
48  14  0
48  15  0
48  16  0
48  17  0
48  18  0
48  19  0
48  20  0
48  21  1.64199e+07
48  22  0
48  23  0
48  24  0
48  25  0
48  26  0
48  27  0
48  28  0
48  29  0
48  30  0
49  0  3.62972e+07
49  1  0
49  2  6.90904e+06
49  3  1.77196e+07
49  4  0
49  5  1.07817e+07
49  6  0
49  7  0
49  8  0
49  9  0
49  10  0
49  11  0
49  12  0
49  13  0
49  14  2.79675e+07
49  15  0
49  16  0
49  17  0
49  18  0
49  19  8.65456e+06
49  20  0
49  21  0
49  22  0
49  23  0
49  24  0
49  25  2.47365e+07
49  26  0
49  27  0
49  28  0
49  29  2.37903e+07
49  30  0
50  0  3.57545e+07
50  1  1.97392e+07
50  2  0
50  3  0
50  4  0
50  5  0
50  6  0
50  7  0
50  8  1.30047e+07
50  9  0
50  10  0
50  11  1.84244e+07
50  12  0
50  13  2.525e+07
50  14  0
50  15  0
50  16  0
50  17  0
50  18  0
50  19  0
50  20  0
50  21  0
50  22  0
50  23  0
50  24  0
50  25  0
50  26  0
50  27  6.47207e+06
50  28  0
50  29  0
50  30  190961
51  0  0
51  1  0
51  2  0
51  3  0
51  4  6.77504e+06
51  5  0
51  6  3.12092e+06
51  7  0
51  8  0
51  9  0
51  10  1.39032e+07
51  11  0
51  12  5.0458e+06
51  13  0
51  14  0
51  15  0
51  16  0
51  17  0
51  18  0
51  19  1.24836e+06
51  20  0
51  21  0
51  22  1.30001e+07
51  23  0
51  24  1.39857e+07
51  25  1.04342e+07
51  26  0
51  27  0
51  28  0
51  29  0
51  30  696166
52  0  0
52  1  0
52  2  1.05922e+07
52  3  0
52  4  0
52  5  0
52  6  0
52  7  5.49761e+06
52  8  0
52  9  0
52  10  0
52  11  0
52  12  0
52  13  0
52  14  0
52  15  2.17346e+07
52  16  0
52  17  0
52  18  0
52  19  0
52  20  0
52  21  1.3441e+07
52  22  2.05255e+06
52  23  1.64598e+06
52  24  0
52  25  5.62941e+07
52  26  0
52  27  0
52  28  0
52  29  0
52  30  0
53  0  2.20939e+07
53  1  0
53  2  0
53  3  2.37139e+07
53  4  0
53  5  3.98847e+06
53  6  0
53  7  3.4268e+07
53  8  0
53  9  0
53  10  1.89702e+07
53  11  0
53  12  0
53  13  0
53  14  0
53  15  0
53  16  0
53  17  0
53  18  0
53  19  0
53  20  0
53  21  0
53  22  1.21289e+07
53  23  2.19602e+07
53  24  0
53  25  0
53  26  0
53  27  0
53  28  0
53  29  0
53  30  1.01745e+06
54  0  0
54  1  0
54  2  5.84956e+06
54  3  0
54  4  0
54  5  0
54  6  0
54  7  0
54  8  0
54  9  0
54  10  0
54  11  0
54  12  0
54  13  0
54  14  0
54  15  3.33974e+07
54  16  0
54  17  0
54  18  0
54  19  0
54  20  0
54  21  0
54  22  0
54  23  0
54  24  0
54  25  0
54  26  0
54  27  0
54  28  0
54  29  0
54  30  1.33563e+07
55  0  0
55  1  0
55  2  0
55  3  0
55  4  0
55  5  0
55  6  1.77091e+06
55  7  0
55  8  3.45016e+07
55  9  3.14629e+06
55  10  0
55  11  739397
55  12  0
55  13  0
55  14  0
55  15  0
55  16  0
55  17  0
55  18  0
55  19  0
55  20  0
55  21  0
55  22  0
55  23  0
55  24  0
55  25  0
55  26  1.82847e+07
55  27  2.59692e+06
55  28  2.28768e+07
55  29  0
55  30  0
56  0  1.76676e+07
56  1  0
56  2  0
56  3  0
56  4  0
56  5  0
56  6  0
56  7  0
56  8  3.61736e+07
56  9  0
56  10  0
56  11  0
56  12  0
56  13  0
56  14  0
56  15  0
56  16  0
56  17  0
56  18  0
56  19  0
56  20  0
56  21  0
56  22  0
56  23  0
56  24  0
56  25  0
56  26  0
56  27  0
56  28  1.578e+07
56  29  1.41394e+07
56  30  0
57  0  1.12644e+07
57  1  1.88988e+07
57  2  0
57  3  0
57  4  0
57  5  0
57  6  0
57  7  0
57  8  1.41131e+07
57  9  0
57  10  0
57  11  2.80107e+06
57  12  0
57  13  0
57  14  1.40076e+07
57  15  0
57  16  1.8359e+07
57  17  2.75804e+06
57  18  1.92349e+07
57  19  0
57  20  2.20466e+06
57  21  2.15648e+07
57  22  0
57  23  1.38399e+07
57  24  0
57  25  0
57  26  0
57  27  5.93182e+07
57  28  1.15983e+07
57  29  0
57  30  8.74499e+06
58  0  1.76847e+06
58  1  0
58  2  0
58  3  378605
58  4  0
58  5  0
58  6  0
58  7  0
58  8  0
58  9  0
58  10  3.55497e+07
58  11  0
58  12  1.29401e+07
58  13  0
58  14  0
58  15  0
58  16  1.16703e+06
58  17  2.4195e+07
58  18  4.94405e+06
58  19  0
58  20  0
58  21  0
58  22  0
58  23  0
58  24  0
58  25  1.62054e+07
58  26  0
58  27  0
58  28  0
58  29  0
58  30  0
59  0  0
59  1  2.24339e+07
59  2  0
59  3  0
59  4  0
59  5  0
59  6  0
59  7  7.95064e+06
59  8  0
59  9  0
59  10  0
59  11  0
59  12  1.23038e+07
59  13  3.34669e+06
59  14  0
59  15  292113
59  16  0
59  17  0
59  18  0
59  19  0
59  20  0
59  21  0
59  22  0
59  23  1.4118e+07
59  24  0
59  25  0
59  26  0
59  27  0
59  28  0
59  29  0
59  30  2.13854e+07
60  0  0
60  1  3.94838e+06
60  2  0
60  3  0
60  4  0
60  5  0
60  6  0
60  7  8.81671e+06
