row  column  (image_36_a.edf S-K*image_36_a.edf Ar-K**2.3)
22  16  4.89359e+07
22  17  4.48056e+07
22  18  8.29558e+07
22  19  7.14371e+07
22  20  5.40088e+07
22  21  5.68927e+07
22  22  2.92726e+07
22  23  0
22  24  0
22  25  0
22  26  0
22  27  0
22  28  0
22  29  3.60487e+07
22  30  0
23  0  4.9471e+07
23  1  0
23  2  5.49402e+07
23  3  4.52664e+07
23  4  3.0409e+07
23  5  2.75851e+07
23  6  6.14291e+07
23  7  7.42037e+07
23  8  8.40979e+07
23  9  3.31102e+07
23  10  6.638e+07
23  11  8.23832e+07
23  12  5.47227e+07
23  13  7.20028e+07
23  14  4.94534e+07
23  15  6.21583e+07
23  16  6.46287e+07
23  17  4.34791e+07
23  18  7.5394e+07
23  19  1.05533e+08
23  20  4.4354e+07
23  21  4.2545e+07
23  22  5.87625e+07
23  23  0
23  24  3.13944e+07
23  25  3.85794e+07
23  26  0
23  27  0
23  28  189464
23  29  0
23  30  0
24  0  2.58635e+07
24  1  3.62819e+07
24  2  4.29476e+07
24  3  8.03077e+07
24  4  6.53893e+07
24  5  8.92569e+07
24  6  7.38572e+07
24  7  3.9841e+07
24  8  7.51546e+07
24  9  7.73219e+07
24  10  6.04263e+07
24  11  7.21363e+07
24  12  5.98392e+07
24  13  8.4582e+07
24  14  8.15456e+07
24  15  7.96452e+07
24  16  6.51905e+07
24  17  1.44802e+07
24  18  7.80644e+07
24  19  6.36705e+07
24  20  6.93334e+07
24  21  5.80705e+07
24  22  3.49295e+07
24  23  0
24  24  0
24  25  0
24  26  0
24  27  0
24  28  0
24  29  0
24  30  0
25  0  5.60885e+07
25  1  6.27116e+07
25  2  4.4944e+07
25  3  3.78073e+07
25  4  6.41979e+07
25  5  3.93302e+07
25  6  5.89054e+07
25  7  6.23709e+07
25  8  5.20623e+07
25  9  4.07574e+07
25  10  6.68431e+07
25  11  7.36129e+07
25  12  5.77342e+07
25  13  8.52498e+07
25  14  5.40103e+07
25  15  7.04187e+07
25  16  7.69945e+07
25  17  7.22193e+07
25  18  6.83688e+07
25  19  7.20302e+07
25  20  5.1305e+07
25  21  3.79779e+07
25  22  3.94111e+07
25  23  4.30089e+07
25  24  1.18213e+07
25  25  2.99937e+07
25  26  0
25  27  0
25  28  0
25  29  0
25  30  0
26  0  0
26  1  2.69657e+07
26  2  4.06217e+07
26  3  3.03636e+07
26  4  5.3206e+07
26  5  9.81604e+07
26  6  6.62731e+07
26  7  7.07308e+07
26  8  7.23168e+07
26  9  6.27901e+07
26  10  7.92206e+07
26  11  5.56661e+07
26  12  4.54131e+07
26  13  5.22053e+07
26  14  6.05345e+07
26  15  3.52597e+07
26  16  3.62276e+07
26  17  4.44188e+07
26  18  5.92694e+07
26  19  5.83271e+07
26  20  6.86774e+07
26  21  6.7239e+07
26  22  4.82757e+07
26  23  6.72857e+07
26  24  0
26  25  3.51083e+07
26  26  0
26  27  3.61196e+07
26  28  4.64122e+07
26  29  0
26  30  3.44596e+07
27  0  4.51279e+07
27  1  4.85657e+07
27  2  6.22485e+07
27  3  3.43001e+07
27  4  5.18591e+07
27  5  6.93763e+07
27  6  2.5448e+07
27  7  6.92635e+07
27  8  4.6639e+07
27  9  6.32614e+07
27  10  6.55912e+07
27  11  3.61963e+07
27  12  5.72508e+07
27  13  6.07537e+07
27  14  6.51791e+07
27  15  9.1189e+07
27  16  7.9969e+07
27  17  7.22316e+07
27  18  5.95583e+07
27  19  2.30769e+07
27  20  6.1868e+07
27  21  3.77792e+07
27  22  7.26475e+07
27  23  6.99466e+07
27  24  1.89702e+07
27  25  4.57757e+07
27  26  3.79817e+07
27  27  0
27  28  2.92434e+07
27  29  3.05077e+07
27  30  0
28  0  7.86982e+06
28  1  5.51097e+07
28  2  6.21611e+07
28  3  5.94311e+07
28  4  6.29422e+07
28  5  7.54189e+07
28  6  6.10479e+07
28  7  8.35273e+07
28  8  5.60089e+07
28  9  8.24842e+07
28  10  1.74526e+07
28  11  6.63106e+07
28  12  1.04767e+08
28  13  4.79915e+07
28  14  5.07031e+07
28  15  9.42954e+07
28  16  7.65028e+07
28  17  7.38484e+07
28  18  6.92894e+07
28  19  5.45588e+07
28  20  5.90686e+07
28  21  5.86107e+07
28  22  1.00326e+08
28  23  6.28432e+07
28  24  4.76945e+07
28  25  4.4376e+07
28  26  3.93968e+07
28  27  0
28  28  4.26948e+07
28  29  3.95247e+07
28  30  2.96727e+07
29  0  3.67517e+07
29  1  4.82937e+07
29  2  4.29275e+07
29  3  5.15494e+07
29  4  4.97347e+07
29  5  7.30747e+07
29  6  3.74428e+07
29  7  5.78497e+07
29  8  6.10439e+07
29  9  5.09055e+07
29  10  4.90748e+07
29  11  7.70757e+07
29  12  5.97796e+07
29  13  7.01814e+07
29  14  7.38452e+07
29  15  5.41324e+07
29  16  8.24418e+07
29  17  5.16082e+07
29  18  6.88209e+07
29  19  6.12787e+07
29  20  3.28094e+07
29  21  9.28691e+07
29  22  4.97619e+07
29  23  6.53674e+07
29  24  6.87607e+07
29  25  4.92844e+07
29  26  1.08807e+07
29  27  3.96875e+07
29  28  0
29  29  1.80209e+07
29  30  4.00888e+07
30  0  5.10823e+07
30  1  6.25e+07
30  2  5.70095e+07
30  3  5.63738e+07
30  4  6.2e+07
30  5  8.24129e+07
30  6  7.68033e+07
30  7  5.20252e+07
30  8  6.84299e+07
30  9  7.33472e+07
30  10  7.14858e+07
30  11  8.62146e+07
30  12  8.17644e+07
30  13  6.16446e+07
30  14  5.30754e+07
30  15  8.46397e+07
30  16  3.35425e+07
30  17  6.6983e+07
30  18  6.00461e+07
30  19  5.53142e+07
30  20  6.83426e+07
30  21  6.82033e+07
30  22  4.90641e+07
30  23  8.15779e+07
30  24  4.61568e+07
30  25  3.96968e+07
30  26  2.86417e+07
30  27  5.26221e+07
30  28  4.13669e+07
30  29  4.03068e+07
30  30  4.25461e+07
31  0  3.47966e+07
31  1  3.36221e+07
31  2  5.72367e+07
31  3  5.46908e+07
31  4  6.12559e+07
31  5  3.77968e+07
31  6  3.93095e+07
31  7  4.67227e+07
31  8  8.06473e+07
31  9  3.99839e+07
31  10  5.74097e+07
31  11  9.76758e+07
31  12  7.73332e+07
31  13  6.83756e+07
31  14  6.61087e+07
31  15  5.47869e+07
31  16  8.50175e+07
31  17  3.0769e+07
31  18  6.76718e+07
31  19  4.14081e+07
31  20  9.33403e+07
31  21  0
31  22  6.5946e+07
31  23  4.61477e+07
31  24  5.79138e+07
31  25  4.08058e+07
31  26  4.31596e+07
31  27  4.82435e+07
31  28  0
31  29  3.47457e+07
31  30  4.7864e+07
32  0  3.43386e+07
32  1  6.54593e+07
32  2  4.83045e+07
32  3  6.21288e+07
32  4  6.28037e+07
32  5  6.46287e+07
32  6  7.2875e+07
32  7  6.80308e+07
32  8  7.75791e+07
32  9  7.31695e+07
32  10  7.12424e+07
32  11  6.10534e+07
32  12  3.73611e+07
32  13  5.03737e+07
32  14  3.34133e+06
32  15  9.1153e+07
32  16  6.98856e+07
32  17  4.63577e+07
32  18  6.57127e+07
32  19  4.29346e+07
32  20  6.75757e+07
32  21  5.95709e+07
32  22  6.67428e+07
32  23  9.14954e+07
32  24  9.9368e+07
32  25  4.54982e+07
32  26  2.55407e+07
32  27  5.41254e+07
32  28  2.1421e+07
32  29  4.44719e+07
32  30  2.00188e+07
33  0  6.36104e+07
33  1  3.63523e+07
33  2  4.82954e+07
33  3  4.44742e+07
33  4  7.57067e+07
33  5  2.89366e+07
33  6  5.57491e+07
33  7  5.36911e+07
33  8  6.74348e+07
33  9  6.47485e+07
33  10  5.84969e+07
33  11  4.86514e+07
33  12  7.54007e+07
33  13  8.33435e+07
33  14  7.27341e+07
33  15  5.73724e+07
33  16  9.09859e+07
33  17  4.49126e+07
33  18  3.37659e+07
33  19  6.20266e+07
33  20  2.6775e+07
33  21  7.08389e+07
33  22  3.72442e+07
33  23  6.89126e+07
33  24  2.77236e+07
33  25  7.03695e+07
33  26  5.01324e+07
33  27  3.74451e+07
33  28  7.38487e+07
33  29  5.84139e+07
33  30  5.45067e+07
34  0  4.34583e+07
34  1  4.34393e+07
34  2  0
34  3  4.4406e+07
34  4  5.13287e+07
34  5  4.53584e+07
34  6  6.28701e+07
34  7  0
34  8  8.8958e+07
34  9  5.10387e+07
34  10  3.93759e+07
34  11  5.82872e+07
34  12  5.145e+07
34  13  5.49856e+07
34  14  6.11492e+07
34  15  6.6108e+07
34  16  7.11368e+07
34  17  4.90081e+07
34  18  7.15963e+07
34  19  4.42063e+07
34  20  9.17465e+07
34  21  6.88096e+07
34  22  5.07049e+07
34  23  5.70458e+07
34  24  4.16105e+07
34  25  6.20769e+07
34  26  5.72608e+07
34  27  4.67796e+07
34  28  5.35208e+07
34  29  6.6436e+07
34  30  7.14612e+07
35  0  4.72515e+07
35  1  4.9776e+07
35  2  0
35  3  0
35  4  2.62102e+07
35  5  5.33948e+07
35  6  5.23044e+07
35  7  5.8602e+07
35  8  5.5553e+07
35  9  6.81363e+07
35  10  6.56588e+07
35  11  5.38834e+07
35  12  5.5384e+07
35  13  8.08235e+07
35  14  8.05794e+07
35  15  8.28394e+07
35  16  8.9587e+07
35  17  5.26884e+07
35  18  6.80933e+07
35  19  6.37783e+07
35  20  7.54033e+07
35  21  4.05355e+07
35  22  5.63009e+07
35  23  3.80738e+07
35  24  7.86486e+07
35  25  6.74643e+07
35  26  0
35  27  5.04457e+07
35  28  7.16564e+07
35  29  1.37724e+07
35  30  6.12014e+07
36  0  7.25968e+07
36  1  3.31271e+07
36  2  4.30182e+07
36  3  6.83298e+07
36  4  0
36  5  6.18288e+07
