row  column  (image_36_a.edf Mn-K*image_36_a.edf Ar-K**2.3)
26  9  6.41052e+07
26  10  6.59845e+07
26  11  5.52077e+07
26  12  5.90528e+07
26  13  7.76319e+07
26  14  9.86279e+07
26  15  6.06701e+07
26  16  6.89803e+07
26  17  7.57269e+07
26  18  7.21218e+07
26  19  8.17833e+07
26  20  7.6989e+07
26  21  5.01122e+07
26  22  8.74152e+07
26  23  8.46362e+07
26  24  1.23837e+08
26  25  7.05965e+07
26  26  6.73585e+07
26  27  1.14706e+08
26  28  9.79273e+07
26  29  6.31418e+07
26  30  1.09477e+08
27  0  7.13941e+07
27  1  8.75395e+07
27  2  5.31292e+07
27  3  7.85549e+07
27  4  9.73944e+07
27  5  8.32384e+07
27  6  5.76549e+07
27  7  7.19889e+07
27  8  9.40764e+07
27  9  9.47207e+07
27  10  8.16524e+07
27  11  1.03687e+08
27  12  7.45236e+07
27  13  5.23876e+07
27  14  5.51367e+07
27  15  8.25742e+07
27  16  4.65004e+07
27  17  5.40126e+07
27  18  7.22074e+07
27  19  8.60441e+07
27  20  8.20717e+07
27  21  9.6792e+07
27  22  6.44614e+07
27  23  5.4178e+07
27  24  8.26572e+07
27  25  7.45375e+07
27  26  6.1069e+07
27  27  7.90639e+07
27  28  1.41982e+08
27  29  8.5834e+07
27  30  1.07364e+08
28  0  1.18267e+08
28  1  7.99671e+07
28  2  3.85691e+07
28  3  8.05467e+07
28  4  1.125e+08
28  5  7.09973e+07
28  6  9.52364e+07
28  7  4.67972e+07
28  8  8.95728e+07
28  9  9.18615e+07
28  10  4.79169e+07
28  11  1.1233e+08
28  12  4.35517e+07
28  13  7.79201e+07
28  14  6.38864e+07
28  15  6.7128e+07
28  16  8.23701e+07
28  17  8.47971e+07
28  18  5.33427e+07
28  19  1.04553e+08
28  20  6.03751e+07
28  21  1.18848e+08
28  22  1.03935e+08
28  23  8.96873e+07
28  24  4.27352e+07
28  25  9.28223e+07
28  26  9.55313e+07
28  27  5.66659e+07
28  28  5.43123e+07
28  29  1.28049e+08
28  30  8.80988e+07
29  0  5.14221e+07
29  1  4.81353e+07
29  2  1.16997e+08
29  3  7.5997e+07
29  4  1.02171e+08
29  5  8.28526e+07
29  6  5.07298e+07
29  7  9.11583e+07
29  8  8.44164e+07
29  9  1.08416e+08
29  10  7.67889e+07
29  11  6.59461e+07
29  12  7.16753e+07
29  13  5.92749e+07
29  14  6.7334e+07
29  15  7.82051e+07
29  16  8.43167e+07
29  17  3.71163e+07
29  18  8.72249e+07
29  19  9.69929e+07
29  20  5.61821e+07
29  21  7.49609e+07
29  22  6.56099e+07
29  23  8.36793e+07
29  24  1.05789e+08
29  25  5.58755e+07
29  26  6.94687e+07
29  27  7.67641e+07
29  28  8.73154e+07
29  29  8.1163e+07
29  30  6.2015e+07
30  0  5.74435e+07
30  1  6.87381e+07
30  2  8.5299e+07
30  3  6.19996e+07
30  4  7.29117e+07
30  5  8.88625e+07
30  6  6.42639e+07
30  7  7.70909e+07
30  8  7.75297e+07
30  9  4.44732e+07
30  10  9.31084e+07
30  11  7.12039e+07
30  12  6.52988e+07
30  13  1.02469e+08
30  14  4.33092e+07
30  15  8.60009e+07
30  16  1.0474e+08
30  17  6.12668e+07
30  18  8.12057e+07
30  19  9.03324e+07
30  20  1.03553e+08
30  21  1.00812e+08
30  22  7.24969e+07
30  23  6.30972e+07
