row  column  (image_36_a.edf Zn-K*image_36_a.edf Ar-K**2.3)
25  0  2.39265e+08
25  1  1.83935e+08
25  2  1.98639e+08
25  3  1.75959e+08
25  4  2.1991e+08
25  5  1.21705e+08
25  6  2.12605e+08
25  7  1.41571e+08
25  8  1.49682e+08
25  9  1.08455e+08
25  10  1.97399e+08
25  11  1.03405e+08
25  12  1.10401e+08
25  13  1.34909e+08
25  14  1.64552e+08
25  15  1.63822e+08
25  16  1.84478e+08
25  17  1.08643e+08
25  18  1.64211e+08
25  19  1.54766e+08
25  20  1.60596e+08
25  21  1.44509e+08
25  22  1.68059e+08
25  23  1.56327e+08
25  24  2.02887e+08
25  25  1.49765e+08
25  26  1.11066e+08
25  27  1.66222e+08
25  28  1.00514e+08
25  29  1.50769e+08
25  30  1.37482e+08
26  0  1.83648e+08
26  1  2.22664e+08
26  2  1.81948e+08
26  3  1.98771e+08
26  4  1.46441e+08
26  5  9.05307e+07
26  6  1.66547e+08
26  7  2.22939e+08
26  8  1.39365e+08
26  9  1.32728e+08
26  10  1.06495e+08
26  11  9.08237e+07
26  12  1.83026e+08
26  13  1.43577e+08
26  14  1.64589e+08
26  15  1.65095e+08
26  16  1.35197e+08
26  17  1.25662e+08
26  18  1.90177e+08
26  19  1.57751e+08
26  20  1.67966e+08
26  21  1.53513e+08
26  22  9.34706e+07
26  23  2.0551e+08
26  24  1.53874e+08
26  25  1.87026e+08
26  26  1.09363e+08
26  27  1.14017e+08
26  28  7.95448e+07
26  29  1.5527e+08
26  30  1.24699e+08
27  0  2.15248e+08
27  1  1.88733e+08
27  2  1.60705e+08
27  3  1.75389e+08
27  4  1.60347e+08
27  5  9.19696e+07
27  6  1.54968e+08
27  7  1.46574e+08
27  8  1.4723e+08
27  9  1.69705e+08
27  10  1.46682e+08
27  11  1.03219e+08
27  12  9.49879e+07
27  13  1.08527e+08
27  14  1.54446e+08
27  15  1.50993e+08
27  16  1.48697e+08
27  17  1.36077e+08
27  18  1.69206e+08
27  19  1.61333e+08
27  20  1.36981e+08
27  21  8.62795e+07
27  22  1.03482e+08
27  23  1.48457e+08
27  24  1.66718e+08
27  25  1.15454e+08
27  26  1.3797e+08
27  27  1.42069e+08
27  28  1.86229e+08
27  29  1.38516e+08
27  30  1.85161e+08
28  0  1.84551e+08
28  1  1.69195e+08
28  2  2.00232e+08
28  3  2.02703e+08
28  4  1.48884e+08
