row  column  (image_36_a.edf Ca-K*image_36_a.edf Ar-K**2.3)
14  12  3.08354e+09
14  13  3.17179e+09
14  14  2.97008e+09
14  15  3.03352e+09
14  16  3.06996e+09
14  17  2.86149e+09
14  18  2.50645e+09
14  19  3.23683e+09
14  20  3.15654e+09
14  21  3.23365e+09
14  22  3.12614e+09
14  23  3.15929e+09
14  24  2.9677e+09
14  25  2.87309e+09
14  26  2.47777e+09
14  27  2.33349e+09
14  28  2.22562e+09
14  29  2.27778e+09
14  30  2.51016e+09
15  0  2.91575e+09
15  1  2.67304e+09
15  2  2.53882e+09
15  3  2.55378e+09
15  4  2.32076e+09
15  5  2.37311e+09
15  6  2.67761e+09
15  7  2.83194e+09
15  8  2.80182e+09
15  9  2.86618e+09
15  10  2.71726e+09
15  11  2.98371e+09
15  12  3.02191e+09
15  13  2.96111e+09
15  14  2.86644e+09
15  15  2.98692e+09
15  16  2.67772e+09
15  17  2.44799e+09
15  18  2.67224e+09
15  19  3.19767e+09
15  20  3.07313e+09
15  21  3.36331e+09
15  22  3.16889e+09
15  23  3.1758e+09
15  24  2.72626e+09
15  25  2.70956e+09
15  26  2.36955e+09
15  27  2.2272e+09
15  28  2.333e+09
15  29  2.62368e+09
15  30  2.68365e+09
16  0  2.82044e+09
16  1  2.6925e+09
16  2  2.57521e+09
16  3  2.47855e+09
16  4  2.54358e+09
16  5  2.30457e+09
16  6  2.87403e+09
16  7  2.87734e+09
16  8  2.57222e+09
16  9  2.84236e+09
16  10  2.58078e+09
16  11  2.84732e+09
16  12  3.2309e+09
16  13  2.93401e+09
16  14  2.85553e+09
16  15  2.74991e+09
16  16  2.78982e+09
16  17  2.59282e+09
16  18  2.96084e+09
16  19  3.24211e+09
16  20  3.12515e+09
16  21  2.94593e+09
16  22  3.07272e+09
16  23  3.48336e+09
16  24  2.97285e+09
16  25  2.75956e+09
16  26  2.42268e+09
16  27  2.08247e+09
16  28  2.36403e+09
16  29  2.57912e+09
16  30  2.86134e+09
17  0  2.85138e+09
17  1  2.82142e+09
17  2  2.75099e+09
17  3  2.43265e+09
17  4  2.30571e+09
17  5  2.50793e+09
17  6  2.87124e+09
17  7  2.74411e+09
17  8  2.62002e+09
17  9  2.5816e+09
17  10  2.63462e+09
17  11  2.91789e+09
17  12  2.94505e+09
17  13  2.77992e+09
17  14  2.65538e+09
17  15  2.92242e+09
17  16  2.61342e+09
17  17  2.53694e+09
17  18  2.96698e+09
17  19  3.51215e+09
17  20  2.99799e+09
17  21  2.71431e+09
17  22  3.33118e+09
17  23  3.33082e+09
17  24  2.74182e+09
17  25  2.36993e+09
17  26  1.94021e+09
17  27  2.0319e+09
17  28  2.58104e+09
17  29  2.71653e+09
17  30  2.5703e+09
18  0  2.92744e+09
18  1  2.9371e+09
18  2  2.77092e+09
18  3  2.59421e+09
18  4  2.43877e+09
18  5  2.57138e+09
18  6  2.82851e+09
18  7  2.68354e+09
18  8  2.69148e+09
18  9  2.62389e+09
18  10  2.64603e+09
18  11  2.49246e+09
18  12  2.72604e+09
18  13  2.70428e+09
18  14  2.79819e+09
18  15  2.59384e+09
18  16  2.59715e+09
18  17  2.66888e+09
18  18  2.98031e+09
18  19  3.35804e+09
18  20  3.18584e+09
18  21  2.89672e+09
18  22  2.84884e+09
18  23  3.22359e+09
18  24  2.81932e+09
18  25  2.56972e+09
18  26  2.1073e+09
18  27  1.87997e+09
18  28  2.48285e+09
18  29  2.61527e+09
18  30  2.60881e+09
19  0  2.64664e+09
19  1  2.60172e+09
19  2  2.70886e+09
19  3  2.59076e+09
19  4  2.61281e+09
19  5  2.61131e+09
19  6  2.69704e+09
19  7  2.55916e+09
19  8  2.63164e+09
19  9  2.50095e+09
19  10  2.57468e+09
19  11  2.70452e+09
19  12  2.84593e+09
19  13  2.68464e+09
19  14  2.601e+09
19  15  2.49541e+09
19  16  2.31061e+09
19  17  2.86537e+09
19  18  3.264e+09
19  19  3.30115e+09
19  20  2.74806e+09
19  21  2.46376e+09
19  22  3.17302e+09
19  23  3.11728e+09
19  24  2.71359e+09
19  25  2.10714e+09
19  26  1.7833e+09
19  27  1.89817e+09
19  28  2.46548e+09
19  29  2.77474e+09
19  30  2.55385e+09
20  0  2.69056e+09
20  1  2.84585e+09
20  2  2.58364e+09
20  3  2.38308e+09
20  4  2.46672e+09
20  5  2.6693e+09
20  6  2.63478e+09
20  7  2.62955e+09
20  8  2.6832e+09
20  9  2.40854e+09
20  10  2.57127e+09
20  11  2.51089e+09
20  12  2.49543e+09
20  13  2.38166e+09
20  14  2.67334e+09
20  15  2.50349e+09
20  16  2.76717e+09
20  17  2.55025e+09
20  18  3.0724e+09
20  19  3.21517e+09
20  20  2.53476e+09
20  21  2.29009e+09
20  22  2.49884e+09
20  23  3.10822e+09
20  24  2.84088e+09
20  25  2.56941e+09
20  26  1.84132e+09
20  27  1.90367e+09
20  28  2.1549e+09
20  29  2.52166e+09
20  30  2.61887e+09
21  0  2.92401e+09
21  1  2.58997e+09
21  2  2.8673e+09
21  3  2.93719e+09
21  4  2.45947e+09
21  5  2.48083e+09
21  6  2.50485e+09
21  7  2.67678e+09
21  8  2.36435e+09
21  9  2.34882e+09
21  10  2.57787e+09
21  11  2.60996e+09
21  12  2.31167e+09
21  13  2.39883e+09
21  14  2.52301e+09
21  15  2.46553e+09
21  16  2.52405e+09
21  17  2.74026e+09
21  18  2.98473e+09
21  19  3.23724e+09
21  20  2.81204e+09
21  21  2.21742e+09
21  22  2.56843e+09
21  23  2.65245e+09
21  24  2.55207e+09
21  25  1.91038e+09
21  26  1.99607e+09
21  27  2.04845e+09
21  28  2.39201e+09
21  29  2.45672e+09
21  30  2.66454e+09
22  0  2.88235e+09
22  1  3.09947e+09
22  2  2.88489e+09
22  3  2.56746e+09
22  4  2.57055e+09
22  5  2.60959e+09
22  6  2.23349e+09
22  7  2.69747e+09
22  8  2.52016e+09
22  9  2.34862e+09
22  10  2.45153e+09
22  11  2.49313e+09
22  12  2.33582e+09
22  13  2.28664e+09
22  14  2.55005e+09
22  15  2.58299e+09
22  16  2.69826e+09
22  17  2.72713e+09
22  18  3.12299e+09
22  19  3.27786e+09
22  20  2.59182e+09
22  21  2.42177e+09
22  22  2.64458e+09
22  23  2.8557e+09
22  24  2.5821e+09
22  25  2.07797e+09
22  26  1.90866e+09
22  27  1.99659e+09
22  28  2.25775e+09
22  29  2.38885e+09
22  30  2.5885e+09
23  0  3.07382e+09
23  1  2.67195e+09
23  2  3.10801e+09
23  3  2.78623e+09
23  4  2.46413e+09
23  5  2.46655e+09
23  6  2.44362e+09
23  7  2.83694e+09
23  8  2.41401e+09
23  9  2.38342e+09
23  10  2.29418e+09
23  11  2.21549e+09
23  12  2.26858e+09
23  13  2.28846e+09
23  14  2.37077e+09
23  15  2.60434e+09
23  16  2.73605e+09
23  17  2.55589e+09
23  18  2.94724e+09
23  19  2.99782e+09
23  20  2.53509e+09
23  21  2.114e+09
23  22  2.68547e+09
23  23  2.6767e+09
23  24  2.86467e+09
23  25  2.29683e+09
23  26  1.86298e+09
23  27  1.91548e+09
23  28  2.17469e+09
23  29  2.29836e+09
23  30  2.74178e+09
24  0  3.04035e+09
24  1  3.01181e+09
24  2  2.89429e+09
24  3  3.03599e+09
24  4  2.73972e+09
24  5  2.5103e+09
24  6  2.49633e+09
24  7  2.68898e+09
24  8  2.4843e+09
24  9  2.29206e+09
24  10  2.56206e+09
24  11  2.43266e+09
24  12  2.24054e+09
24  13  2.34208e+09
24  14  2.74459e+09
24  15  2.71161e+09
24  16  2.82714e+09
24  17  2.38538e+09
24  18  2.79636e+09
24  19  3.05132e+09
24  20  2.60091e+09
24  21  2.13948e+09
24  22  2.2832e+09
24  23  2.57269e+09
24  24  2.94314e+09
24  25  2.2921e+09
24  26  1.86135e+09
24  27  1.99338e+09
24  28  2.27049e+09
24  29  2.36862e+09
24  30  2.46207e+09
25  0  3.004e+09
25  1  3.01502e+09
25  2  2.83312e+09
25  3  2.67353e+09
25  4  2.79149e+09
25  5  2.36414e+09
25  6  2.55705e+09
25  7  2.34072e+09
25  8  2.22708e+09
25  9  2.45435e+09
25  10  2.27329e+09
25  11  2.22994e+09
25  12  2.16916e+09
25  13  2.39264e+09
25  14  2.58736e+09
25  15  2.62807e+09
25  16  2.63042e+09
25  17  2.7966e+09
25  18  2.7153e+09
25  19  2.41469e+09
25  20  2.19154e+09
25  21  2.0491e+09
25  22  2.34004e+09
25  23  2.65235e+09
25  24  2.71428e+09
25  25  2.13497e+09
25  26  1.90582e+09
25  27  2.1119e+09
25  28  2.1836e+09
25  29  2.42207e+09
25  30  2.5219e+09
26  0  3.0164e+09
26  1  2.9332e+09
26  2  2.72007e+09
26  3  2.75889e+09
26  4  2.53387e+09
26  5  2.39783e+09
26  6  2.53954e+09
26  7  2.61195e+09
26  8  2.35235e+09
26  9  2.33643e+09
26  10  2.57553e+09
26  11  2.21438e+09
26  12  2.20825e+09
26  13  2.37366e+09
26  14  2.35911e+09
26  15  2.72911e+09
26  16  2.71263e+09
26  17  2.40105e+09
26  18  2.5131e+09
26  19  2.66675e+09
26  20  2.28828e+09
26  21  2.14859e+09
26  22  2.24176e+09
26  23  2.54463e+09
26  24  2.60833e+09
26  25  2.10839e+09
26  26  1.97442e+09
26  27  2.1177e+09
26  28  2.18445e+09
26  29  2.24571e+09
26  30  2.44256e+09
27  0  3.09898e+09
27  1  2.94891e+09
27  2  3.13075e+09
27  3  2.7767e+09
27  4  2.50071e+09
27  5  2.36797e+09
27  6  2.42271e+09
27  7  2.32328e+09
27  8  2.49761e+09
27  9  2.3164e+09
27  10  2.338e+09
27  11  2.35227e+09
27  12  2.24337e+09
27  13  2.38678e+09
27  14  2.58902e+09
27  15  2.60476e+09
27  16  2.53011e+09
27  17  2.41497e+09
27  18  2.61571e+09
27  19  2.59853e+09
27  20  2.29069e+09
27  21  2.0298e+09
